date,leg,action,gross,fee,net,shares,px
2021-06-16,stock,buy,199405.20599999998,51.84535356,-199457.05135355997,21700,9.189179999999999
2021-06-17,etf,sell,199563.43680000002,49.89085920000001,199513.54594080002,78400,2.548
2021-06-17,stock,buy,199407.20799999998,51.84587408,-199459.05387407998,7400,26.94692
2021-06-18,etf,buy,256.55629999999996,5.0,-261.55629999999996,100,2.563
2021-07-05,stock,sell,617131.251,777.58537626,616353.6656237401,63100,9.78021
2021-07-05,etf,buy,216126.71079999997,54.031677699999996,-216180.74247769997,81200,2.659
2021-07-06,stock,buy,179178.99999999997,46.58653999999999,-179225.58653999996,500,358.35799999999995
2021-07-06,stock,buy,196410.21399999995,51.066655639999986,-196461.28065563994,2900,67.72765999999999
2021-07-06,etf,buy,24266.642399999997,6.0666606,-24272.7090606,9100,2.664
2021-07-09,etf,sell,198780.2208,49.695055200000006,198730.52574480002,75600,2.632
2021-07-09,stock,buy,198962.76399999997,51.73031863999999,-199014.49431863998,7900,25.185159999999996
2021-07-19,stock,sell,526882.59,663.8720634,526218.7179366,1300,405.29429999999996
2021-07-20,etf,buy,525880.1548,131.4700387,-526011.6248387,199300,2.636
2021-07-23,etf,sell,198790.5105,49.697627625,198740.812872375,74500,2.671
2021-07-23,stock,buy,199671.47199999998,51.91458272,-199723.38658271998,5200,38.39836
2021-07-27,etf,sell,199748.052,49.937013,199698.114987,74000,2.702
2021-07-27,stock,buy,194204.00999999998,50.493042599999995,-194254.50304259997,3000,64.73467
2021-07-27,etf,buy,4333.9295999999995,5.0,-4338.9295999999995,1600,2.706
2021-08-02,stock,sell,605285.109,762.65923734,604522.4497626601,22300,27.14283
2021-08-04,etf,buy,604053.45,151.0133625,-604204.4633625,223500,2.7
2021-08-05,stock,sell,217194.58800000002,273.66518088000004,216920.92281912002,5200,41.768190000000004
2021-08-05,etf,buy,216814.19759999998,54.2035494,-216868.4011494,80400,2.694
2021-08-16,stock,sell,444002.553,559.4432167800001,443443.10978322,5900,75.25467
2021-08-16,etf,buy,43370.82749999999,10.842706874999998,-43381.670206874995,15900,2.725
2021-08-17,stock,buy,194193.99999999997,50.49044,-194244.49043999997,400,485.48499999999996
2021-08-17,stock,buy,195675.47999999998,50.8756248,-195726.3556248,1200,163.06289999999998
2021-08-17,etf,buy,10114.804699999997,5.0,-10119.804699999997,3700,2.731
2021-08-23,etf,sell,198852.2487,49.713062175,198802.535637825,73100,2.723
2021-08-23,stock,buy,153941.788,40.02486488,-153981.81286488,100,1539.41788
2021-08-23,etf,buy,44674.0294,11.16850735,-44685.19790735,16300,2.738
2021-08-24,stock,sell,237793.968,299.62039968,237494.34760032,1200,198.16164
2021-08-24,etf,buy,237545.90859999997,59.38647714999999,-237605.29507714996,86200,2.753
2021-09-13,stock,sell,167922.909,211.58286534,167711.32613466002,100,1679.22909
2021-09-13,etf,buy,167728.16059999997,41.93204014999999,-167770.09264014996,61400,2.729
2021-09-14,stock,sell,210457.332,265.17623832,210192.15576167998,400,526.14333
2021-09-14,etf,buy,209992.9832,52.4982458,-210045.4814458,76900,2.728
2021-09-17,etf,sell,198779.2218,49.694805450000004,198729.52699455,73100,2.722
2021-09-17,stock,buy,196195.99999999997,51.01095999999999,-196247.01095999999,1000,196.19599999999997
2021-09-17,etf,buy,2464.8624,5.0,-2469.8624,900,2.736
2021-09-23,etf,sell,198545.256,49.636314,198495.619686,73500,2.704
2021-09-23,stock,buy,195014.81999999995,50.70385319999999,-195065.52385319993,1000,195.01481999999996
2021-09-23,etf,sell,195033.5712,48.7583928,194984.8128072,72200,2.704
2021-09-23,stock,buy,195026.832,50.70697632,-195077.53897632,1800,108.34823999999999
2021-09-23,etf,buy,3514.8113,5.0,-3519.8113,1300,2.701
2021-09-27,stock,sell,428091.48,539.3952648,427552.0847352,2000,214.04574
2021-09-27,etf,buy,227505.7785,56.876444625,-227562.65494462498,83100,2.735
2021-09-28,stock,buy,194254.05999999997,50.506055599999996,-194304.56605559998,2000,97.12702999999999
2021-09-29,etf,sell,192922.884,48.230720999999996,192874.653279,72600,2.66
2021-09-29,stock,buy,198888.68999999994,51.71105939999998,-198940.40105939994,11100,17.917899999999996
2021-09-30,etf,sell,199100.3004,49.7750751,199050.5253249,74700,2.668
2021-09-30,stock,buy,196478.28199999998,51.08435331999999,-196529.36635332,4600,42.712669999999996
2021-10-08,etf,buy,2146.9447999999998,5.0,-2151.9447999999998,800,2.681
2021-10-25,stock,sell,237030.732,298.65872232,236732.07327768,4600,51.52842
2021-10-25,etf,buy,236478.24199999997,59.11956049999999,-236537.36156049996,86000,2.747
2021-10-28,etf,sell,198553.9473,49.638486825,198504.308813175,72300,2.749
2021-10-28,stock,buy,197134.93799999997,51.255083879999994,-197186.19308387997,5400,36.50646999999999
2021-10-28,etf,buy,1377.8764999999999,5.0,-1382.8764999999999,500,2.753
2021-11-09,stock,sell,410445.14400000003,517.1608814400001,409927.98311856005,3800,108.01188
2021-11-09,etf,buy,409922.513,102.48062825,-410024.99362824997,144500,2.834
2021-11-16,etf,sell,198890.51039999997,49.722627599999996,198840.78777239998,70300,2.832
2021-11-16,stock,buy,198758.55999999997,51.67722559999999,-198810.23722559997,13600,14.614599999999998
2021-11-17,etf,sell,198884.916,49.721229,198835.194771,70100,2.84
