date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2022-05-05,002594.SZ,,SELL,3100,-3100,0,11849.19,768269.75,780118.94,248.14161000000001,969.24,TAKE_PROFIT_DYN
2022-05-09,002415.SZ,,BUY,0,5800,5800,780118.94,-197448.52,582670.42,34.034,51.32,initial entry
2022-05-11,002415.SZ,,BUY_ADD,5800,5800,11600,582670.42,-199771.45,382898.97,34.4344,51.93,level 2
2022-05-16,002415.SZ,,BUY_ADD,11600,6200,17800,382898.97,-199146.66,183752.31,32.11207999999999,51.76,level 3
2022-05-26,002415.SZ,,DIVIDEND,17800,0,17800,183752.31,12816.0,196568.31,,0.0,cash_div=9.0/10 pretax=16020.0
2022-05-30,000858.SZ,,SELL,1100,-1100,0,196568.31,181320.52,377888.83,165.04479,228.75,TAKE_PROFIT_DYN
2022-06-02,300750.SZ,,SELL,1000,-1000,0,377888.83,442388.5,820277.32,442.94660999999996,558.11,TAKE_PROFIT_DYN
2022-06-06,002415.SZ,,SELL,17800,-17800,0,820277.32,617508.05,1437785.38,34.73523,779.04,TAKE_PROFIT_DYN
2022-06-24,002241.SZ,,BUY,0,6200,6200,1437785.38,-199643.29,1238142.09,32.192159999999994,51.89,initial entry
2022-07-13,002594.SZ,,BUY,0,600,600,1238142.09,-185633.65,1052508.44,309.30899999999997,48.25,initial entry
2022-07-14,600036.SH,,BUY,0,5300,5300,1052508.44,-197249.27,855259.16,37.20717,51.27,initial entry
2022-07-15,600036.SH,,DIVIDEND,5300,0,5300,855259.16,6453.28,861712.44,,0.0,cash_div=15.22/10 pretax=8066.6
2022-07-18,600036.SH,,BUY_ADD,5300,5600,10900,861712.44,-197088.07,664624.38,35.18514999999999,51.23,level 2
2022-07-29,002594.SZ,,DIVIDEND,600,0,600,664624.38,50.4,664674.78,,0.0,cash_div=1.05/10 pretax=63.0
2022-08-04,600036.SH,,BUY_ADD,10900,5900,16800,664674.78,-196894.83,467779.95,33.36333,51.18,level 3
2022-08-05,002241.SZ,,SELL,6200,-6200,0,467779.95,205313.2,673093.15,33.15681,259.02,TAKE_PROFIT_DYN
2022-08-09,601888.SH,,BUY,0,1000,1000,673093.15,-190760.1,482333.05,190.71052,49.58,initial entry
2022-08-11,002594.SZ,,BUY_ADD,600,600,1200,482333.05,-187093.49,295239.56,311.74143,48.63,level 2
2022-08-31,600036.SH,,SELL,16800,-16800,0,295239.56,581978.49,877218.04,34.68528,734.22,TAKE_PROFIT_DYN
2022-09-01,002594.SZ,,BUY_ADD,1200,700,1900,877218.04,-199751.42,677466.62,285.28499999999997,51.92,level 3
2022-09-01,300274.SZ,,BUY,0,1700,1700,677466.62,-190759.1,486707.52,112.18206999999998,49.58,initial entry
2022-09-05,002594.SZ,,BUY_ADD,1900,700,2600,486707.52,-188537.31,298170.21,269.26899999999995,49.01,level 4
2022-09-05,601888.SH,,BUY_ADD,1000,1100,2100,298170.21,-197148.15,101022.06,179.17899999999997,51.25,level 2
2022-09-05,300274.SZ,,BUY_ADD,1700,900,2600,101022.06,-97475.69,3546.37,108.27816999999999,25.34,level 2
2022-09-26,601888.SH,,SELL,2100,-2100,0,3546.37,415782.73,419329.1,198.24156,524.55,TAKE_PROFIT_DYN
2022-09-27,601899.SH,,BUY,0,25900,25900,419329.1,-199940.66,219388.44,7.717709999999999,51.97,initial entry
2022-09-29,601899.SH,,BUY_ADD,25900,26100,52000,219388.44,-199916.63,19471.81,7.657649999999999,51.96,level 2
2022-10-12,300274.SZ,,SELL,2600,-2600,0,19471.81,324395.62,343867.43,124.92495,409.25,TAKE_PROFIT_DYN
2022-10-13,600519.SH,,BUY,0,100,100,343867.43,-172262.82,171604.61,1722.1804599999998,44.78,initial entry
2022-10-20,600519.SH,,BUY_ADD,100,100,200,171604.61,-162304.29,9300.32,1622.6209999999999,42.19,level 2
2022-10-28,601899.SH,,SELL,52000,-52000,0,9300.32,427512.18,436812.49,8.23176,539.34,TAKE_PROFIT_DYN
2022-10-31,002594.SZ,,BUY_ADD,2600,800,3400,436812.49,-190239.45,246573.04,237.73749999999998,49.45,level 5
2022-10-31,300750.SZ,,BUY,0,500,500,246573.04,-180226.85,66346.2,360.35999999999996,46.85,initial entry
2022-11-04,002594.SZ,,SELL,3400,-3400,0,66346.2,944727.28,1011073.47,278.21151000000003,1191.86,TAKE_PROFIT_DYN
2022-11-14,002241.SZ,,BUY,0,11800,11800,1011073.47,-199198.73,811874.75,16.876859999999997,51.78,initial entry
2022-12-01,600519.SH,,SELL,200,-200,0,811874.75,331250.1,1143124.84,1658.34,417.9,TAKE_PROFIT_DYN
2022-12-07,300274.SZ,,BUY,0,1900,1900,1143124.84,-198039.27,945085.58,104.20409999999998,51.48,initial entry
2022-12-07,300750.SZ,,SELL,500,-500,0,945085.58,202910.64,1147996.22,406.33326,255.99,TAKE_PROFIT_DYN
2022-12-14,300274.SZ,,BUY_ADD,1900,1900,3800,1147996.22,-192122.82,955873.4,101.09098999999999,49.94,level 2
2022-12-23,601012.SH,,BUY,0,4900,4900,955873.4,-197228.25,758645.15,40.2402,51.27,initial entry
2022-12-26,002241.SZ,,BUY_ADD,11800,11900,23700,758645.15,-199218.75,559426.4,16.73672,51.78,level 2
2023-01-03,300274.SZ,,SELL,3800,-3800,0,559426.4,438363.61,997790.01,115.50438,553.03,TAKE_PROFIT_DYN
2023-01-05,002241.SZ,,SELL,23700,-23700,0,997790.01,432493.9,1430283.91,18.27171,545.63,TAKE_PROFIT_DYN
2023-01-12,300014.SZ,,BUY,0,2300,2300,1430283.91,-196828.74,1233455.16,85.55546999999999,51.16,initial entry
2023-01-18,601012.SH,,SELL,4900,-4900,0,1233455.16,219610.83,1453066.0,44.875080000000004,277.06,TAKE_PROFIT_DYN
