股票,代码,入场,基线退出,基线PnL,基线持仓天数,0.5退出,0.5PnL,0.5持仓天数,0.75退出,X0.75PnL,X0.75持仓天数,1.0退出,1.0PnL,1.0持仓天数,1.5退出,1.5PnL,1.5持仓天数,被改变阈值
,600031.SH,2021-06-15,2021-08-03,30226.79,35,2021-08-03,30226.79,35.0,2021-08-03,30226.79,35.0,2021-08-03,30226.79,35.0,2021-08-02,11759.6,34.0,15
,002241.SZ,2021-07-23,2021-08-05,20518.02,9,2021-08-05,19428.49,9.0,2021-08-05,18857.78,9.0,2021-08-05,18287.07,9.0,2021-08-05,17197.54,9.0,
,002460.SZ,2021-08-17,2021-08-30,47024.09,9,2021-08-27,43731.55,8.0,2021-08-27,43132.9,8.0,2021-08-27,42534.26,8.0,2021-08-24,41767.99,5.0,05+0.75+10+15
,300750.SZ,2021-08-17,2021-09-14,19148.42,20,2021-09-14,18082.83,20.0,2021-09-14,17548.04,20.0,2021-09-14,17017.24,20.0,2021-09-14,15947.67,20.0,
,000858.SZ,2021-07-09,2021-09-27,-73823.43,54,2021-09-27,-78004.88,54.0,2021-09-27,-80070.44,54.0,N/A,,,N/A,,,
,600111.SH,2021-09-30,2021-10-25,43782.6,12,2021-10-25,42589.3,12.0,2021-10-25,41992.65,12.0,N/A,,,2021-10-25,40202.71,12.0,
,002466.SZ,2021-09-23,2021-11-09,20545.88,28,2021-11-09,20545.88,28.0,2021-11-09,20545.88,28.0,2021-11-09,20545.88,28.0,2021-11-09,20545.88,28.0,
,601919.SH,2021-09-29,2021-11-30,12082.56,39,2021-11-30,12082.56,39.0,2021-11-29,5675.07,38.0,2021-11-29,4442.85,38.0,2021-11-29,2471.32,38.0,0.75+10+15
,600030.SH,2021-11-17,2021-12-06,15781.34,13,2021-12-06,14787.59,13.0,2021-12-06,14207.9,13.0,2021-12-06,13711.02,13.0,2021-12-06,12634.46,13.0,
,000651.SZ,2021-10-28,2021-12-09,14882.52,30,2021-12-07,10341.8,28.0,2021-12-07,9345.05,28.0,2021-12-07,8348.31,28.0,2021-12-07,6244.07,28.0,05+0.75+10+15
,601012.SH,2021-12-02,2022-03-01,43672.32,57,2022-03-01,46319.07,57.0,2022-02-28,21617.1,56.0,2022-02-28,19561.75,56.0,2022-02-28,12595.42,56.0,0.75+10+15
,002594.SZ,2021-12-17,2022-05-05,-12466.94,88,2022-03-01,-20047.02,46.0,2022-03-01,-21473.79,46.0,2022-03-01,-21781.09,46.0,2022-03-01,-21781.09,46.0,05+0.75+10+15
,000858.SZ,2022-03-04,2022-05-30,-22811.12,56,2022-04-14,-3300.04,27.0,N/A,,,N/A,,,N/A,,,05
,300750.SZ,2021-12-21,2022-06-02,-97943.6,106,2022-06-02,-89048.82,106.0,2022-02-07,9852.94,28.0,2022-02-07,8937.01,28.0,2022-01-28,6548.42,27.0,0.75+10+15
,002415.SZ,2022-05-09,2022-06-06,33957.42,19,N/A,,,N/A,,,N/A,,,N/A,,,
,002241.SZ,2022-06-24,2022-08-05,5669.92,30,2022-08-01,5731.78,26.0,2022-08-01,5175.04,26.0,2022-08-01,4680.16,26.0,2022-08-01,3628.54,26.0,05+0.75+10+15
,600036.SH,2022-07-14,2022-08-31,-1993.74,34,2022-08-31,-5010.91,34.0,2022-08-31,-6351.88,34.0,2022-08-31,-7860.46,34.0,2022-08-31,-10710.01,34.0,
,601888.SH,2022-08-09,2022-09-26,27874.48,33,N/A,,,N/A,,,N/A,,,N/A,,,
,300274.SZ,2022-09-01,2022-10-12,50975.92,23,2022-10-12,48810.82,23.0,2022-10-12,47693.35,23.0,2022-10-12,46610.8,23.0,2022-10-12,44445.71,23.0,
,601899.SH,2022-09-27,2022-10-28,27654.89,18,N/A,,,N/A,,,N/A,,,N/A,,,
,002594.SZ,2022-07-13,2022-11-04,-28411.45,76,2022-11-04,-42126.5,76.0,2022-11-04,-43942.39,76.0,2022-11-04,-45758.28,76.0,2022-10-18,-19150.34,63.0,15
,600519.SH,2022-10-13,2022-12-01,-3317.01,35,2022-12-01,-3317.01,35.0,2022-12-01,-3317.01,35.0,2022-12-01,-3317.01,35.0,2022-11-29,13393.85,33.0,15
,300750.SZ,2022-10-31,2022-12-07,22683.79,27,N/A,,,N/A,,,N/A,,,N/A,,,
,300274.SZ,2022-12-07,2023-01-03,48201.52,18,2023-01-03,46002.5,18.0,2022-12-30,42059.43,17.0,2022-12-30,40959.92,17.0,2022-12-30,38798.81,17.0,0.75+10+15
,002241.SZ,2022-11-14,2023-01-05,34076.42,37,2023-01-05,31948.24,37.0,2023-01-05,30765.91,37.0,2022-12-20,16842.19,26.0,2022-12-20,15782.59,26.0,10+15
,601012.SH,2022-12-23,2023-01-18,22382.59,17,N/A,,,N/A,,,2023-01-18,21307.02,17.0,2023-01-17,19840.34,16.0,15
,300014.SZ,2023-01-12,2023-02-01,13742.55,9,2023-02-01,12686.94,9.0,2023-02-01,12159.14,9.0,2023-02-01,11631.33,9.0,N/A,,,
,300750.SZ,2023-02-20,2023-03-31,18777.1,29,2023-03-31,16092.18,29.0,2023-03-31,14743.23,29.0,2023-03-31,13407.25,29.0,2023-03-31,10722.33,29.0,
,300059.SZ,2023-03-08,2023-04-03,26668.56,18,2023-04-03,24418.65,18.0,2023-04-03,23395.97,18.0,2023-04-03,22373.28,18.0,2023-04-03,20327.91,18.0,
,000858.SZ,2023-04-11,2023-05-22,-10014.01,26,2023-05-22,-11836.88,26.0,2023-05-22,-12758.79,26.0,2023-05-22,-13680.71,26.0,2023-05-22,-15524.53,26.0,
,600519.SH,2023-04-13,2023-06-16,21578.43,43,2023-06-15,17437.8,42.0,2023-06-15,16561.79,42.0,2023-06-14,14534.38,41.0,2023-05-22,5095.41,24.0,05+0.75+10+15
,600809.SH,2023-05-23,2023-07-25,44296.24,43,2023-07-25,76246.08,43.0,2023-07-25,74122.88,43.0,2023-06-19,3764.91,19.0,2023-06-16,4573.08,18.0,10+15
,300418.SZ,2023-06-27,2023-08-14,-27941.09,34,2023-08-14,-29776.94,34.0,2023-08-14,-30694.86,34.0,2023-08-14,-31612.78,34.0,2023-08-14,-33448.63,34.0,
,600276.SH,2023-08-01,2023-08-28,13381.67,19,2023-08-28,10285.13,19.0,2023-08-28,9018.36,19.0,2023-08-28,9018.36,19.0,N/A,,,
,002475.SZ,2023-09-08,2023-10-11,13314.68,17,2023-10-11,12311.45,17.0,2023-10-10,12445.21,16.0,2023-10-10,11910.15,16.0,N/A,,,0.75+10
,300014.SZ,2023-02-21,2023-11-06,-279532.14,172,2023-05-15,50934.97,55.0,2023-04-18,1330.71,39.0,2023-04-18,-195.83,39.0,2023-04-18,-3164.11,39.0,05+0.75+10+15
,600519.SH,2023-10-16,2023-12-29,-440.77,54,2023-11-01,43402.92,12.0,2023-11-01,43402.92,12.0,2023-11-01,43402.92,12.0,2023-11-01,43402.92,12.0,05+0.75+10+15
,601318.SH,2023-11-10,2024-01-25,-19102.23,53,N/A,,,N/A,,,N/A,,,2023-12-28,-22612.52,34.0,15
,002230.SZ,2024-01-04,2024-02-08,10792.51,25,2024-02-08,12165.58,25.0,2024-02-08,11133.4,25.0,2024-02-08,10101.22,25.0,2024-01-30,10195.05,18.0,15
,002594.SZ,2023-08-15,2024-03-12,-136396.92,137,2023-10-18,26774.58,40.0,2023-10-18,24762.13,40.0,2023-10-18,22749.67,40.0,2023-10-18,18724.77,40.0,05+0.75+10+15
,601012.SH,2024-01-30,2024-03-12,51534.2,24,N/A,,,N/A,,,N/A,,,N/A,,,
,601318.SH,2024-03-25,2024-04-29,32025.78,23,2024-04-29,29908.51,23.0,2024-04-29,28900.29,23.0,2024-04-26,26077.26,22.0,2024-04-26,23859.17,22.0,10+15
,000628.SZ,2024-04-01,2024-05-21,-131429.8,31,2024-05-21,-133600.98,31.0,2024-05-21,-133600.98,31.0,2024-05-21,-133600.98,31.0,2024-05-20,-142719.91,30.0,15
,000977.SZ,2024-05-29,2024-07-09,9570.83,28,2024-06-19,13089.72,14.0,2024-06-19,12550.67,14.0,2024-06-19,12011.62,14.0,2024-06-19,10933.52,14.0,05+0.75+10+15
,000625.SZ,2024-05-07,2024-07-10,11127.71,45,2024-07-10,9150.2,45.0,2024-07-10,8020.19,45.0,N/A,,,N/A,,,
,603019.SH,2024-03-28,2024-07-17,-11214.67,73,2024-06-19,-5097.19,53.0,2024-06-19,-6085.45,53.0,2024-06-19,-7073.71,53.0,2024-06-18,-6624.5,52.0,05+0.75+10+15
,601919.SH,2024-07-15,2024-09-20,-320.17,47,2024-09-20,32409.47,47.0,2024-09-20,30480.87,47.0,N/A,,,N/A,,,
,601138.SH,2024-07-19,2024-09-24,-36448.05,45,N/A,,,2024-09-24,-17389.88,45.0,2024-09-24,-19291.53,45.0,2024-09-24,-23094.82,45.0,
,601899.SH,2024-07-24,2024-09-25,47527.89,43,2024-09-25,89294.83,43.0,N/A,,,N/A,,,N/A,,,
,600150.SH,2024-09-23,2024-12-18,25549.93,57,2024-12-17,24287.16,56.0,2024-12-17,23253.98,56.0,2024-12-17,22220.8,56.0,2024-12-17,20039.64,56.0,05+0.75+10+15
,600418.SH,2024-11-28,2025-01-22,38096.99,38,2025-01-22,36902.1,38.0,2025-01-22,36333.1,38.0,2025-01-22,35707.21,38.0,2025-01-20,31269.03,36.0,15
,600030.SH,2025-01-02,2025-02-07,-115.76,20,2025-02-07,-2100.26,20.0,2025-02-07,-3092.52,20.0,2025-02-07,-4084.77,20.0,2025-02-07,-6069.27,20.0,
,300059.SZ,2025-01-03,2025-02-07,22168.29,19,2025-02-07,19949.2,19.0,2025-02-07,18925.0,19.0,2025-02-07,17900.81,19.0,2025-02-07,15852.42,19.0,
,000063.SZ,2025-03-04,2025-05-07,16661.97,42,2025-05-07,16661.97,42.0,2025-05-07,16661.97,42.0,2025-05-07,16661.97,42.0,2025-05-07,16661.97,42.0,
,300308.SZ,2025-02-06,2025-05-08,44170.9,61,2025-05-07,32634.23,60.0,2025-05-07,31634.99,60.0,2025-05-07,31634.99,60.0,2025-05-07,31634.99,60.0,05+0.75+10+15
,300502.SZ,2025-03-03,2025-05-08,111893.05,44,2025-05-08,109398.45,44.0,2025-05-08,108126.69,44.0,2025-05-08,106903.85,44.0,2025-04-02,9541.87,22.0,15
,688981.SH,2025-05-12,2025-06-23,-951.45,29,2025-06-23,-2880.05,29.0,2025-06-23,-3890.27,29.0,2025-06-23,-4854.57,29.0,2025-06-23,-6783.17,29.0,
,688256.SH,2025-05-28,2025-06-26,4541.46,20,2025-06-26,3592.14,20.0,2025-06-26,3118.97,20.0,2025-06-26,2642.81,20.0,2025-06-26,1693.48,20.0,
,600519.SH,2025-06-16,2025-07-10,4418.12,18,2025-07-09,4056.75,17.0,2025-07-09,3699.38,17.0,2025-07-09,3343.01,17.0,2025-07-09,3168.32,17.0,05+0.75+10+15
,300308.SZ,2025-10-15,2025-10-24,64444.64,7,2025-10-24,63256.74,7.0,2025-10-24,62662.79,7.0,2025-10-24,62068.83,7.0,2025-10-24,60885.92,7.0,
,002460.SZ,2025-11-25,2025-12-22,18748.83,19,2025-12-19,16969.96,18.0,2025-12-19,16442.89,18.0,2025-12-19,15882.88,18.0,2025-12-18,15981.7,17.0,05+0.75+10+15
,601138.SH,2025-11-25,2025-12-25,38151.09,22,2025-12-25,36963.18,22.0,2025-12-25,36369.23,22.0,2025-12-25,35775.28,22.0,2025-12-24,32665.76,21.0,15
,300502.SZ,2026-01-13,2026-02-02,35345.04,14,2026-02-02,35345.04,14.0,2026-02-02,35345.04,14.0,2026-01-30,19173.54,13.0,2026-01-30,18100.43,13.0,10+15
,300750.SZ,2025-11-24,2026-02-06,12846.74,52,2026-02-06,9173.21,52.0,2026-02-06,7336.45,52.0,2026-02-05,9293.0,51.0,2025-12-11,11159.99,13.0,10+15
,300308.SZ,2026-02-09,2026-03-18,5792.71,21,2026-03-18,4921.25,21.0,2026-03-18,4487.01,21.0,2026-03-17,4298.35,20.0,2026-03-17,3426.88,20.0,10+15
,002475.SZ,2026-01-09,2026-04-08,16741.83,56,2026-04-08,11758.61,56.0,2026-03-26,8692.02,48.0,2026-03-26,8692.02,48.0,2026-01-19,39818.34,6.0,0.75+10+15
,688256.SH,2026-02-04,2026-04-08,51051.06,38,2026-04-08,51051.06,38.0,2026-04-07,45025.68,37.0,2026-04-07,43875.7,37.0,2026-04-07,41575.76,37.0,0.75+10+15
,601899.SH,2026-03-20,2026-04-15,49074.13,17,2026-04-15,49074.13,17.0,2026-04-15,49074.13,17.0,2026-04-15,49074.13,17.0,N/A,,,
,300274.SZ,2026-07-02,2026-08-11,-31658.44,28,2026-08-11,-33395.38,28.0,2026-08-11,-34263.84,28.0,2026-08-11,-35132.31,28.0,2026-08-11,-36840.3,28.0,
,600487.SH,2026-07-07,2026-08-18,-69151.9,30,2026-08-17,-76914.22,29.0,2026-08-17,-77680.87,29.0,2026-08-17,-78495.44,29.0,2026-08-17,-80076.65,29.0,05+0.75+10+15
,688525.SH,2026-07-16,2026-08-25,-71016.53,28,2026-08-25,-71016.53,28.0,2026-08-25,-71016.53,28.0,2026-08-25,-71016.53,28.0,2026-08-25,-71016.53,28.0,
,600276.SH,2026-08-21,2026-08-25,-9625.77,2,2026-08-25,-9625.77,2.0,2026-08-25,-9625.77,2.0,2026-08-25,-9625.77,2.0,2026-08-25,-9625.77,2.0,
,688256.SH,2026-08-25,2026-08-25,7495.97,0,2026-08-25,7495.97,0.0,2026-08-25,7495.97,0.0,2026-08-25,7495.97,0.0,2026-08-25,7495.97,0.0,
