date,leg,action,gross,fee,net,shares,px
2021-05-18,stock,sell,400219.37999999995,504.27641879999993,399715.10358119995,6000,66.70322999999999
2021-05-18,etf,buy,398945.54699999996,99.73638675,-399045.28338675,156600,2.545
2021-05-25,etf,sell,198757.64339999997,49.689410849999994,198707.95398914997,77900,2.554
2021-05-25,stock,buy,169857.688,44.162998879999996,-169901.85099888,400,424.64421999999996
2021-05-25,etf,buy,28855.1263,7.2137815750000005,-28862.340081575,11300,2.551
2021-05-28,etf,sell,198659.14199999996,49.664785499999994,198609.47721449996,78600,2.53
2021-05-28,stock,buy,166782.61599999998,43.363480159999995,-166825.97948016,400,416.95653999999996
2021-05-28,etf,buy,31744.212499999998,7.936053125,-31752.148553124996,12500,2.537
2021-06-01,stock,sell,227436.336,286.56978336000003,227149.76621664,7200,31.58838
2021-06-02,etf,buy,227183.75679999997,56.79593919999999,-227240.55273919998,89600,2.533
2021-06-08,etf,sell,198735.6654,49.683916350000004,198685.98148365,77800,2.557
2021-06-08,stock,buy,199098.89999999997,51.76571399999999,-199150.66571399997,20400,9.759749999999999
2021-06-08,stock,sell,508216.2750000001,640.3525065000001,507575.92249350005,2500,203.28651000000002
2021-06-09,etf,buy,307010.90419999993,76.75272604999998,-307087.6569260499,119900,2.558
2021-06-10,stock,buy,199279.07999999996,51.81256079999999,-199330.89256079996,21000,9.489479999999999
2021-06-10,etf,buy,510.30979999999994,5.0,-515.3098,200,2.549
2021-06-15,etf,sell,198616.7844,49.6541961,198567.13020390001,77300,2.572
2021-06-15,stock,buy,198017.81999999998,51.48463319999999,-198069.30463319996,7000,28.288259999999998
2021-06-16,etf,sell,194640.4647,48.660116175000006,194591.80458382503,75900,2.567
2021-06-16,stock,buy,199405.20599999998,51.84535356,-199457.05135355997,21700,9.189179999999999
2021-06-17,etf,sell,199563.43680000002,49.89085920000001,199513.54594080002,78400,2.548
2021-06-17,stock,buy,199407.20799999998,51.84587408,-199459.05387407998,7400,26.94692
2021-07-06,etf,sell,167146.686,41.7866715,167104.89932849997,62900,2.66
2021-07-06,stock,buy,143343.19999999998,37.269232,-143380.46923199997,400,358.35799999999995
2021-07-06,stock,sell,630369.0,794.26494,629574.73506,63100,9.99
2021-07-06,etf,buy,653066.0136000001,163.26650340000003,-653229.2801034001,244900,2.664
2021-07-09,etf,sell,198780.2208,49.695055200000006,198730.52574480002,75600,2.632
2021-07-09,stock,buy,198962.76399999997,51.73031863999999,-199014.49431863998,7900,25.185159999999996
2021-07-09,etf,sell,199043.15760000004,49.76078940000001,198993.39681060004,75700,2.632
2021-07-09,stock,buy,188803.61499999996,49.08893989999999,-188852.70393989995,700,269.71944999999994
2021-07-09,etf,buy,9829.619799999999,5.0,-9834.619799999999,3700,2.654
2021-07-19,stock,sell,493761.744,622.13979744,493139.60420256003,1200,411.46812
2021-07-21,etf,buy,492995.0024999999,123.24875062499997,-493118.2512506249,185500,2.655
2021-07-23,etf,sell,198790.5105,49.697627625,198740.812872375,74500,2.671
2021-07-23,stock,buy,199671.47199999998,51.91458272,-199723.38658271998,5200,38.39836
2021-07-27,etf,sell,199748.052,49.937013,199698.114987,74000,2.702
2021-07-27,stock,buy,197797.59999999998,51.427375999999995,-197849.02737599998,800,247.24699999999999
2021-07-27,etf,buy,812.6117999999999,5.0,-817.6117999999999,300,2.706
2021-07-29,etf,sell,198668.33279999997,49.66708319999999,198618.66571679997,73600,2.702
2021-07-29,stock,buy,196548.35199999998,51.10257152,-196599.45457151998,800,245.68543999999997
2021-07-29,etf,buy,2159.7575999999995,5.0,-2164.7575999999995,800,2.697
2021-08-02,etf,sell,166384.449,41.59611225,166342.85288775,61800,2.695
2021-08-02,stock,buy,150909.759,39.236537340000005,-150948.99553734,700,215.58536999999998
2021-08-03,stock,sell,623775.6,785.9572559999999,622989.642744,22300,27.972
2021-08-05,stock,sell,220519.26,277.85426759999996,220241.40573240002,5200,42.40755
2021-08-10,etf,buy,858391.9343999999,214.5979836,-858606.5323835999,316200,2.712
2021-08-17,etf,sell,198690.7104,49.67267760000001,198641.0377224,72800,2.732
2021-08-17,stock,buy,194193.99999999997,50.49044,-194244.49043999997,400,485.48499999999996
2021-08-17,etf,sell,194323.88160000002,48.580970400000005,194275.3006296,71200,2.732
