ep,ts_code,entry_date,exit_date,hold_days,days,pnl,return_pct,exit_type,levels_used,in_0.1,n_days_in_0.1,in_0.2,n_days_in_0.2,in_0.5,n_days_in_0.5,in_0.75,n_days_in_0.75,in_1.0,n_days_in_1.0,in_1.5,n_days_in_1.5,in_2.0,n_days_in_2.0
002352.SZ|2021-04-13,002352.SZ,2021-04-13,2021-05-18,22,22,7037.317150380055,1.82,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
002415.SZ|2020-05-26,002415.SZ,2020-05-26,2020-06-18,17,17,14247.334767060034,7.16,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2
002415.SZ|2022-05-09,002415.SZ,2022-05-09,2022-06-06,19,19,21141.421241400065,3.55,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1
002456.SZ|2020-09-02,002456.SZ,2020-09-02,2020-10-28,34,34,-5187.662768339971,-0.75,TAKE_PROFIT_DYN,4,0,0,0,0,0,0,1,2,1,2,1,5,1,8
002460.SZ|2021-08-17,002460.SZ,2021-08-17,2021-08-30,9,9,47024.09293319998,24.03,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,2,1,2
002460.SZ|2025-11-25,002460.SZ,2025-11-25,2025-12-22,19,19,18748.82582495999,9.61,TAKE_PROFIT_DYN,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3
002466.SZ|2021-09-23,002466.SZ,2021-09-23,2021-11-09,28,28,20545.87808664003,5.28,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
002475.SZ|2020-12-15,002475.SZ,2020-12-15,2020-12-23,6,6,16941.61435680004,8.52,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,4,1,4
002475.SZ|2021-01-29,002475.SZ,2021-01-29,2021-04-19,50,50,-140146.54519607988,-17.91,TAKE_PROFIT_DYN,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1
002475.SZ|2023-09-08,002475.SZ,2023-09-08,2023-10-11,17,17,13314.679056360035,6.73,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,1,1,1,1,1,2,1,2
002475.SZ|2026-01-09,002475.SZ,2026-01-09,2026-04-08,56,56,15158.67832908011,1.54,TAKE_PROFIT_DYN,5,0,0,0,0,0,0,1,1,1,2,1,4,1,5
002594.SZ|2021-05-06,002594.SZ,2021-05-06,2021-06-08,23,23,131567.65075440012,34.99,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,1,1,1,1,3,1,6
002594.SZ|2021-12-17,002594.SZ,2021-12-17,2022-05-05,88,88,-12466.942904699945,-1.6,TAKE_PROFIT_DYN,4,0,0,1,1,1,2,1,2,1,2,1,3,1,7
002594.SZ|2022-07-13,002594.SZ,2022-07-13,2022-11-04,76,76,-6528.044203919824,-0.69,TAKE_PROFIT_DYN,5,0,0,0,0,0,0,0,0,0,0,1,1,1,6
002594.SZ|2023-08-15,002594.SZ,2023-08-15,2024-03-12,137,137,-71889.57009431999,-7.53,TAKE_PROFIT_DYN,5,0,0,1,2,1,3,1,5,1,5,1,10,1,17
002714.SZ|2020-05-12,002714.SZ,2020-05-12,2020-06-18,27,27,-73422.30253895996,-37.35,TAKE_PROFIT_DYN,1,0,0,0,0,1,2,1,2,1,3,1,5,1,6
300014.SZ|2023-01-12,300014.SZ,2023-01-12,2023-02-01,9,9,13742.55426942007,6.98,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,2,1,2
300014.SZ|2023-02-21,300014.SZ,2023-02-21,2023-11-06,172,172,-281648.9383369199,-28.57,TAKE_PROFIT_DYN,5,1,1,1,1,1,3,1,6,1,6,1,10,1,15
300059.SZ|2021-02-26,300059.SZ,2021-02-26,2021-04-02,25,25,-10814.738126399956,-5.45,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
300059.SZ|2023-03-08,300059.SZ,2023-03-08,2023-04-03,18,18,26668.556488800037,6.7,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300059.SZ|2025-01-03,300059.SZ,2025-01-03,2025-02-07,19,19,22168.287147600087,5.57,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
