round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
38,002594.SZ,,2021-12-17,2022-03-01,TAKE_PROFIT_DYN,3,2200,-20047.015153440065,0.0,-3.45,46
39,000858.SZ,,2022-03-04,2022-04-14,TAKE_PROFIT_DYN,3,3300,-3300.039519479964,0.0,-0.58,27
40,300014.SZ,,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,4,7500,80248.37672024022,0.0,14.2,58
41,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,4,1400,-89048.8158411599,0.0,-12.63,106
42,300122.SZ,,2022-04-15,2022-06-15,TAKE_PROFIT_DYN,3,3500,-67858.42945849989,0.0,-16.96,39
43,002241.SZ,,2022-06-24,2022-08-01,TAKE_PROFIT_DYN,1,6200,5731.775196480041,0.0,2.87,26
44,600036.SH,,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,16800,-5817.571984159993,6453.28,-0.98,34
45,300274.SZ,,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,2,3500,48810.82377780002,0.0,12.65,23
46,002594.SZ,,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,4,2600,-42132.80251547985,50.4,-5.54,76
47,300059.SZ,,2022-08-03,2022-11-15,TAKE_PROFIT_DYN,5,27500,-9932.739048969932,0.0,-1.89,68
48,600519.SH,,2022-10-13,2022-12-01,TAKE_PROFIT_DYN,2,200,-3317.012517959927,0.0,-0.99,35
49,300274.SZ,,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,2,3800,46002.50051706011,0.0,11.79,18
50,002241.SZ,,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,2,23700,31948.23747024004,0.0,8.02,37
51,002812.SZ,,2022-11-24,2023-01-06,TAKE_PROFIT_DYN,3,4500,67912.97746860015,0.0,11.71,30
52,300014.SZ,,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,1,2300,12686.944016340014,0.0,6.45,9
53,300750.SZ,,2023-02-20,2023-03-31,TAKE_PROFIT_DYN,3,1300,16092.175710780022,0.0,3.11,29
54,300059.SZ,,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,2,20500,24418.64994750003,0.0,6.14,18
