round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,tax_due,return_pct,hold_days
59,300014.SZ,,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,5,14700,-279532.1383369199,2352.0,235.2,-28.35,172
60,600519.SH,,2023-10-16,2023-12-29,TAKE_PROFIT_DYN,2,200,-440.7696889199433,0.0,0.0,-0.13,54
61,601318.SH,,2023-11-10,2024-01-25,TAKE_PROFIT_DYN,3,9400,-19102.226359200024,0.0,0.0,-4.76,53
62,002230.SZ,,2024-01-04,2024-02-08,TAKE_PROFIT_DYN,2,8100,10792.514014920045,0.0,0.0,3.16,25
63,002594.SZ,,2023-08-15,2024-03-12,TAKE_PROFIT_DYN,5,4100,-136396.91712240002,0.0,0.0,-14.22,137
64,601012.SH,,2024-01-30,2024-03-12,TAKE_PROFIT_DYN,2,19500,51534.19528686005,0.0,0.0,13.41,24
65,601318.SH,,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,2,10100,32025.780640259967,0.0,0.0,8.1,23
66,000628.SZ,,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,3,8700,-131429.80281221983,0.0,0.0,-22.19,31
67,000977.SZ,,2024-05-29,2024-07-09,TAKE_PROFIT_DYN,1,5400,9570.830455080006,702.0,70.2,4.79,28
68,000625.SZ,,2024-05-07,2024-07-10,TAKE_PROFIT_DYN,2,28300,11127.711232620002,4561.9,456.19,2.8,45
69,603019.SH,,2024-03-28,2024-07-17,TAKE_PROFIT_DYN,2,9000,-11214.667527119862,1530.0,153.0,-2.82,73
70,601919.SH,,2024-07-15,2024-09-20,TAKE_PROFIT_DYN,2,30800,-320.17370615992695,0.0,0.0,-0.08,47
71,601138.SH,,2024-07-19,2024-09-24,TAKE_PROFIT_DYN,3,27100,-36448.05115835993,9628.0,962.8,-6.09,45
72,601899.SH,,2024-07-24,2024-09-25,TAKE_PROFIT_DYN,3,34900,47527.89190542011,2490.0,249.0,8.7,43
73,600150.SH,,2024-09-23,2024-12-18,TAKE_PROFIT_DYN,2,11500,25549.931969100027,0.0,0.0,6.49,57
74,600418.SH,,2024-11-28,2025-01-22,TAKE_PROFIT_DYN,1,5700,38096.99451360002,0.0,0.0,19.32,38
75,600030.SH,,2025-01-02,2025-02-07,TAKE_PROFIT_DYN,2,14200,-115.76196719997097,0.0,0.0,-0.03,20
76,300059.SZ,,2025-01-03,2025-02-07,TAKE_PROFIT_DYN,2,17100,22168.287147600087,0.0,0.0,5.57,19
77,000063.SZ,,2025-03-04,2025-05-07,TAKE_PROFIT_DYN,2,12200,16661.973426640096,7527.4,1166.13,4.21,42
78,300308.SZ,,2025-02-06,2025-05-08,TAKE_PROFIT_DYN,4,9100,44170.89691013994,0.0,0.0,5.7,61
79,300502.SZ,,2025-03-03,2025-05-08,TAKE_PROFIT_DYN,2,4900,111893.05403892009,0.0,0.0,28.73,44
80,688981.SH,,2025-05-12,2025-06-23,TAKE_PROFIT_DYN,2,4600,-951.4458161999937,0.0,0.0,-0.24,29
81,688256.SH,,2025-05-28,2025-06-26,TAKE_PROFIT_DYN,1,300,4541.464932840026,0.0,0.0,2.45,20
82,600519.SH,,2025-06-16,2025-07-10,TAKE_PROFIT_DYN,1,100,4418.1173403199855,2767.3,553.46,3.15,18
83,300308.SZ,,2025-10-15,2025-10-24,TAKE_PROFIT_DYN,1,500,64444.64491080004,0.0,0.0,37.31,7
84,002460.SZ,,2025-11-25,2025-12-22,TAKE_PROFIT_DYN,1,3300,18748.82582495999,0.0,0.0,9.61,19
85,601138.SH,,2025-11-25,2025-12-25,TAKE_PROFIT_DYN,1,3500,38151.08852940003,0.0,0.0,19.32,22
86,300502.SZ,,2026-01-13,2026-02-02,TAKE_PROFIT_DYN,1,500,35345.03866740002,0.0,0.0,18.33,14
87,300750.SZ,,2025-11-24,2026-02-06,TAKE_PROFIT_DYN,4,2000,12846.735693000024,0.0,0.0,1.78,52
88,300308.SZ,,2026-02-09,2026-03-18,TAKE_PROFIT_DYN,1,300,5792.713827119995,0.0,0.0,3.44,21
89,002475.SZ,,2026-01-09,2026-04-08,TAKE_PROFIT_DYN,5,19200,16741.830029080073,1759.06,175.91,1.7,56
90,688256.SH,,2026-02-04,2026-04-08,TAKE_PROFIT_DYN,3,400,51051.05774010002,0.0,0.0,12.4,38
91,601899.SH,,2026-03-20,2026-04-15,TAKE_PROFIT_DYN,2,12500,49074.12763110007,0.0,0.0,12.36,17
92,300274.SZ,,2026-07-02,2026-08-11,TAKE_PROFIT_DYN,2,2900,-31658.43649319996,0.0,0.0,-8.36,28
93,600487.SH,,2026-07-07,2026-08-18,TAKE_PROFIT_DYN,2,4800,-69151.9018964399,0.0,0.0,-17.71,30
94,688525.SH,,2026-07-16,2026-08-25,FINAL_SETTLE,2,1300,-71016.53428584,0.0,0.0,-19.37,28
95,600276.SH,,2026-08-21,2026-08-25,FINAL_SETTLE,2,8300,-9625.774603499915,0.0,0.0,-2.44,2
96,688256.SH,,2026-08-25,2026-08-25,FINAL_SETTLE,1,200,7495.974192960042,0.0,0.0,3.86,0
