ts_code,entry,exit,cls,comp_i,exit_i
300418.SZ,2023-06-27,2023-08-14,SAME_DAY,876,876
600276.SH,2023-08-01,2023-08-28,SAME_DAY,886,886
002475.SZ,2023-09-08,2023-10-11,SAME_DAY,912,912
300014.SZ,2023-02-21,2023-11-06,COMP_EARLIER,797,930
601318.SH,2023-11-10,2024-01-25,COMP_EARLIER,969,987
600519.SH,2023-10-16,2024-02-06,COMP_EARLIER,927,995
002594.SZ,2023-08-15,2024-03-12,COMP_EARLIER,977,1014
601012.SH,2024-01-30,2024-03-12,COMP_EARLIER,1008,1014
601318.SH,2024-03-25,2024-04-29,SAME_DAY,1046,1046
000628.SZ,2024-04-01,2024-05-21,SAME_DAY,1059,1059
000977.SZ,2024-05-29,2024-07-09,COMP_EARLIER,1079,1093
000625.SZ,2024-05-07,2024-07-10,SAME_DAY,1094,1094
603019.SH,2024-03-28,2024-07-17,COMP_EARLIER,1079,1099
601919.SH,2024-07-15,2024-09-20,SAME_DAY,1144,1144
601138.SH,2024-07-19,2024-09-24,SAME_DAY,1146,1146
601899.SH,2024-07-24,2024-09-25,SAME_DAY,1147,1147
600150.SH,2024-09-23,2024-12-18,COMP_EARLIER,1150,1202
600418.SH,2024-11-28,2025-01-22,SAME_DAY,1226,1226
600030.SH,2025-01-02,2025-02-07,SAME_DAY,1232,1232
300059.SZ,2025-01-03,2025-02-07,SAME_DAY,1232,1232
000063.SZ,2025-03-04,2025-05-07,SAME_DAY,1291,1291
300308.SZ,2025-02-06,2025-05-08,COMP_EARLIER,1291,1292
300502.SZ,2025-03-03,2025-05-08,SAME_DAY,1292,1292
688981.SH,2025-05-12,2025-06-23,SAME_DAY,1323,1323
688256.SH,2025-05-28,2025-06-26,SAME_DAY,1326,1326
600519.SH,2025-06-16,2025-07-11,COMP_EARLIER,1335,1337
300308.SZ,2025-10-15,2025-10-24,SAME_DAY,1406,1406
002460.SZ,2025-11-25,2025-12-22,COMP_EARLIER,1446,1447
601138.SH,2025-11-25,2025-12-25,SAME_DAY,1450,1450
300502.SZ,2026-01-13,2026-02-02,SAME_DAY,1475,1475
300750.SZ,2025-11-24,2026-02-06,SAME_DAY,1479,1479
300308.SZ,2026-02-09,2026-03-18,COMP_EARLIER,1500,1501
002475.SZ,2026-01-09,2026-04-08,COMP_EARLIER,1507,1515
688256.SH,2026-02-04,2026-04-08,COMP_EARLIER,1514,1515
601899.SH,2026-03-20,2026-04-15,SAME_DAY,1520,1520
300274.SZ,2026-07-02,2026-08-11,SAME_DAY,1600,1600
600487.SH,2026-07-07,2026-08-18,SAME_DAY,1605,1605
