request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
57,TEMPLATE,"diff(bb_z,drawdown_20)","diff(bb_z,drawdown_20)",2cccd2f68b337852,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.03546048214698399,608,-0.00410954686891629,-0.043500369730276406,-0.06361416645133872,-2.5854939484359242e-05,3,0.0004208305763713227,True,True,-0.0498067702006182,-0.008648479334751241,-0.0486826006291006,0.000805988727128091
58,TEMPLATE,"interaction(bb_z,drawdown_20)","interaction(bb_z,drawdown_20)",b5d62832fc4cfbea,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.03208877731425612,608,-0.006634525407243689,-0.028750640653878834,-0.06519053075001074,-0.00015235460679854096,3,0.001966021433294829,True,True,-0.04660847074838332,-0.008978190930486704,-0.047801286651759214,-0.002179894950289286
59,TEMPLATE,"min(bb_z,drawdown_20)","min(bb_z,drawdown_20)",185025e170f04daa,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.036559212259416184,608,0.005453521103831686,0.044512044191765486,0.06370331139784251,0.0022422368026328494,3,0.000308786422949181,True,True,0.049764335204484395,0.00868853808306046,0.04815071750686869,-0.0019766264193894823
66,TEMPLATE,"ratio(bb_z,log_amount)","ratio(bb_z,log_amount)",b696be5584408e84,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.030187674193183533,608,-0.003178805179134148,0.024638476413580867,-0.07744772277586898,-0.02265561829654397,2,0.001906847640447129,True,True,-0.0873708243988335,-0.019494516724340587,0.031031895687911724,0.015945903440135654
67,TEMPLATE,"diff(bb_z,log_amount)","diff(bb_z,log_amount)",4f23a990fa8bb681,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.04849983888266085,608,0.008008762649817352,-0.008780737041282544,0.09954810011899455,0.03888872362016889,2,2.2070509859695164e-06,True,True,0.09744422491024911,0.02188114322997522,-0.032026027820414506,-0.0183034894892495
68,TEMPLATE,"interaction(bb_z,log_amount)","interaction(bb_z,log_amount)",26c07482aa185c9a,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.042690949881071576,608,0.00711367446662054,0.005142447741931518,0.07775482805850162,0.034723513866596556,3,1.2254957392654475e-05,True,True,0.06783286274890594,0.012536022338392579,-0.012794573890119296,-0.010124150312988803
70,TEMPLATE,"max(bb_z,log_amount)","max(bb_z,log_amount)",d5d09acb32197af7,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04790113390183817,608,-0.007794187075541882,0.022881922212376744,-0.10352248017243434,-0.043794129301334604,2,2.8251375967514036e-06,True,True,-0.10477764617838153,-0.0241323747788383,0.03794650846642295,0.02062397339791956
76,TEMPLATE,"ratio(bb_z,turnover_rank)","ratio(bb_z,turnover_rank)",c4c83c7dbc4ffeeb,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.0444171628631092,608,-0.007794246693795371,0.02917765551789691,-0.10146234046057397,-0.040965249940708125,2,1.049796462604391e-05,True,True,-0.11246058138074308,-0.026164137925149513,0.037548496197501384,0.022510831646649073
77,TEMPLATE,"diff(bb_z,turnover_rank)","diff(bb_z,turnover_rank)",9a5fd9ca983eaf05,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.0418275932534359,608,0.008225244291020362,0.005297174041126246,0.07577417540813926,0.034249674373565575,3,1.305471092205579e-05,True,True,0.06938716467511993,0.013551645337184157,-0.015304252162015376,-0.007245415239574582
79,TEMPLATE,"max(bb_z,turnover_rank)","max(bb_z,turnover_rank)",78e2f0da2e46dfe5,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04790113390183817,608,-0.007794187075541882,0.022881922212376744,-0.10352248017243434,-0.043794129301334604,2,2.8251375967514036e-06,True,True,-0.10477764617838153,-0.0241323747788383,0.03794650846642295,0.02062397339791956
