factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,date_killed
AFS_000084,SYMBOLIC_TEMPLATE_84,"ratio(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000085,SYMBOLIC_TEMPLATE_85,"diff(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000086,SYMBOLIC_TEMPLATE_86,"min(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000087,SYMBOLIC_TEMPLATE_87,"max(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
AFS_000088,SYMBOLIC_TEMPLATE_88,"ratio(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0099,nan,nan,2026-09-11
AFS_000089,SYMBOLIC_TEMPLATE_89,"diff(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000090,SYMBOLIC_TEMPLATE_90,"interaction(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0099,nan,nan,2026-09-11
AFS_000091,SYMBOLIC_TEMPLATE_91,"min(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0116,nan,nan,2026-09-11
AFS_000092,SYMBOLIC_TEMPLATE_92,"max(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0028,nan,nan,2026-09-11
AFS_000093,SYMBOLIC_TEMPLATE_93,"ratio(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0025,nan,nan,2026-09-11
AFS_000094,SYMBOLIC_TEMPLATE_94,"diff(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000095,SYMBOLIC_TEMPLATE_95,"interaction(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0025,nan,nan,2026-09-11
AFS_000096,SYMBOLIC_TEMPLATE_96,"min(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0118,nan,nan,2026-09-11
AFS_000097,SYMBOLIC_TEMPLATE_97,"max(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0018,nan,nan,2026-09-11
AFS_000098,SYMBOLIC_TEMPLATE_98,"ratio(bb_z,gap_pct)",DISCOVERY_FAIL,NO_SIGNAL,-0.0041,nan,nan,2026-09-11
AFS_000099,SYMBOLIC_TEMPLATE_99,"diff(bb_z,gap_pct)",VALIDATION_FAIL,OOS_FAIL,-0.0204,-0.0084,0.0037,2026-09-11
AFS_000100,SYMBOLIC_TEMPLATE_100,"interaction(bb_z,gap_pct)",VALIDATION_FAIL,OOS_FAIL,-0.0262,-0.0038,0.0025,2026-09-11
AFS_000101,SYMBOLIC_TEMPLATE_101,"min(bb_z,gap_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0122,nan,nan,2026-09-11
AFS_000102,SYMBOLIC_TEMPLATE_102,"max(bb_z,gap_pct)",NO_KEEP_WEAK,UNSTABLE,0.0262,0.0024,0.0020,2026-09-11
AFS_000103,SYMBOLIC_TEMPLATE_103,"ratio(distance_to_lower_band,ret_5d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0074,nan,nan,2026-09-11
AFS_000104,SYMBOLIC_TEMPLATE_104,"diff(distance_to_lower_band,ret_5d)",TEST_FAIL,OOS_FAIL,-0.0385,-0.0310,-0.0548,2026-09-11
AFS_000105,SYMBOLIC_TEMPLATE_105,"interaction(distance_to_lower_band,ret_5d)",TEST_FAIL,OOS_FAIL,-0.0267,-0.0796,-0.0325,2026-09-11
AFS_000106,SYMBOLIC_TEMPLATE_106,"min(distance_to_lower_band,ret_5d)",NO_KEEP_WEAK,UNSTABLE,0.0379,0.0488,0.0449,2026-09-11
AFS_000107,SYMBOLIC_TEMPLATE_107,"max(distance_to_lower_band,ret_5d)",DISCOVERY_FAIL,NO_SIGNAL,0.0162,nan,nan,2026-09-11
AFS_000108,SYMBOLIC_TEMPLATE_108,"ratio(distance_to_lower_band,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0136,nan,nan,2026-09-11
AFS_000109,SYMBOLIC_TEMPLATE_109,"diff(distance_to_lower_band,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0051,nan,nan,2026-09-11
AFS_000110,SYMBOLIC_TEMPLATE_110,"interaction(distance_to_lower_band,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0120,nan,nan,2026-09-11
AFS_000111,SYMBOLIC_TEMPLATE_111,"min(distance_to_lower_band,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0022,nan,nan,2026-09-11
AFS_000112,SYMBOLIC_TEMPLATE_112,"max(distance_to_lower_band,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0147,nan,nan,2026-09-11
AFS_000113,SYMBOLIC_TEMPLATE_113,"ratio(distance_to_lower_band,atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0075,nan,nan,2026-09-11
AFS_000114,SYMBOLIC_TEMPLATE_114,"diff(distance_to_lower_band,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0348,0.0631,0.0551,2026-09-11
AFS_000115,SYMBOLIC_TEMPLATE_115,"interaction(distance_to_lower_band,atr14_pct)",FDR_FAIL,MULTIPLE_TESTING_FAIL,0.0201,nan,nan,2026-09-11
AFS_000116,SYMBOLIC_TEMPLATE_116,"min(distance_to_lower_band,atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000117,SYMBOLIC_TEMPLATE_117,"max(distance_to_lower_band,atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0448,-0.0386,-0.0637,2026-09-11
AFS_000118,SYMBOLIC_TEMPLATE_118,"diff(distance_to_lower_band,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0146,nan,nan,2026-09-11
AFS_000119,SYMBOLIC_TEMPLATE_119,"interaction(distance_to_lower_band,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0185,nan,nan,2026-09-11
AFS_000120,SYMBOLIC_TEMPLATE_120,"min(distance_to_lower_band,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000121,SYMBOLIC_TEMPLATE_121,"max(distance_to_lower_band,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0141,nan,nan,2026-09-11
AFS_000122,SYMBOLIC_TEMPLATE_122,"ratio(distance_to_lower_band,drawdown_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0122,nan,nan,2026-09-11
AFS_000123,SYMBOLIC_TEMPLATE_123,"diff(distance_to_lower_band,drawdown_20)",TEST_FAIL,OOS_FAIL,-0.0325,-0.0313,-0.0499,2026-09-11
AFS_000124,SYMBOLIC_TEMPLATE_124,"interaction(distance_to_lower_band,drawdown_20)",FDR_FAIL,MULTIPLE_TESTING_FAIL,-0.0210,nan,nan,2026-09-11
AFS_000125,SYMBOLIC_TEMPLATE_125,"min(distance_to_lower_band,drawdown_20)",NO_KEEP_WEAK,UNSTABLE,0.0347,0.0519,0.0466,2026-09-11
AFS_000126,SYMBOLIC_TEMPLATE_126,"max(distance_to_lower_band,drawdown_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0160,nan,nan,2026-09-11
AFS_000127,SYMBOLIC_TEMPLATE_127,"ratio(distance_to_lower_band,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,-0.0148,nan,nan,2026-09-11
AFS_000128,SYMBOLIC_TEMPLATE_128,"diff(distance_to_lower_band,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,-0.0063,nan,nan,2026-09-11
AFS_000129,SYMBOLIC_TEMPLATE_129,"interaction(distance_to_lower_band,distance_52w_high)",TEST_FAIL,OOS_FAIL,-0.0222,-0.0970,-0.0155,2026-09-11
AFS_000130,SYMBOLIC_TEMPLATE_130,"min(distance_to_lower_band,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0096,nan,nan,2026-09-11
AFS_000131,SYMBOLIC_TEMPLATE_131,"max(distance_to_lower_band,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0183,nan,nan,2026-09-11
AFS_000132,SYMBOLIC_TEMPLATE_132,"ratio(distance_to_lower_band,log_amount)",DISCOVERY_FAIL,NO_SIGNAL,0.0112,nan,nan,2026-09-11
AFS_000133,SYMBOLIC_TEMPLATE_133,"diff(distance_to_lower_band,log_amount)",TEST_FAIL,OOS_FAIL,0.0402,0.1146,-0.0164,2026-09-11
AFS_000134,SYMBOLIC_TEMPLATE_134,"interaction(distance_to_lower_band,log_amount)",DISCOVERY_FAIL,NO_SIGNAL,0.0188,nan,nan,2026-09-11
AFS_000135,SYMBOLIC_TEMPLATE_135,"min(distance_to_lower_band,log_amount)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000136,SYMBOLIC_TEMPLATE_136,"max(distance_to_lower_band,log_amount)",VALIDATION_FAIL,OOS_FAIL,-0.0479,-0.1048,0.0379,2026-09-11
