episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_break_even_days,max_underwater_duration_days,n_path_days,turnover_rank,entry_k,bb_z_signal,rsi14_signal,macd_dif_signal,macd_dea_signal,macd_hist_signal
5527,601618.SH,-14762.216220839968,2023-10-10,2023-10-11,2024-01-25,TAKE_PROFIT_DYN,1,200009.74701707996,-7.380748409015955,75,-13.104646832457467,-14.582458961157164,2.8557241574993286,3.7424114347191395,-7.2862049193409995,72,0.0,64,76,201,3.0,-3.954053620540533,28.17217254638672,-0.07460743933916092,-0.062458064407110214,-0.01214937586337328
5528,601668.SH,-13187.076847559976,2023-10-10,2023-10-11,2024-01-25,TAKE_PROFIT_DYN,1,200037.78230435998,-6.59229306366518,75,-11.942741770657628,-13.279836798001233,2.0012492287826866,2.7653035301218987,-6.496944737862509,72,0.0,57,76,34,3.0,-3.2405385534327773,29.509376525878906,-0.19842669367790222,-0.13476893305778503,-0.06365776062011719
5529,002142.SZ,-59589.73989143991,2023-10-12,2023-10-13,2024-01-25,TAKE_PROFIT_DYN,2,397468.2828916799,-14.992325792113483,73,-23.37368395409507,-24.299803380819085,1.470476319327596,2.1952654358942114,-17.97960201829608,60,0.0,46,74,15,3.0,-3.31502782659365,29.354129791259766,-0.6387041211128235,-0.0742180198431015,-0.5644860863685608
5530,000001.SZ,-21355.498602899956,2023-10-19,2023-10-20,2024-01-25,TAKE_PROFIT_DYN,1,199646.2895427,-10.696666916182522,68,-14.493089848540086,-15.155934113280068,1.2257884295798993,1.2257884295798993,-10.605508235839967,43,0.0,56,69,85,3.0,-3.2122801370242575,28.077943801879883,-15.390636444091797,-12.172794342041016,-3.2178423404693604
5531,601868.SH,-1534.2380380800168,2023-10-23,2023-10-24,2024-01-25,TAKE_PROFIT_DYN,1,199913.62603212,-0.7674504577459427,66,-5.234951963923928,-6.16859775738281,3.6346830739354186,4.101505970664854,-0.666156273632923,64,0.0,36,67,410,3.0,-3.1390956609526772,19.70024871826172,-0.03157101571559906,-0.023999467492103577,-0.007571548689156771
5532,600284.SH,44108.96923818003,2024-01-18,2024-01-19,2024-01-25,TAKE_PROFIT_DYN,2,399301.59042774,11.046529814952551,4,-4.269353351156346,-5.603578391558351,16.244356645024418,16.244356645024418,10.130103619252196,1,3.0,3,5,1968,3.0,-3.0373731214067328,30.594106674194336,-0.2160211205482483,-0.1561240553855896,-0.05989706516265869
5533,000928.SZ,29744.12885400001,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199751.42186999996,14.890571779437826,2,3.1349602778174335,-1.4319014319014278,18.92869035726179,18.92869035726179,15.00784929356358,0,0.0,0,3,1086,3.0,-3.0679404428279544,24.034439086914062,-0.2760450839996338,-0.2278095781803131,-0.04823550581932068
5534,001872.SZ,22100.197761179996,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199884.58948457998,11.056479050319638,2,0.8318796460035749,-2.0965709839793623,11.214568243215828,11.414235331623734,11.169842815412444,0,0.0,0,3,3540,3.0,-3.017678252269885,28.4110107421875,-0.7192383408546448,-0.31896311044692993,-0.40027523040771484
5535,600278.SH,36133.29244800002,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199611.24543359998,18.1018320733937,2,5.672818353396192,-1.3827264228548297,18.66143487331289,23.151327003654455,18.22238756428163,0,0.0,0,3,4239,3.0,-3.3151728450726,25.13637924194336,-0.3356373608112335,-0.20049908757209778,-0.13513828814029694
5536,600390.SH,27128.578029300057,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199804.48866377995,13.577561850950476,2,1.986180872491805,-2.4177678470021613,17.51589477807578,18.906615426337027,13.69349907632973,0,0.0,0,3,1410,3.0,-3.014510750401622,24.2300968170166,-0.4359451234340668,-0.33476534485816956,-0.10117979347705841
5537,600604.SH,31708.835761680006,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199695.35129544,15.878604862848439,2,3.476475791511602,-1.292025397037333,15.874578881738799,18.020404416585812,15.996890937225071,0,0.0,0,3,3702,3.0,-3.412548505541892,27.10950469970703,-5.234483242034912,-3.917574644088745,-1.3169087171554565
5538,600622.SH,38568.009506400005,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199939.65879888,19.289824609131546,2,1.2088348332889742,-2.281124988548555,22.584838742043978,22.584838742043978,19.41159277403819,0,0.0,0,3,4278,3.0,-3.2173350011342814,23.99824333190918,-16.829803466796875,-12.525228500366211,-4.304574489593506
5539,600638.SH,44685.180571680045,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199955.67896303997,22.347542617151525,2,1.172712637680795,-2.8572276979920153,22.595027053625792,22.595027053625792,22.472432026572186,0,0.0,0,3,3500,3.0,-3.4160616339732277,25.256988525390625,-2.026123285293579,-1.6564123630523682,-0.36971086263656616
5540,600643.SH,32800.78735361999,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199736.40296610002,16.422037678923786,2,3.122683767845058,-2.0334504205472115,16.65753601237472,19.880119880119885,16.54087847636234,0,0.0,0,3,3096,3.0,-3.121382528962197,22.063932418823242,-0.8064932823181152,-0.5343614220619202,-0.2721318304538727
5541,600649.SH,28354.565638080006,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199755.42691103998,14.194640954965173,2,1.9751761591524364,-1.8785368933736724,14.129194247888632,14.722073179046502,14.311208079754078,0,0.0,0,3,3641,3.0,-3.1682386035505092,21.124446868896484,-1.6233851909637451,-1.3997608423233032,-0.2236243188381195
