ts_code,trade_date,name,market,close,pre_close,pct_change,old_is_limit_down,correct_is_limit_down
300199.SZ,2026-07-17,翰宇药业,创业板,21.44,24.47,-12.382509194932556,1,0
300200.SZ,2020-09-10,高盟新材,创业板,10.94,12.87,-14.996114996114995,1,0
300200.SZ,2024-01-17,高盟新材,创业板,7.03,8.18,-14.058679706601463,1,0
300200.SZ,2024-10-09,高盟新材,创业板,8.39,9.83,-14.649033570701931,1,0
300200.SZ,2026-01-28,高盟新材,创业板,12.3,14.39,-14.52397498262682,1,0
300201.SZ,2020-02-28,海伦哲,创业板,3.54,3.92,-9.693877551020403,1,0
300201.SZ,2020-09-09,海伦哲,创业板,5.08,6.04,-15.89403973509934,1,0
300201.SZ,2020-09-10,海伦哲,创业板,4.2,5.08,-17.322834645669293,1,0
300201.SZ,2022-04-26,海伦哲,创业板,1.9,2.12,-10.377358490566046,1,0
300201.SZ,2022-04-29,海伦哲,创业板,1.79,2.16,-17.129629629629626,1,0
300201.SZ,2023-12-07,海伦哲,创业板,4.93,5.5,-10.363636363636363,1,0
300201.SZ,2024-02-05,海伦哲,创业板,3.2,3.58,-10.6145251396648,1,0
300201.SZ,2024-04-16,海伦哲,创业板,3.8,4.29,-11.421911421911425,1,0
300201.SZ,2024-10-09,海伦哲,创业板,4.06,4.62,-12.121212121212132,1,0
300201.SZ,2024-11-12,海伦哲,创业板,5.93,6.56,-9.60365853658537,1,0
300201.SZ,2025-04-07,海伦哲,创业板,4.62,5.52,-16.30434782608695,1,0
300201.SZ,2026-07-17,海伦哲,创业板,12.63,13.99,-9.721229449606861,1,0
300201.SZ,2026-07-20,海伦哲,创业板,10.58,12.63,-16.231195566112433,1,0
300202.SZ,2020-09-11,聚龙退(退),创业板,14.29,16.08,-11.131840796019898,1,0
300202.SZ,2021-04-13,聚龙退(退),创业板,6.92,8.4,-17.619047619047624,1,0
300202.SZ,2021-05-06,聚龙退(退),创业板,4.41,4.95,-10.909090909090914,1,0
300202.SZ,2022-02-07,聚龙退(退),创业板,4.33,4.92,-11.991869918699184,1,0
300202.SZ,2022-03-15,聚龙退(退),创业板,3.03,3.39,-10.619469026548678,1,0
300202.SZ,2022-04-27,聚龙退(退),创业板,1.59,1.9,-16.315789473684205,1,0
300202.SZ,2022-04-28,聚龙退(退),创业板,1.39,1.59,-12.578616352201266,1,0
300203.SZ,2020-01-23,聚光科技,创业板,14.63,16.25,-9.969230769230764,1,0
300203.SZ,2021-09-16,聚光科技,创业板,19.67,23.0,-14.478260869565208,1,0
300203.SZ,2021-12-30,聚光科技,创业板,26.79,30.65,-12.593800978792824,1,0
300203.SZ,2022-04-25,聚光科技,创业板,16.82,18.67,-9.908944831280131,1,0
300203.SZ,2023-03-27,聚光科技,创业板,25.93,28.97,-10.493614083534686,1,0
300203.SZ,2024-02-05,聚光科技,创业板,9.5,11.36,-16.373239436619713,1,0
300203.SZ,2024-04-15,聚光科技,创业板,11.25,12.47,-9.78348035284684,1,0
300203.SZ,2024-10-09,聚光科技,创业板,15.54,17.75,-12.450704225352116,1,0
300204.SZ,2021-09-29,舒泰神,创业板,11.41,12.62,-9.587955625990485,1,0
300204.SZ,2021-12-01,舒泰神,创业板,18.55,22.0,-15.681818181818175,1,0
300204.SZ,2022-01-20,舒泰神,创业板,24.75,28.13,-12.015641663704224,1,0
300204.SZ,2022-01-21,舒泰神,创业板,21.6,24.75,-12.72727272727272,1,0
300204.SZ,2022-02-11,舒泰神,创业板,15.88,17.74,-10.484780157835383,1,0
