date,new_pool,add_pool,new_deployed,add_deployed
2020-04-10,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-13,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-14,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-15,194456.87696824176,181192.5215998984,590307.0039266399,396662.68103961996
2020-04-16,194456.87696824176,181192.5215998984,590307.0039266399,396662.68103961996
2020-04-17,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-20,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-21,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-22,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-23,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-24,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-27,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-28,381885.94289594097,381361.98939195916,590307.0039266399,396662.68103961996
2020-04-29,381885.94289594097,181391.29152501922,590307.0039266399,596633.3789065599
2020-04-30,381885.94289594097,181391.29152501922,590307.0039266399,596633.3789065599
2020-05-06,381885.94289594097,181391.29152501922,590307.0039266399,596633.3789065599
2020-05-07,381885.94289594097,181391.29152501922,590307.0039266399,596633.3789065599
2020-05-08,381885.94289594097,181391.29152501922,590307.0039266399,596633.3789065599
2020-05-11,590791.1633220803,390584.5573955799,590307.0039266399,596633.3789065599
2020-05-12,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-13,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-14,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-15,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-18,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-19,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-20,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-21,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-22,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-25,394193.7112710803,390584.5573955799,786904.4559776399,596633.3789065599
2020-05-26,2688.9344879603304,390584.5573955799,1178409.23276076,596633.3789065599
