etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,fund_type,invest_type,status,index_code,index_name,index_publisher,publisher_confidence,index_category,passive_index_flag,domestic_a_share_flag,cross_mixed_flag,is_csi_publisher,asset_class,eligible,exclusion_reason,match_level,match_status,bench_idx_name,benchmark,data_source,retrieval_date
515020.SH,华夏中证银行ETF,SH,20191203,,20191024,华夏基金管理有限公司,股票型,被动指数型,L,399986.SZ,中证银行,中证指数有限公司,INDEX_BASIC,行业指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证银行,中证银行指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
510530.SH,工银瑞信中证500ETF,SH,20200103,,20191017,工银瑞信基金管理有限公司,股票型,被动指数型,L,000905.SH,中证500,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证500,中证500指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515650.SH,富国中证消费50ETF,SH,20191111,,20191014,富国基金管理有限公司,股票型,被动指数型,L,000126.SH,中证消费50,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证消费50,中证消费50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515800.SH,汇添富中证800ETF,SH,20191216,,20191008,汇添富基金管理股份有限公司,股票型,被动指数型,L,000906.SH,中证800,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证800,中证800指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515810.SH,易方达中证800ETF,SH,20191025,,20191008,易方达基金管理有限公司,股票型,被动指数型,L,000906.SH,中证800,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证800,中证800指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515580.SH,华泰柏瑞中证科技100ETF,SH,20191028,,20190927,华泰柏瑞基金管理有限公司,股票型,被动指数型,L,,中证科技100,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证科技100,中证科技100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515860.SH,嘉实中证新兴科技100策略ETF,SH,20191022,,20190926,嘉实基金管理有限公司,股票型,被动指数型,L,931165.CSI,中证新兴科技100策略,中证指数有限公司、上海证券交易所,INDEX_BASIC,策略指数,True,True,False,True,EQUITY,True,,L4_NORM_EX,OK_NORM,中证新兴科技100策略,中证新兴科技100策略指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515360.SH,方正富邦沪深300ETF,SH,20191101,,20190924,方正富邦基金管理有限公司,股票型,被动指数型,L,000300.SH,沪深300,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,沪深300,沪深300指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512970.SH,平安中证粤港澳大湾区发展主题ETF,SH,20191111,,20190923,平安基金管理有限公司,股票型,被动指数型,L,931000.CSI,中证粤港澳大湾区发展主题,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证粤港澳大湾区发展主题,中证粤港澳大湾区发展主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159974.SZ,富国中证央企创新驱动ETF,SZ,20191218,,20190920,富国基金管理有限公司,股票型,被动指数型,L,,中证央企创新驱动,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证央企创新驱动,中证央企创新驱动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515600.SH,广发中证央企创新驱动ETF,SH,20191218,,20190920,广发基金管理有限公司,股票型,被动指数型,L,,中证央企创新驱动,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证央企创新驱动,中证央企创新驱动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515680.SH,嘉实中证央企创新驱动ETF,SH,20191218,,20190920,嘉实基金管理有限公司,股票型,被动指数型,L,,中证央企创新驱动,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证央企创新驱动,中证央企创新驱动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515900.SH,博时中证央企创新驱动ETF,SH,20191218,,20190920,博时基金管理有限公司,股票型,被动指数型,L,,中证央企创新驱动,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证央企创新驱动,中证央企创新驱动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515010.SH,华夏中证全指证券公司ETF,SH,20191107,,20190917,华夏基金管理有限公司,股票型,被动指数型,L,,中证全指证券公司,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证全指证券公司,中证全指证券公司指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515050.SH,华夏中证5G通信主题ETF,SH,20191016,,20190917,华夏基金管理有限公司,股票型,被动指数型,L,931079.CSI,中证5G通信主题,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证5G通信主题,中证5G通信主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159977.SZ,天弘创业板ETF,SZ,20190927,,20190912,天弘基金管理有限公司,股票型,被动指数型,L,395004.SZ,创业板,深圳证券交易所,INDEX_BASIC,其他指数,True,True,False,False,EQUITY,True,,L1_EX_EXACT,OK,创业板,创业板指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
510100.SH,易方达上证50ETF,SH,20191009,,20190906,易方达基金管理有限公司,股票型,被动指数型,L,000016.SH,上证50,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,上证50,上证50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512530.SH,建信沪深300红利ETF,SH,20190923,,20190823,建信基金管理有限责任公司,股票型,被动指数型,L,,沪深300红利,UNKNOWN,RULE_BASED,,True,True,False,False,EQUITY,True,,L5_RULE,RULE,沪深300红利,沪深300红利指数×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515880.SH,国泰中证全指通信设备ETF,SH,20190906,,20190816,国泰基金管理有限公司,股票型,被动指数型,L,,中证全指通信设备,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证全指通信设备,中证全指通信设备指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515300.SH,嘉实沪深300红利低波动ETF,SH,20190919,,20190808,嘉实基金管理有限公司,股票型,被动指数型,L,,沪深300红利低波动,UNKNOWN,RULE_BASED,,True,True,False,False,EQUITY,True,,L5_RULE,RULE,沪深300红利低波动,沪深300红利低波动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512190.SH,浙商汇金中证浙江凤凰行动50ETF,SH,20190909,,20190805,浙江浙商证券资产管理有限公司,股票型,被动指数型,L,,中证浙江凤凰行动50,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证浙江凤凰行动50,中证浙江凤凰行动50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159968.SZ,博时中证500ETF,SZ,20191031,,20190801,博时基金管理有限公司,股票型,被动指数型,L,000905.SH,中证500,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证500,中证500指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512650.SH,汇添富中证长三角一体化发展主题ETF,SH,20191025,,20190726,汇添富基金管理股份有限公司,股票型,被动指数型,L,,中证长三角一体化发展主题,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证长三角一体化发展主题,中证长三角一体化发展主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
