model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2024-12-31,20,selected_Top10,10,-0.338,-0.261
Model1,2024-12-31,20,non_selected,109,1.58,0.306
Model1,2009-08-17,1,selected_Top10,5,1.467,1.158
Model1,2009-08-17,3,selected_Top10,5,0.626,0.289
Model1,2009-08-17,5,selected_Top10,5,3.601,3.427
Model1,2009-08-17,10,selected_Top10,5,-8.696,-9.274
Model1,2009-08-17,20,selected_Top10,5,6.296,4.315
Model1,2010-04-22,1,selected_Top10,3,-0.813,-0.642
Model1,2010-04-22,3,selected_Top10,3,-3.368,-3.373
Model1,2010-04-22,5,selected_Top10,3,-4.008,-3.85
Model1,2010-04-22,10,selected_Top10,3,-9.626,-9.461
Model1,2010-04-22,20,selected_Top10,3,-11.426,-10.695
Model1,2021-07-19,1,selected_Top10,6,-0.123,0.065
Model1,2021-07-19,3,selected_Top10,6,-0.673,-0.639
Model1,2021-07-19,5,selected_Top10,6,-4.057,-3.826
Model1,2021-07-19,10,selected_Top10,6,-4.619,-3.533
Model1,2021-07-19,20,selected_Top10,6,-0.938,-0.808
Model1,2019-11-13,1,selected_Top10,10,0.165,0.167
Model1,2019-11-13,1,non_selected,9,0.055,0.292
Model1,2019-11-13,3,selected_Top10,10,0.028,0.053
Model1,2019-11-13,3,non_selected,9,-0.208,-0.22
Model1,2019-11-13,5,selected_Top10,10,0.431,0.552
Model1,2019-11-13,5,non_selected,9,0.548,0.659
Model1,2019-11-13,10,selected_Top10,10,0.561,0.672
Model1,2019-11-13,10,non_selected,9,0.853,0.434
Model1,2019-11-13,20,selected_Top10,10,2.325,2.25
Model1,2019-11-13,20,non_selected,9,2.197,2.256
Model1,2021-12-06,1,selected_Top10,10,-0.539,-0.746
Model1,2021-12-06,1,non_selected,12,-0.323,-0.308
Model1,2021-12-06,3,selected_Top10,10,2.747,2.214
Model1,2021-12-06,3,non_selected,12,3.189,3.525
Model1,2021-12-06,5,selected_Top10,10,2.818,2.746
Model1,2021-12-06,5,non_selected,12,3.258,3.3
Model1,2021-12-06,10,selected_Top10,10,-2.581,-2.568
Model1,2021-12-06,10,non_selected,12,0.209,0.881
Model1,2021-12-06,20,selected_Top10,10,-5.04,-6.055
Model1,2021-12-06,20,non_selected,12,1.669,3.222
Model1,2026-01-26,1,selected_Top10,5,-0.836,-1.053
Model1,2026-01-26,3,selected_Top10,5,4.367,5.789
Model1,2026-01-26,5,selected_Top10,5,1.505,2.114
Model1,2026-01-26,10,selected_Top10,5,3.594,4.39
Model1,2026-01-26,20,selected_Top10,5,-1.983,-1.718
Model1,2024-06-27,1,selected_Top10,10,-0.317,-0.408
Model1,2024-06-27,1,non_selected,75,0.146,0.0
Model1,2024-06-27,3,selected_Top10,10,-1.52,-2.291
Model1,2024-06-27,3,non_selected,75,-0.836,-0.926
Model1,2024-06-27,5,selected_Top10,10,-3.335,-3.574
Model1,2024-06-27,5,non_selected,75,-2.296,-2.493
Model1,2024-06-27,10,selected_Top10,10,-1.119,-0.313
Model1,2024-06-27,10,non_selected,75,0.145,0.155
Model1,2024-06-27,20,selected_Top10,10,-4.259,-5.243
Model1,2024-06-27,20,non_selected,75,-3.416,-3.795
Model1,2019-04-30,1,selected_Top10,10,-7.389,-7.407
Model1,2019-04-30,1,non_selected,23,-6.028,-6.218
Model1,2019-04-30,3,selected_Top10,10,-6.779,-6.761
Model1,2019-04-30,3,non_selected,23,-6.277,-6.25
Model1,2019-04-30,5,selected_Top10,10,-4.338,-4.346
Model1,2019-04-30,5,non_selected,23,-4.597,-4.59
Model1,2019-04-30,10,selected_Top10,10,-6.56,-6.568
Model1,2019-04-30,10,non_selected,23,-6.988,-7.087
Model1,2019-04-30,20,selected_Top10,10,-7.128,-7.158
Model1,2019-04-30,20,non_selected,23,-7.579,-7.435
Model1,2026-05-25,1,selected_Top10,10,0.272,0.098
Model1,2026-05-25,1,non_selected,37,0.464,0.642
Model1,2026-05-25,3,selected_Top10,10,-1.579,-1.227
Model1,2026-05-25,3,non_selected,37,-1.242,-1.071
Model1,2026-05-25,5,selected_Top10,10,-0.364,0.088
Model1,2026-05-25,5,non_selected,37,-0.071,0.08
Model1,2026-05-25,10,selected_Top10,10,-4.68,-3.416
Model1,2026-05-25,10,non_selected,37,-3.498,-3.095
Model1,2026-05-25,20,selected_Top10,10,-7.419,-7.017
Model1,2026-05-25,20,non_selected,37,-7.228,-7.119
Model1,2023-10-23,1,selected_Top10,10,0.977,1.035
Model1,2023-10-23,1,non_selected,502,0.766,0.671
Model1,2023-10-23,3,selected_Top10,10,1.713,1.289
Model1,2023-10-23,3,non_selected,502,1.324,1.224
Model1,2023-10-23,5,selected_Top10,10,4.21,3.832
Model1,2023-10-23,5,non_selected,502,4.198,4.369
Model1,2023-10-23,10,selected_Top10,10,6.129,5.901
Model1,2023-10-23,10,non_selected,502,5.588,5.757
Model1,2023-10-23,20,selected_Top10,10,5.804,6.225
Model1,2023-10-23,20,non_selected,502,5.514,5.16
Model1,2022-12-22,1,selected_Top10,10,-0.861,-0.66
Model1,2022-12-22,1,non_selected,178,-0.789,-0.799
Model1,2022-12-22,3,selected_Top10,10,2.511,1.918
Model1,2022-12-22,3,non_selected,178,2.574,2.382
Model1,2022-12-22,5,selected_Top10,10,1.868,1.177
Model1,2022-12-22,5,non_selected,178,1.933,1.686
Model1,2022-12-22,10,selected_Top10,10,5.355,4.758
Model1,2022-12-22,10,non_selected,178,4.984,4.844
Model1,2022-12-22,20,selected_Top10,10,9.746,8.812
Model1,2022-12-22,20,non_selected,178,9.94,9.783
Model1,2023-03-27,1,selected_Top10,8,-0.014,-0.429
Model1,2023-03-27,3,selected_Top10,8,0.411,0.054
Model1,2023-03-27,5,selected_Top10,8,0.858,0.102
Model1,2023-03-27,10,selected_Top10,8,2.469,1.95
Model1,2023-03-27,20,selected_Top10,8,2.518,2.496
Model1,2009-05-21,1,selected_Top10,1,-0.662,-0.662
Model1,2009-05-21,3,selected_Top10,1,-0.993,-0.993
Model1,2009-05-21,5,selected_Top10,1,5.464,5.464
Model1,2009-05-21,10,selected_Top10,1,8.278,8.278
Model1,2009-05-21,20,selected_Top10,1,13.742,13.742
Model1,2017-04-19,1,selected_Top10,10,0.127,0.162
Model1,2017-04-19,1,non_selected,14,0.324,-0.108
Model1,2017-04-19,3,selected_Top10,10,-0.685,-0.754
Model1,2017-04-19,3,non_selected,14,-0.871,-1.079
Model1,2017-04-19,5,selected_Top10,10,-0.659,-0.584
Model1,2017-04-19,5,non_selected,14,-1.019,-1.579
Model1,2017-04-19,10,selected_Top10,10,-0.926,-0.644
Model1,2017-04-19,10,non_selected,14,-1.361,-1.11
Model1,2017-04-19,20,selected_Top10,10,-2.329,-2.119
Model1,2017-04-19,20,non_selected,14,-1.844,-1.343
Model1,2013-10-29,1,selected_Top10,10,1.832,1.729
Model1,2013-10-29,1,non_selected,17,1.987,1.623
Model1,2013-10-29,3,selected_Top10,10,0.331,0.144
Model1,2013-10-29,3,non_selected,17,1.307,0.867
Model1,2013-10-29,5,selected_Top10,10,0.878,1.163
Model1,2013-10-29,5,non_selected,17,2.087,1.407
