model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model2,2011-05-27,10,selected_Top10,9,0.297,0.473
Model2,2011-05-27,20,selected_Top10,9,2.776,2.755
Model2,2012-03-23,1,selected_Top10,9,-0.035,-0.199
Model2,2012-03-23,3,selected_Top10,9,-3.095,-3.476
Model2,2012-03-23,5,selected_Top10,9,-4.865,-5.032
Model2,2012-03-23,10,selected_Top10,9,-1.543,-1.429
Model2,2012-03-23,20,selected_Top10,9,2.206,2.073
Model2,2011-09-06,1,selected_Top10,10,1.921,2.053
Model2,2011-09-06,1,non_selected,7,1.742,1.796
Model2,2011-09-06,3,selected_Top10,10,0.943,0.942
Model2,2011-09-06,3,non_selected,7,0.665,0.89
Model2,2011-09-06,5,selected_Top10,10,0.291,0.112
Model2,2011-09-06,5,non_selected,7,-0.047,-0.114
Model2,2011-09-06,10,selected_Top10,10,1.596,1.25
Model2,2011-09-06,10,non_selected,7,1.569,1.601
Model2,2011-09-06,20,selected_Top10,10,-3.212,-3.332
Model2,2011-09-06,20,non_selected,7,-3.437,-3.18
Model2,2021-07-09,1,selected_Top10,10,0.467,0.712
Model2,2021-07-09,1,non_selected,16,0.5,0.24
Model2,2021-07-09,3,selected_Top10,10,1.547,3.036
Model2,2021-07-09,3,non_selected,16,0.477,-0.257
Model2,2021-07-09,5,selected_Top10,10,2.6,2.555
Model2,2021-07-09,5,non_selected,16,1.428,0.679
Model2,2021-07-09,10,selected_Top10,10,0.099,-0.137
Model2,2021-07-09,10,non_selected,16,-0.313,-0.836
Model2,2021-07-09,20,selected_Top10,10,-8.678,-8.558
Model2,2021-07-09,20,non_selected,16,-6.983,-6.911
Model2,2020-12-11,1,selected_Top10,10,0.353,0.573
Model2,2020-12-11,1,non_selected,54,0.614,0.527
Model2,2020-12-11,3,selected_Top10,10,-0.33,-0.319
Model2,2020-12-11,3,non_selected,54,0.19,0.316
Model2,2020-12-11,5,selected_Top10,10,-0.228,-0.63
Model2,2020-12-11,5,non_selected,54,1.002,1.14
Model2,2020-12-11,10,selected_Top10,10,-1.137,-0.463
Model2,2020-12-11,10,non_selected,54,0.233,0.818
Model2,2020-12-11,20,selected_Top10,10,3.421,4.1
Model2,2020-12-11,20,non_selected,54,3.92,4.285
Model2,2019-05-08,1,selected_Top10,10,-1.579,-1.547
Model2,2019-05-08,1,non_selected,72,-1.068,-1.372
Model2,2019-05-08,3,selected_Top10,10,0.344,0.33
Model2,2019-05-08,3,non_selected,72,0.372,0.198
Model2,2019-05-08,5,selected_Top10,10,1.719,1.395
Model2,2019-05-08,5,non_selected,72,1.852,1.391
Model2,2019-05-08,10,selected_Top10,10,-0.564,-0.451
Model2,2019-05-08,10,non_selected,72,-0.407,-0.581
Model2,2019-05-08,20,selected_Top10,10,-1.539,-1.586
Model2,2019-05-08,20,non_selected,72,-1.378,-1.365
Model2,2022-03-07,1,selected_Top10,10,-1.797,-1.902
Model2,2022-03-07,1,non_selected,247,-1.997,-2.012
Model2,2022-03-07,3,selected_Top10,10,-0.787,-1.424
Model2,2022-03-07,3,non_selected,247,-1.352,-1.386
Model2,2022-03-07,5,selected_Top10,10,-3.39,-4.039
Model2,2022-03-07,5,non_selected,247,-3.6,-3.76
Model2,2022-03-07,10,selected_Top10,10,-0.787,-2.198
Model2,2022-03-07,10,non_selected,247,-1.753,-2.359
Model2,2022-03-07,20,selected_Top10,10,-1.526,-2.037
Model2,2022-03-07,20,non_selected,247,-3.76,-3.247
Model2,2023-05-12,1,selected_Top10,6,1.142,1.152
Model2,2023-05-12,3,selected_Top10,6,-0.117,0.239
Model2,2023-05-12,5,selected_Top10,6,0.638,0.668
Model2,2023-05-12,10,selected_Top10,6,-1.547,-1.318
Model2,2023-05-12,20,selected_Top10,6,-2.193,-1.043
Model2,2011-05-26,1,selected_Top10,10,-1.07,-0.856
Model2,2011-05-26,3,selected_Top10,10,-0.156,0.218
Model2,2011-05-26,5,selected_Top10,10,-1.223,-1.287
Model2,2011-05-26,10,selected_Top10,10,-0.878,-1.081
Model2,2011-05-26,20,selected_Top10,10,1.574,1.137
Model2,2010-12-28,1,selected_Top10,10,0.534,0.283
Model2,2010-12-28,1,non_selected,1,0.556,0.556
Model2,2010-12-28,3,selected_Top10,10,2.4,1.964
Model2,2010-12-28,3,non_selected,1,1.883,1.883
Model2,2010-12-28,5,selected_Top10,10,3.719,3.429
Model2,2010-12-28,5,non_selected,1,2.995,2.995
Model2,2010-12-28,10,selected_Top10,10,2.857,3.123
Model2,2010-12-28,10,non_selected,1,3.979,3.979
Model2,2010-12-28,20,selected_Top10,10,-2.769,-1.66
Model2,2010-12-28,20,non_selected,1,-1.754,-1.754
Model2,2026-01-15,1,selected_Top10,10,-0.968,-0.937
Model2,2026-01-15,1,non_selected,20,-0.812,-0.877
Model2,2026-01-15,3,selected_Top10,10,-0.033,-0.229
Model2,2026-01-15,3,non_selected,20,0.273,0.679
Model2,2026-01-15,5,selected_Top10,10,-1.393,-1.778
Model2,2026-01-15,5,non_selected,20,-0.894,0.001
Model2,2026-01-15,10,selected_Top10,10,-0.036,1.229
Model2,2026-01-15,10,non_selected,20,0.304,1.3
Model2,2026-01-15,20,selected_Top10,10,0.149,-0.505
Model2,2026-01-15,20,non_selected,20,0.85,2.299
Model2,2012-03-30,1,selected_Top10,10,2.939,3.011
Model2,2012-03-30,1,non_selected,11,2.617,2.748
Model2,2012-03-30,3,selected_Top10,10,2.308,2.64
Model2,2012-03-30,3,non_selected,11,2.38,2.389
Model2,2012-03-30,5,selected_Top10,10,3.478,3.621
Model2,2012-03-30,5,non_selected,11,2.956,2.989
Model2,2012-03-30,10,selected_Top10,10,6.856,7.038
Model2,2012-03-30,10,non_selected,11,6.753,6.962
Model2,2012-03-30,20,selected_Top10,10,9.627,10.555
Model2,2012-03-30,20,non_selected,11,10.002,10.238
Model2,2022-07-12,1,selected_Top10,10,0.09,0.183
Model2,2022-07-12,1,non_selected,33,0.202,0.25
Model2,2022-07-12,3,selected_Top10,10,0.317,0.053
Model2,2022-07-12,3,non_selected,33,-0.767,-0.95
Model2,2022-07-12,5,selected_Top10,10,1.781,1.238
Model2,2022-07-12,5,non_selected,33,2.872,3.034
Model2,2022-07-12,10,selected_Top10,10,3.133,3.142
Model2,2022-07-12,10,non_selected,33,3.196,3.117
Model2,2022-07-12,20,selected_Top10,10,9.14,10.621
Model2,2022-07-12,20,non_selected,33,6.295,6.624
Model2,2022-02-24,1,selected_Top10,10,0.277,0.283
Model2,2022-02-24,1,non_selected,13,0.709,0.301
Model2,2022-02-24,3,selected_Top10,10,0.988,0.893
Model2,2022-02-24,3,non_selected,13,1.098,0.912
Model2,2022-02-24,5,selected_Top10,10,-0.268,-0.274
Model2,2022-02-24,5,non_selected,13,0.191,0.405
Model2,2022-02-24,10,selected_Top10,10,-7.468,-7.656
Model2,2022-02-24,10,non_selected,13,-5.983,-6.419
Model2,2022-02-24,20,selected_Top10,10,-7.82,-7.309
Model2,2022-02-24,20,non_selected,13,-6.728,-6.471
Model2,2026-07-13,1,selected_Top10,10,1.86,1.967
Model2,2026-07-13,1,non_selected,347,1.603,1.738
Model2,2026-07-13,3,selected_Top10,10,-0.932,-0.563
Model2,2026-07-13,3,non_selected,347,-1.377,-1.046
Model2,2026-07-13,5,selected_Top10,10,-5.732,-3.78
Model2,2026-07-13,5,non_selected,347,-6.69,-6.827
Model2,2026-07-13,10,selected_Top10,10,-2.768,-1.049
Model2,2026-07-13,10,non_selected,347,-2.755,-1.549
Model2,2026-07-13,20,selected_Top10,10,-0.552,-0.04
Model2,2026-07-13,20,non_selected,347,0.765,0.425
Model2,2017-10-30,1,selected_Top10,10,0.093,0.23
Model2,2017-10-30,1,non_selected,1,0.851,0.851
Model2,2017-10-30,3,selected_Top10,10,-0.43,-0.545
Model2,2017-10-30,3,non_selected,1,-0.426,-0.426
Model2,2017-10-30,5,selected_Top10,10,-0.234,-0.323
Model2,2017-10-30,5,non_selected,1,-0.284,-0.284
Model2,2017-10-30,10,selected_Top10,10,1.681,1.732
Model2,2017-10-30,10,non_selected,1,1.844,1.844
Model2,2017-10-30,20,selected_Top10,10,-2.369,-3.114
Model2,2017-10-30,20,non_selected,1,-6.667,-6.667
Model2,2023-07-24,1,selected_Top10,10,1.874,1.633
Model2,2023-07-24,1,non_selected,113,1.964,1.837
Model2,2023-07-24,3,selected_Top10,10,1.055,0.971
Model2,2023-07-24,3,non_selected,113,1.226,1.39
Model2,2023-07-24,5,selected_Top10,10,3.181,2.688
Model2,2023-07-24,5,non_selected,113,3.477,3.529
Model2,2023-07-24,10,selected_Top10,10,3.066,2.292
Model2,2023-07-24,10,non_selected,113,3.456,3.605
Model2,2023-07-24,20,selected_Top10,10,-5.598,-5.453
Model2,2023-07-24,20,non_selected,113,-4.738,-4.264
Model2,2024-04-03,1,selected_Top10,2,-1.769,-1.769
Model2,2024-04-03,3,selected_Top10,2,-4.527,-4.527
Model2,2024-04-03,5,selected_Top10,2,-6.057,-6.057
Model2,2024-04-03,10,selected_Top10,2,-7.529,-7.529
Model2,2024-04-03,20,selected_Top10,2,-2.877,-2.877
Model2,2016-12-13,1,selected_Top10,10,-0.498,-0.671
Model2,2016-12-13,1,non_selected,31,-0.327,-0.579
Model2,2016-12-13,3,selected_Top10,10,0.358,0.522
Model2,2016-12-13,3,non_selected,31,0.796,0.59
Model2,2016-12-13,5,selected_Top10,10,-0.419,-0.241
Model2,2016-12-13,5,non_selected,31,0.161,-0.37
Model2,2016-12-13,10,selected_Top10,10,-0.241,-0.475
Model2,2016-12-13,10,non_selected,31,-0.002,-0.321
Model2,2016-12-13,20,selected_Top10,10,0.945,-0.429
Model2,2016-12-13,20,non_selected,31,-0.403,-0.737
Model2,2023-07-27,1,selected_Top10,5,0.218,0.102
Model2,2023-07-27,3,selected_Top10,5,2.161,2.55
Model2,2023-07-27,5,selected_Top10,5,1.861,1.421
Model2,2023-07-27,10,selected_Top10,5,1.325,1.484
Model2,2023-07-27,20,selected_Top10,5,-3.288,-3.264
Model2,2023-12-19,1,selected_Top10,10,-1.348,-1.535
Model2,2023-12-19,1,non_selected,66,-0.986,-1.006
Model2,2023-12-19,3,selected_Top10,10,-1.753,-2.079
Model2,2023-12-19,3,non_selected,66,-0.853,-0.957
Model2,2023-12-19,5,selected_Top10,10,-3.056,-3.562
Model2,2023-12-19,5,non_selected,66,-1.533,-1.825
Model2,2023-12-19,10,selected_Top10,10,-0.854,-0.912
Model2,2023-12-19,10,non_selected,66,0.919,0.623
Model2,2023-12-19,20,selected_Top10,10,-8.039,-8.185
Model2,2023-12-19,20,non_selected,66,-5.989,-5.653
Model2,2020-05-25,1,selected_Top10,10,1.149,1.121
Model2,2020-05-25,1,non_selected,8,1.068,1.058
Model2,2020-05-25,3,selected_Top10,10,1.137,1.22
Model2,2020-05-25,3,non_selected,8,0.392,0.565
Model2,2020-05-25,5,selected_Top10,10,4.128,4.456
Model2,2020-05-25,5,non_selected,8,2.996,2.618
Model2,2020-05-25,10,selected_Top10,10,4.44,3.756
Model2,2020-05-25,10,non_selected,8,3.408,2.989
Model2,2020-05-25,20,selected_Top10,10,8.763,10.18
Model2,2020-05-25,20,non_selected,8,5.194,4.353
Model2,2022-12-14,1,selected_Top10,10,1.694,1.692
Model2,2022-12-14,1,non_selected,15,1.574,1.535
Model2,2022-12-14,3,selected_Top10,10,-0.602,-0.217
Model2,2022-12-14,3,non_selected,15,-0.415,-0.128
Model2,2022-12-14,5,selected_Top10,10,-2.807,-2.358
Model2,2022-12-14,5,non_selected,15,-2.539,-2.241
Model2,2022-12-14,10,selected_Top10,10,-0.458,-0.626
Model2,2022-12-14,10,non_selected,15,-0.854,-1.294
Model2,2022-12-14,20,selected_Top10,10,4.648,3.68
Model2,2022-12-14,20,non_selected,15,4.176,3.56
Model2,2022-01-11,1,selected_Top10,10,1.397,1.288
Model2,2022-01-11,1,non_selected,86,1.093,0.996
Model2,2022-01-11,3,selected_Top10,10,-0.345,-0.102
Model2,2022-01-11,3,non_selected,86,-0.337,-0.529
Model2,2022-01-11,5,selected_Top10,10,1.772,2.603
Model2,2022-01-11,5,non_selected,86,2.57,2.327
Model2,2022-01-11,10,selected_Top10,10,-3.717,-4.057
Model2,2022-01-11,10,non_selected,86,-2.334,-2.27
Model2,2022-01-11,20,selected_Top10,10,-5.333,-5.475
Model2,2022-01-11,20,non_selected,86,-5.646,-5.76
Model2,2007-11-13,1,selected_Top10,1,3.603,3.603
Model2,2007-11-13,3,selected_Top10,1,0.08,0.08
Model2,2007-11-13,5,selected_Top10,1,2.082,2.082
Model2,2007-11-13,10,selected_Top10,1,-4.764,-4.764
Model2,2007-11-13,20,selected_Top10,1,3.683,3.683
Model2,2014-02-25,1,selected_Top10,10,0.022,0.0
Model2,2014-02-25,1,non_selected,22,0.252,0.086
Model2,2014-02-25,3,selected_Top10,10,0.902,0.873
Model2,2014-02-25,3,non_selected,22,0.983,0.85
Model2,2014-02-25,5,selected_Top10,10,0.956,1.054
Model2,2014-02-25,5,non_selected,22,1.295,1.397
Model2,2014-02-25,10,selected_Top10,10,-2.272,-2.29
Model2,2014-02-25,10,non_selected,22,-1.693,-2.001
Model2,2014-02-25,20,selected_Top10,10,0.758,0.699
Model2,2014-02-25,20,non_selected,22,1.769,2.098
Model2,2022-07-14,1,selected_Top10,10,-0.988,-0.813
Model2,2022-07-14,1,non_selected,13,-1.052,-1.312
Model2,2022-07-14,3,selected_Top10,10,0.577,0.696
Model2,2022-07-14,3,non_selected,13,0.327,0.206
Model2,2022-07-14,5,selected_Top10,10,-0.352,-0.289
Model2,2022-07-14,5,non_selected,13,-0.468,-0.513
Model2,2022-07-14,10,selected_Top10,10,0.465,0.62
Model2,2022-07-14,10,non_selected,13,0.102,0.223
Model2,2022-07-14,20,selected_Top10,10,-1.469,-1.551
Model2,2022-07-14,20,non_selected,13,-1.476,-1.447
Model2,2024-01-19,1,selected_Top10,10,-5.206,-5.425
Model2,2024-01-19,1,non_selected,22,-4.92,-5.153
Model2,2024-01-19,3,selected_Top10,10,-2.637,-2.959
Model2,2024-01-19,3,non_selected,22,-2.418,-2.483
Model2,2024-01-19,5,selected_Top10,10,0.365,-0.68
Model2,2024-01-19,5,non_selected,22,1.175,-0.401
Model2,2024-01-19,10,selected_Top10,10,-12.006,-13.785
Model2,2024-01-19,10,non_selected,22,-9.531,-11.323
Model2,2024-01-19,20,selected_Top10,10,-1.879,-1.056
Model2,2024-01-19,20,non_selected,22,0.493,-0.077
Model2,2026-01-29,1,selected_Top10,10,-0.873,-0.736
Model2,2026-01-29,1,non_selected,9,-0.958,-1.148
Model2,2026-01-29,3,selected_Top10,10,-0.655,-0.601
Model2,2026-01-29,3,non_selected,9,-1.284,-1.837
Model2,2026-01-29,5,selected_Top10,10,-1.742,-1.16
Model2,2026-01-29,5,non_selected,9,-2.182,-2.641
Model2,2026-01-29,10,selected_Top10,10,2.666,2.22
Model2,2026-01-29,10,non_selected,9,1.807,1.443
Model2,2026-01-29,20,selected_Top10,10,-1.111,-1.452
Model2,2026-01-29,20,non_selected,9,-2.015,-2.486
Model2,2024-04-12,1,selected_Top10,10,2.239,2.138
Model2,2024-04-12,1,non_selected,80,2.03,2.072
Model2,2024-04-12,3,selected_Top10,10,2.54,2.596
Model2,2024-04-12,3,non_selected,80,2.424,2.567
Model2,2024-04-12,5,selected_Top10,10,1.909,1.998
Model2,2024-04-12,5,non_selected,80,1.776,1.925
Model2,2024-04-12,10,selected_Top10,10,3.625,3.412
Model2,2024-04-12,10,non_selected,80,4.013,3.56
Model2,2024-04-12,20,selected_Top10,10,4.794,4.561
Model2,2024-04-12,20,non_selected,80,5.641,5.173
Model2,2019-05-09,1,selected_Top10,10,3.562,3.422
Model2,2019-05-09,1,non_selected,49,3.413,3.375
Model2,2019-05-09,3,selected_Top10,10,1.387,1.004
Model2,2019-05-09,3,non_selected,49,1.352,1.15
Model2,2019-05-09,5,selected_Top10,10,4.627,3.638
Model2,2019-05-09,5,non_selected,49,3.37,3.45
Model2,2019-05-09,10,selected_Top10,10,-0.029,-0.242
Model2,2019-05-09,10,non_selected,49,-0.219,-0.316
Model2,2019-05-09,20,selected_Top10,10,-0.227,-0.22
Model2,2019-05-09,20,non_selected,49,-0.643,-0.433
Model2,2024-04-15,1,selected_Top10,10,-5.266,-6.125
Model2,2024-04-15,1,non_selected,3,-6.341,-6.784
Model2,2024-04-15,3,selected_Top10,10,-0.802,-0.692
Model2,2024-04-15,3,non_selected,3,-1.161,-1.375
Model2,2024-04-15,5,selected_Top10,10,-1.927,-1.731
Model2,2024-04-15,5,non_selected,3,-2.209,-2.635
Model2,2024-04-15,10,selected_Top10,10,6.221,5.434
Model2,2024-04-15,10,non_selected,3,5.031,5.269
Model2,2024-04-15,20,selected_Top10,10,7.185,5.266
Model2,2024-04-15,20,non_selected,3,4.237,4.057
Model2,2021-12-24,1,selected_Top10,10,-0.172,-0.219
Model2,2021-12-24,1,non_selected,57,-0.036,0.0
Model2,2021-12-24,3,selected_Top10,10,1.088,1.108
Model2,2021-12-24,3,non_selected,57,1.306,1.371
Model2,2021-12-24,5,selected_Top10,10,2.675,3.036
Model2,2021-12-24,5,non_selected,57,3.025,3.306
Model2,2021-12-24,10,selected_Top10,10,-6.233,-5.905
Model2,2021-12-24,10,non_selected,57,-4.853,-5.232
Model2,2021-12-24,20,selected_Top10,10,-5.381,-4.509
Model2,2021-12-24,20,non_selected,57,-4.732,-3.941
Model2,2023-12-22,1,selected_Top10,10,-0.198,-0.173
Model2,2023-12-22,1,non_selected,53,-0.32,-0.298
Model2,2023-12-22,3,selected_Top10,10,-1.001,-0.862
Model2,2023-12-22,3,non_selected,53,-1.142,-1.017
Model2,2023-12-22,5,selected_Top10,10,2.074,2.45
Model2,2023-12-22,5,non_selected,53,2.325,2.192
Model2,2023-12-22,10,selected_Top10,10,-3.223,-3.482
Model2,2023-12-22,10,non_selected,53,-3.608,-3.196
Model2,2023-12-22,20,selected_Top10,10,-11.263,-12.76
Model2,2023-12-22,20,non_selected,53,-11.041,-11.02
Model2,2022-01-19,1,selected_Top10,10,-1.129,-1.054
Model2,2022-01-19,1,non_selected,15,-0.67,-0.838
Model2,2022-01-19,3,selected_Top10,10,-4.427,-4.57
Model2,2022-01-19,3,non_selected,15,-3.805,-4.875
Model2,2022-01-19,5,selected_Top10,10,-8.355,-8.511
Model2,2022-01-19,5,non_selected,15,-6.637,-8.027
Model2,2022-01-19,10,selected_Top10,10,-9.117,-9.393
Model2,2022-01-19,10,non_selected,15,-7.494,-8.815
Model2,2022-01-19,20,selected_Top10,10,-8.398,-8.5
Model2,2022-01-19,20,non_selected,15,-7.046,-7.989
Model2,2025-11-12,1,selected_Top10,10,1.262,1.284
Model2,2025-11-12,1,non_selected,1,1.796,1.796
Model2,2025-11-12,3,selected_Top10,10,0.923,1.044
Model2,2025-11-12,3,non_selected,1,0.499,0.499
Model2,2025-11-12,5,selected_Top10,10,0.285,0.254
Model2,2025-11-12,5,non_selected,1,0.399,0.399
Model2,2025-11-12,10,selected_Top10,10,-1.187,-1.515
Model2,2025-11-12,10,non_selected,1,-0.1,-0.1
Model2,2025-11-12,20,selected_Top10,10,-2.004,-1.738
Model2,2025-11-12,20,non_selected,1,-3.293,-3.293
Model2,2022-12-21,1,selected_Top10,10,-1.597,-1.616
Model2,2022-12-21,1,non_selected,210,-0.656,-0.72
Model2,2022-12-21,3,selected_Top10,10,-0.173,-0.477
Model2,2022-12-21,3,non_selected,210,0.898,1.029
Model2,2022-12-21,5,selected_Top10,10,0.37,-0.384
Model2,2022-12-21,5,non_selected,210,1.207,0.919
Model2,2022-12-21,10,selected_Top10,10,2.973,2.887
Model2,2022-12-21,10,non_selected,210,4.696,4.061
Model2,2022-12-21,20,selected_Top10,10,6.996,6.067
Model2,2022-12-21,20,non_selected,210,10.048,8.817
Model2,2022-04-12,1,selected_Top10,10,-1.995,-2.43
Model2,2022-04-12,1,non_selected,26,-1.254,-1.521
Model2,2022-04-12,3,selected_Top10,10,-2.03,-2.263
Model2,2022-04-12,3,non_selected,26,-1.876,-2.018
Model2,2022-04-12,5,selected_Top10,10,0.135,0.178
Model2,2022-04-12,5,non_selected,26,-1.266,-1.466
Model2,2022-04-12,10,selected_Top10,10,-15.866,-16.452
Model2,2022-04-12,10,non_selected,26,-16.105,-16.321
Model2,2022-04-12,20,selected_Top10,10,0.627,0.351
Model2,2022-04-12,20,non_selected,26,-2.669,-2.238
Model2,2021-07-30,1,selected_Top10,10,4.059,4.484
Model2,2021-07-30,1,non_selected,20,2.499,2.498
Model2,2021-07-30,3,selected_Top10,10,4.046,4.411
Model2,2021-07-30,3,non_selected,20,2.602,2.917
Model2,2021-07-30,5,selected_Top10,10,2.664,2.826
Model2,2021-07-30,5,non_selected,20,1.61,1.901
Model2,2021-07-30,10,selected_Top10,10,6.454,6.758
Model2,2021-07-30,10,non_selected,20,4.463,4.536
Model2,2021-07-30,20,selected_Top10,10,-0.266,-1.056
Model2,2021-07-30,20,non_selected,20,2.45,2.598
Model2,2020-01-21,1,selected_Top10,2,-0.132,-0.132
Model2,2020-01-21,3,selected_Top10,2,-9.364,-9.364
Model2,2020-01-21,5,selected_Top10,2,-7.096,-7.096
Model2,2020-01-21,10,selected_Top10,2,-6.162,-6.162
Model2,2020-01-21,20,selected_Top10,2,-6.116,-6.116
Model2,2026-04-02,1,selected_Top10,10,-1.591,-2.304
Model2,2026-04-02,1,non_selected,49,-1.538,-2.266
Model2,2026-04-02,3,selected_Top10,10,3.763,2.298
Model2,2026-04-02,3,non_selected,49,3.48,2.266
Model2,2026-04-02,5,selected_Top10,10,6.75,6.911
Model2,2026-04-02,5,non_selected,49,5.824,4.046
Model2,2026-04-02,10,selected_Top10,10,12.505,11.876
Model2,2026-04-02,10,non_selected,49,11.099,8.815
Model2,2026-04-02,20,selected_Top10,10,18.076,19.69
Model2,2026-04-02,20,non_selected,49,16.135,15.478
Model2,2020-09-29,1,selected_Top10,2,-0.474,-0.474
Model2,2020-09-29,3,selected_Top10,2,2.561,2.561
Model2,2020-09-29,5,selected_Top10,2,2.371,2.371
Model2,2020-09-29,10,selected_Top10,2,7.255,7.255
Model2,2020-09-29,20,selected_Top10,2,5.975,5.975
Model2,2025-06-17,1,selected_Top10,10,0.417,0.43
Model2,2025-06-17,1,non_selected,8,0.469,0.447
Model2,2025-06-17,3,selected_Top10,10,-0.183,-0.097
Model2,2025-06-17,3,non_selected,8,0.258,0.158
Model2,2025-06-17,5,selected_Top10,10,0.841,0.47
Model2,2025-06-17,5,non_selected,8,0.141,0.0
Model2,2025-06-17,10,selected_Top10,10,1.642,0.871
Model2,2025-06-17,10,non_selected,8,0.278,0.266
Model2,2025-06-17,20,selected_Top10,10,2.174,2.149
Model2,2025-06-17,20,non_selected,8,0.638,0.889
Model2,2021-09-29,1,selected_Top10,10,2.741,2.586
Model2,2021-09-29,1,non_selected,66,2.103,1.59
Model2,2021-09-29,3,selected_Top10,10,1.681,1.56
Model2,2021-09-29,3,non_selected,66,1.748,1.652
Model2,2021-09-29,5,selected_Top10,10,0.417,-0.376
Model2,2021-09-29,5,non_selected,66,0.9,1.061
Model2,2021-09-29,10,selected_Top10,10,5.549,3.936
Model2,2021-09-29,10,non_selected,66,4.749,3.153
Model2,2021-09-29,20,selected_Top10,10,3.807,2.402
Model2,2021-09-29,20,non_selected,66,4.355,4.26
Model2,2026-01-21,1,selected_Top10,10,-0.425,-0.391
Model2,2026-01-21,1,non_selected,17,-0.351,-0.354
Model2,2026-01-21,3,selected_Top10,10,-0.959,-0.958
Model2,2026-01-21,3,non_selected,17,-0.68,-0.769
Model2,2026-01-21,5,selected_Top10,10,-1.982,-1.714
Model2,2026-01-21,5,non_selected,17,-1.801,-2.183
Model2,2026-01-21,10,selected_Top10,10,1.584,0.064
Model2,2026-01-21,10,non_selected,17,2.144,2.947
Model2,2026-01-21,20,selected_Top10,10,-0.798,-0.822
Model2,2026-01-21,20,non_selected,17,-0.849,-0.726
Model2,2025-01-03,1,selected_Top10,10,-0.352,-0.415
Model2,2025-01-03,1,non_selected,648,-0.167,-0.206
Model2,2025-01-03,3,selected_Top10,10,0.214,0.211
Model2,2025-01-03,3,non_selected,648,0.371,0.248
Model2,2025-01-03,5,selected_Top10,10,-1.154,-1.086
Model2,2025-01-03,5,non_selected,648,-1.127,-1.187
Model2,2025-01-03,10,selected_Top10,10,1.821,1.504
Model2,2025-01-03,10,non_selected,648,2.137,1.783
Model2,2025-01-03,20,selected_Top10,10,6.471,4.917
Model2,2025-01-03,20,non_selected,648,7.246,4.99
Model2,2013-10-25,1,selected_Top10,10,-0.034,0.095
Model2,2013-10-25,1,non_selected,20,0.197,0.156
Model2,2013-10-25,3,selected_Top10,10,1.221,1.616
Model2,2013-10-25,3,non_selected,20,0.469,0.071
Model2,2013-10-25,5,selected_Top10,10,0.176,0.976
Model2,2013-10-25,5,non_selected,20,-0.011,-0.59
Model2,2013-10-25,10,selected_Top10,10,-3.192,-2.312
Model2,2013-10-25,10,non_selected,20,-2.271,-2.535
Model2,2013-10-25,20,selected_Top10,10,0.674,1.367
Model2,2013-10-25,20,non_selected,20,1.882,1.828
Model2,2022-09-08,1,selected_Top10,9,0.671,0.515
Model2,2022-09-08,3,selected_Top10,9,0.213,-0.385
Model2,2022-09-08,5,selected_Top10,9,-2.044,-2.921
Model2,2022-09-08,10,selected_Top10,9,-6.256,-7.268
Model2,2022-09-08,20,selected_Top10,9,-6.972,-7.732
Model2,2024-07-04,1,selected_Top10,10,0.885,0.862
Model2,2024-07-04,1,non_selected,36,0.997,0.759
Model2,2024-07-04,3,selected_Top10,10,-0.391,-0.532
Model2,2024-07-04,3,non_selected,36,-0.034,-0.39
Model2,2024-07-04,5,selected_Top10,10,1.605,1.196
Model2,2024-07-04,5,non_selected,36,2.033,1.754
Model2,2024-07-04,10,selected_Top10,10,1.98,2.708
Model2,2024-07-04,10,non_selected,36,2.269,2.838
Model2,2024-07-04,20,selected_Top10,10,5.14,3.886
Model2,2024-07-04,20,non_selected,36,4.522,4.348
Model2,2020-03-17,1,selected_Top10,10,-2.101,-1.896
Model2,2020-03-17,1,non_selected,165,-1.33,-1.509
Model2,2020-03-17,3,selected_Top10,10,-0.521,-0.434
Model2,2020-03-17,3,non_selected,165,-0.755,-0.892
Model2,2020-03-17,5,selected_Top10,10,-2.654,-2.568
Model2,2020-03-17,5,non_selected,165,-2.119,-2.238
Model2,2020-03-17,10,selected_Top10,10,-2.831,-3.254
Model2,2020-03-17,10,non_selected,165,-1.061,-1.089
Model2,2020-03-17,20,selected_Top10,10,1.001,1.674
Model2,2020-03-17,20,non_selected,165,2.272,1.846
Model2,2026-01-22,1,selected_Top10,10,-0.446,-0.282
Model2,2026-01-22,1,non_selected,10,-0.306,-0.054
Model2,2026-01-22,3,selected_Top10,10,-1.432,-1.834
Model2,2026-01-22,3,non_selected,10,-1.188,-1.493
Model2,2026-01-22,5,selected_Top10,10,3.245,4.191
Model2,2026-01-22,5,non_selected,10,2.852,2.636
Model2,2026-01-22,10,selected_Top10,10,4.138,4.832
Model2,2026-01-22,10,non_selected,10,3.712,4.148
Model2,2026-01-22,20,selected_Top10,10,-0.262,-0.284
Model2,2026-01-22,20,non_selected,10,-0.109,0.069
Model2,2023-07-21,1,selected_Top10,10,-0.554,-0.599
Model2,2023-07-21,1,non_selected,94,-0.372,-0.541
Model2,2023-07-21,3,selected_Top10,10,0.483,0.606
Model2,2023-07-21,3,non_selected,94,0.814,0.849
Model2,2023-07-21,5,selected_Top10,10,0.315,0.511
Model2,2023-07-21,5,non_selected,94,1.216,1.296
Model2,2023-07-21,10,selected_Top10,10,2.317,2.123
