date,equity,cash,invested,invested_pct
2016-03-09,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-10,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-11,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-14,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-15,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-16,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-17,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-18,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-21,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-22,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-23,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-24,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-25,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-28,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-29,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-30,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-03-31,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-01,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-05,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-06,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-07,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-08,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-11,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-12,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-13,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-14,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-15,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-18,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-19,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-20,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-21,818634.131275,618702.3608250001,199931.77044999995,0.24422603799650003
2016-04-22,820233.3897750002,418886.41932500014,401346.97045,0.489308257202373
2016-04-25,819382.1897750001,418886.41932500014,400495.77044999995,0.4887777345514123
2016-04-26,820924.9897750001,418886.41932500014,402038.57045,0.48973849676593606
2016-04-27,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-04-28,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-04-29,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-03,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-04,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-05,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-06,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-09,824810.2788750001,624878.5084250001,199931.77044999995,0.24239728283054
2016-05-10,824472.0424750001,225433.07202500012,599038.97045,0.7265728121619894
2016-05-11,825686.4424750002,225433.07202500012,600253.37045,0.7269749623728069
2016-05-12,826727.6424750001,225433.07202500012,601294.57045,0.7273188164482874
2016-05-13,825200.4424750002,225433.07202500012,599767.37045,0.7268141648726397
2016-05-16,827440.8424750001,225433.07202500012,602007.77045,0.7275538498308883
2016-05-17,827438.8424750001,225433.07202500012,602005.77045,0.7275531913020976
2016-05-18,823596.8424750001,225433.07202500012,598163.77045,0.7262822531621799
2016-05-19,823799.6424750001,225433.07202500012,598366.57045,0.726349636001643
2016-05-20,825751.6424750001,225433.07202500012,600318.57045,0.7269965199835189
2016-05-23,827481.6424750001,225433.07202500012,602048.57045,0.7275672831233704
2016-05-24,824784.8424750001,225433.07202500012,599351.77045,0.7266765095385065
2016-05-25,824438.4424750002,225433.07202500012,599005.37045,0.726561668633209
2016-05-26,824438.4424750002,225433.07202500012,599005.37045,0.726561668633209
2016-05-27,824838.8424750001,225433.07202500012,599405.77045,0.7266944032987477
2016-05-30,824105.2424750001,225433.07202500012,598672.17045,0.7264511127875287
2016-05-31,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-01,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-02,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-03,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-06,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-07,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-08,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-13,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-14,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-15,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-16,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-17,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-20,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-21,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-22,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-23,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-24,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-27,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-28,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-29,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-06-30,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-01,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-04,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-05,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-06,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-07,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-08,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-11,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-12,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-13,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-14,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-15,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-18,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-19,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-20,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-21,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-22,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-25,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-26,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-27,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-28,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-07-29,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-01,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-02,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-03,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-04,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-05,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-08,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-09,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-10,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-11,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-12,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-15,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-16,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-17,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-18,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-19,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-22,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-23,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-24,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-25,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-26,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-29,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-30,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-08-31,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-01,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-02,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-05,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-06,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-07,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-08,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-09,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-12,827567.466675,627635.6962250001,199931.77044999995,0.24158969328903862
2016-09-13,826280.944875,227848.57442500006,598432.37045,0.7242480589220547
2016-09-14,823945.344875,227848.57442500006,596096.77045,0.7234663975684373
2016-09-19,828376.8741250001,308.7036750000407,828068.1704500001,0.9996273390957152
2016-09-20,827333.074125,308.7036750000407,827024.37045,0.9996268689302352
2016-09-21,830248.574125,308.7036750000407,829939.87045,0.9996281792168986
2016-09-22,834871.976575,634940.206125,199931.77044999995,0.23947596285385592
2016-09-23,834871.976575,634940.206125,199931.77044999995,0.23947596285385592
2016-09-26,834871.976575,634940.206125,199931.77044999995,0.23947596285385592
2016-09-27,835673.1989750001,434979.828525,400693.37045000005,0.4794857259290748
2016-09-28,835369.1989750001,434979.828525,400389.37045000005,0.47929630508436116
2016-09-29,836281.1989750001,434979.828525,401301.37045000005,0.4798641544756247
2016-09-30,836889.1989750001,434979.828525,401909.37045000005,0.4802420331654992
2016-10-10,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-11,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-12,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-13,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-14,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
