date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2021-12-08,EXIT_MIDLINE,000949.CSI,159825.SZ,204200,0.991,202362.2,50.59055000000001,710973.2398749987,1,2349.831499999999,12.0
2021-12-09,EXIT_MIDLINE,399989.SZ,512170.SH,290600,0.706,205163.59999999998,51.29089999999999,916085.5489749986,1,5129.525899999987,2.0
2021-12-16,ENTRY,399989.SZ,512170.SH,293600,0.681,199941.6,49.985400000000006,716093.9635749987,1,,
2021-12-20,ENTRY,中证全指半导体产品与设备,512480.SH,155500,1.286,199973.0,49.99325,516070.97032499866,1,,
2021-12-21,ADD,399989.SZ,512170.SH,302500,0.661,199952.5,49.988125000000004,316068.4821999987,2,,
2021-12-22,ADD,中证全指半导体产品与设备,512480.SH,155100,1.289,199923.9,49.980975,116094.60122499868,2,,
2021-12-30,EXIT_MIDLINE,399989.SZ,512170.SH,596100,0.682,406540.2,101.63505,522533.16617499874,2,6444.491425000028,14.0
2022-01-05,ENTRY,中证医药及医疗器械创新,516820.SH,273500,0.731,199928.5,49.982125,322554.68404999876,1,,
2022-01-06,ADD,中证全指半导体产品与设备,512480.SH,164700,1.214,199945.8,49.98645,122558.89759999877,3,,
2022-01-12,ADD,中证全指半导体产品与设备,512480.SH,104300,1.174,122448.2,30.61205,80.08554999878106,4,,
2022-01-25,ADD,中证医药及医疗器械创新,516820.SH,100,0.651,65.10000000000001,5.0,9.985549998781053,2,,
2022-02-21,EXIT_MIDLINE,中证医药及医疗器械创新,516820.SH,273600,0.634,173462.4,43.3656,173429.0199499988,2,-26629.547725,47.0
2022-02-23,ENTRY,930709.CSI,513090.SH,140500,1.234,173377.0,43.34425,8.675699998799246,1,,
2022-02-23,EXIT_MIDLINE,中证全指半导体产品与设备,512480.SH,579600,1.12,649152.0000000001,162.28800000000004,648998.3876999989,4,-73481.76072499984,65.0
2022-02-25,ENTRY,沪深300非银行金融,512070.SH,294500,0.679,199965.5,49.991375,448982.89632499893,1,,
2022-02-25,ADD,930709.CSI,513090.SH,165800,1.206,199954.8,49.9887,248978.10762499896,2,,
2022-03-01,ADD,930709.CSI,513090.SH,170500,1.173,199996.5,49.999125,48931.608499998954,3,,
2022-03-16,ADD,930709.CSI,513090.SH,48100,1.016,48869.6,12.2174,49.79109999895445,4,,
2022-03-21,EXIT_MIDLINE,930709.CSI,513090.SH,524900,1.127,591562.3,147.890575,591464.2005249991,4,-30939.04004999994,26.0
2022-03-28,ENTRY,931151.CSI,515790.SH,142500,1.403,199927.5,49.981875,391486.71864999906,1,,
2022-03-30,EXIT_MIDLINE,沪深300非银行金融,512070.SH,294500,0.625,184062.5,46.015625,575503.203024999,1,-15999.007000000005,33.0
2022-04-01,ENTRY,国证半导体芯片,159995.SZ,158700,1.26,199962.0,49.990500000000004,375491.212524999,1,,
2022-04-07,ADD,931151.CSI,515790.SH,149200,1.34,199928.0,49.982,175513.230524999,2,,
2022-04-26,ADD,国证半导体芯片,159995.SZ,173000,1.014,175422.0,43.8555,47.375024998997105,2,,
2022-05-09,EXIT_MIDLINE,931151.CSI,515790.SH,291700,1.215,354415.5,88.603875,354374.271149999,2,-45628.567749999995,42.0
2022-05-10,ENTRY,930633.CSI,159766.SZ,240300,0.8320000000000001,199929.6,49.982400000000005,154394.68874999898,1,,
2022-05-11,EXIT_MIDLINE,国证半导体芯片,159995.SZ,331700,1.099,364538.3,91.134575,518841.854174999,2,-11030.680574999998,40.0
2022-05-25,EXIT_MIDLINE,930633.CSI,159766.SZ,240300,0.887,213146.1,53.286525000000005,731934.667649999,1,13113.231074999989,15.0
2022-05-27,ENTRY,中证生物科技主题,159837.SZ,336100,0.595,199979.5,49.994875,531905.172774999,1,,
2022-06-06,EXIT_MIDLINE,中证生物科技主题,159837.SZ,336100,0.613,206029.3,51.507325,737882.9654499991,1,5948.297799999996,10.0
2022-06-23,ENTRY,399995.SZ,516970.SH,173700,1.151,199928.7,49.982175000000005,537904.2832749991,1,,
2022-06-23,ENTRY,中证现代物流,516910.SH,188800,1.059,199939.19999999998,49.9848,337915.09847499913,1,,
2022-06-27,EXIT_MIDLINE,399995.SZ,516970.SH,173700,1.169,203055.30000000002,50.763825000000004,540919.6346499992,1,3025.8539999999975,4.0
2022-06-27,EXIT_MIDLINE,中证现代物流,516910.SH,188800,1.094,206547.2,51.6368,747415.1978499992,1,6506.3784000000405,4.0
2022-07-07,ENTRY,399971.SZ,512980.SH,327300,0.611,199980.3,49.995075,547384.9027749992,1,,
2022-07-12,ENTRY,中证全指软件,515230.SH,267300,0.748,199940.4,49.9851,347394.5176749992,1,,
2022-07-13,ADD,399971.SZ,512980.SH,330500,0.605,199952.5,49.988125000000004,147392.0295499992,2,,
2022-07-14,ADD,中证全指软件,515230.SH,201300,0.732,147351.6,36.837900000000005,3.5916499991726596,2,,
2022-07-19,EXIT_MIDLINE,中证全指软件,515230.SH,468600,0.766,358947.60000000003,89.7369,358861.4547499992,2,11479.04010000002,7.0
2022-07-20,EXIT_MIDLINE,399971.SZ,512980.SH,657800,0.618,406520.4,101.63010000000001,765280.2246499993,2,6385.986700000012,13.0
2022-08-01,ENTRY,399987.SZ,512690.SH,242400,0.8250000000000001,199980.00000000003,49.99500000000001,565250.2296499993,1,,
2022-08-01,ENTRY,中证细分食品饮料产业主题,515170.SH,264500,0.756,199962.0,49.990500000000004,365238.2391499993,1,,
2022-08-03,ADD,399987.SZ,512690.SH,240600,0.8310000000000001,199938.6,49.98465,165249.65449999928,2,,
2022-08-12,EXIT_MIDLINE,399987.SZ,512690.SH,483000,0.846,408618.0,102.1545,573765.4999999993,2,8497.265849999954,11.0
2022-08-12,EXIT_MIDLINE,中证细分食品饮料产业主题,515170.SH,264500,0.773,204458.5,51.114625000000004,778172.8853749994,1,4395.394875000005,11.0
2022-08-26,ENTRY,上证科创板50成份,588000.SH,179800,1.112,199937.6,49.9844,578185.3009749993,1,,
2022-08-26,ENTRY,中证新能源汽车,515030.SH,93400,2.141,199969.4,49.99235,378165.90862499934,1,,
2022-08-30,ADD,中证新能源汽车,515030.SH,94300,2.119,199821.7,49.955425000000005,178294.25319999934,2,,
2022-09-01,ADD,中证新能源汽车,515030.SH,88100,2.023,178226.30000000002,44.556575,23.39662499932456,3,,
2022-10-17,EXIT_MIDLINE,上证科创板50成份,588000.SH,179800,1.0070000000000001,181058.60000000003,45.26465000000001,181036.73197499936,1,-18974.24904999996,52.0
2022-10-18,EXIT_MIDLINE,中证新能源汽车,515030.SH,275800,1.864,514091.2,128.52280000000002,694999.4091749995,3,-64199.22715000003,53.0
2022-10-20,ENTRY,399987.SZ,512690.SH,272100,0.735,199993.5,49.998375,494955.9107999995,1,,
2022-10-20,ENTRY,中证细分食品饮料产业主题,515170.SH,297100,0.673,199948.30000000002,49.987075000000004,294957.6237249995,1,,
2022-10-25,ADD,399987.SZ,512690.SH,291900,0.685,199951.50000000003,49.98787500000001,94956.13584999947,2,,
2022-10-25,ADD,中证细分食品饮料产业主题,515170.SH,150900,0.629,94916.1,23.729025000000004,16.306824999468517,2,,
2022-11-04,EXIT_MIDLINE,399987.SZ,512690.SH,564000,0.727,410028.0,102.507,409941.79982499947,2,9880.506749999948,15.0
2022-11-04,EXIT_MIDLINE,中证细分食品饮料产业主题,515170.SH,448000,0.659,295232.0,73.808,705099.9918249995,2,220.0758999999689,15.0
2022-11-28,ENTRY,中证全指通信设备,515880.SH,239800,0.834,199993.19999999998,49.99829999999999,505056.79352499946,1,,
2022-11-28,ENTRY,930601.CSI,159852.SZ,246600,0.811,199992.6,49.99815,305014.1953749994,1,,
2022-12-01,EXIT_MIDLINE,中证全指通信设备,515880.SH,239800,0.871,208865.8,52.216449999999995,513827.7789249994,1,8770.385250000021,3.0
2022-12-01,EXIT_MIDLINE,930601.CSI,159852.SZ,246600,0.85,209610.0,52.4025,723385.3764249994,1,9514.999350000002,3.0
2022-12-13,ENTRY,国证绿色电力,159625.SZ,191200,1.046,199995.2,49.9988,523340.1776249994,1,,
2022-12-14,ENTRY,931151.CSI,515790.SH,145500,1.374,199917.00000000003,49.97925000000001,323373.1983749994,1,,
2022-12-19,ADD,931151.CSI,515790.SH,148400,1.347,199894.8,49.9737,123428.4246749994,2,,
2022-12-22,ADD,931151.CSI,515790.SH,93800,1.315,123347.0,30.836750000000002,50.587924999403185,3,,
2022-12-28,EXIT_MIDLINE,国证绿色电力,159625.SZ,191200,1.045,199804.0,49.951,199804.63692499942,1,-291.14980000004755,15.0
2022-12-28,EXIT_MIDLINE,931151.CSI,515790.SH,387700,1.377,533862.9,133.46572500000002,733534.0711999994,3,10439.844575000023,14.0
2023-02-01,ENTRY,930633.CSI,159766.SZ,184800,1.082,199953.6,49.988400000000006,533530.4827999994,1,,
2023-02-07,ENTRY,399986.SZ,512800.SH,185500,1.078,199969.0,49.99225,333511.4905499994,1,,
2023-02-08,ADD,930633.CSI,159766.SZ,187400,1.067,199955.8,49.988949999999996,133505.70159999942,2,,
2023-02-10,EXIT_MIDLINE,930633.CSI,159766.SZ,372200,1.098,408675.60000000003,102.16890000000001,542079.1326999995,2,8564.053749999986,9.0
2023-02-17,ENTRY,931151.CSI,515790.SH,141300,1.415,199939.5,49.984875,342089.6478249995,1,,
2023-02-23,EXIT_MIDLINE,399986.SZ,512800.SH,185500,1.084,201082.0,50.2705,543121.3773249995,1,1012.7372500000155,16.0
2023-02-23,EXIT_MIDLINE,931151.CSI,515790.SH,141300,1.459,206156.7,51.53917500000001,749226.5381499996,1,6115.675950000015,6.0
2023-02-28,ENTRY,沪深300医药卫生,512010.SH,408100,0.49,199969.0,49.99225,549207.5458999996,1,,
2023-02-28,ENTRY,399989.SZ,512170.SH,388300,0.515,199974.5,49.993625,349183.05227499956,1,,
2023-03-20,ADD,沪深300医药卫生,512010.SH,433800,0.461,199981.80000000002,49.995450000000005,149151.25682499955,2,,
2023-03-21,ADD,399989.SZ,512170.SH,311300,0.47900000000000004,149112.7,37.278175000000005,1.2786499995272607,2,,
2023-03-27,EXIT_MIDLINE,399989.SZ,512170.SH,699600,0.5,349800.0,87.45,349713.8286499995,2,538.0782000000139,27.0
2023-03-28,ENTRY,上海证券交易所上证红利,510880.SH,69400,2.878,199733.2,49.9333,149930.6953499995,1,,
2023-03-31,EXIT_MIDLINE,沪深300医药卫生,512010.SH,841900,0.47400000000000003,399060.60000000003,99.76515,548891.5301999996,2,-1089.9528500000367,31.0
2023-03-31,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,69400,2.899,201190.6,50.297650000000004,750031.8325499996,1,1357.1690499999793,3.0
2023-04-13,ENTRY,399987.SZ,512690.SH,236400,0.846,199994.4,49.998599999999996,549987.4339499996,1,,
2023-04-13,ENTRY,中证细分食品饮料产业主题,515170.SH,272100,0.735,199993.5,49.998375,349943.93557499966,1,,
2023-05-04,EXIT_MIDLINE,中证细分食品饮料产业主题,515170.SH,272100,0.745,202714.5,50.678625000000004,552607.7569499996,1,2620.322999999992,21.0
2023-05-08,ENTRY,中证全指家用电器,159996.SZ,186300,1.073,199899.9,49.974975,352657.8819749996,1,,
