date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2008-01-29,ADD,上海证券交易所上证红利,510880.SH,10300,4.025021,41457.7163,10.364429075,254.20564820036088,2,,
2008-06-11,ADD,上海证券交易所50成份,510050.SH,100,2.48248,248.248,5.0,0.957648200360893,5,,
2008-07-10,EXIT_PSTAR,399330.SZ,159901.SZ,39900,3.26159489933628,130137.63648351758,32.534409120879396,130106.05972259706,1,-69644.32280060327,169.0
2008-08-06,ENTRY,中小企业100,159902.SZ,69500,1.8698679999999999,129955.82599999999,32.4889565,117.74476609706471,1,,
2008-10-16,ADD,中小企业100,159902.SZ,100,1.122121,112.21209999999999,5.0,0.5326660970647197,2,,
2008-11-14,EXIT_PSTAR,中小企业100,159902.SZ,69600,1.1998676374765296,83510.78756836646,20.877696892091617,83490.44253757143,2,-46615.617185025636,100.0
2008-11-17,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,58900,1.6347392911810277,96286.14425056253,24.071536062640632,179752.51525207132,2,-145201.74045107514,299.0
2009-01-19,EXIT_PSTAR,上海证券交易所50成份,510050.SH,206900,1.5283154909893375,316208.47508569394,79.05211877142348,495881.93821899383,5,-483593.91440102743,437.0
2009-05-22,ENTRY,上海证券交易所180成份,510180.SH,332400,0.6016009999999999,199972.17239999998,49.993043099999994,295859.77277589386,1,,
2009-05-26,ADD,上海证券交易所180成份,510180.SH,329700,0.6066059999999999,199997.99819999994,49.99949954999999,95811.77507634391,2,,
2009-07-01,EXIT_PSTAR,上海证券交易所180成份,510180.SH,662100,0.7169694240507081,474705.4556639738,118.67636391599346,570398.5543764017,2,74516.61615740787,40.0
2009-08-13,ENTRY,上海证券交易所50成份,510050.SH,79700,2.5075049999999997,199848.14849999998,49.962037124999995,370500.44383927673,1,,
2009-08-13,ENTRY,399330.SZ,159901.SZ,52100,3.8358319999999995,199846.84719999996,49.96171179999999,170603.63492747679,1,,
2009-08-13,ENTRY,上海证券交易所180成份,510180.SH,229600,0.7427419999999999,170533.56319999998,42.633390799999994,27.438336676801555,1,,
2009-11-16,EXIT_PSTAR,上海证券交易所50成份,510050.SH,79700,2.593639132059552,206713.0388251463,51.678259706286575,206688.7989021168,1,6763.250028315042,95.0
2009-11-16,EXIT_PSTAR,399330.SZ,159901.SZ,52100,4.196906823138886,218658.84548553597,54.664711371383994,425292.9796762814,1,18707.37186236464,95.0
2009-11-16,EXIT_PSTAR,上海证券交易所180成份,510180.SH,229600,0.7819849246304195,179543.7386951443,44.885934673786075,604791.8324367519,1,8922.65616967055,95.0
2009-11-30,ENTRY,上海证券交易所50成份,510050.SH,82200,2.4304279999999996,199781.18159999995,49.94529539999999,404960.705541352,1,,
2009-12-21,ENTRY,399330.SZ,159901.SZ,50300,3.969966,199689.2898,49.92232245,205221.49341890198,1,,
2009-12-21,ENTRY,上海证券交易所180成份,510180.SH,272500,0.7337329999999999,199942.24249999996,49.98556062499999,5229.2653582770145,1,,
2009-12-23,ADD,上海证券交易所50成份,510050.SH,2200,2.365363,5203.7986,5.0,20.466758277014378,2,,
2010-01-11,EXIT_PSTAR,上海证券交易所180成份,510180.SH,272500,0.7931135210133737,216123.43447614435,54.03085861903609,216089.87037580233,1,16077.175556900336,21.0
2010-01-25,ADD,399330.SZ,159901.SZ,51100,3.9079039999999994,199693.89439999996,49.923473599999994,16346.052502202365,2,,
2010-01-26,ENTRY,上海证券交易所上证红利,510880.SH,6200,2.6106079999999996,16185.769599999998,5.0,155.28290220236704,1,,
