ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,benchmark,status,invest_type,type,market,excl_tags,retrieval_date
158056.SZ,嘉实创业板算力基础设施ETF,嘉实基金管理有限公司,中国农业银行股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158057.SZ,鹏华创业板算力基础设施ETF,鹏华基金管理有限公司,华泰证券股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158058.SZ,华泰柏瑞创业板金融科技ETF,华泰柏瑞基金管理有限公司,国信证券股份有限公司,股票型,,,,,,,创业板金融科技指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158059.SZ,富国创业板算力基础设施ETF,富国基金管理有限公司,兴业银行股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158061.SZ,天弘创业板算力基础设施ETF,天弘基金管理有限公司,广发证券股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
158063.SZ,南方创业板算力基础设施ETF,南方基金管理股份有限公司,中信建投证券股份有限公司,股票型,,,,,,,创业板算力基础设施指数收益率×100%,,,,E,[],2026-09-04 10:05:42
159007.SZ,华泰柏瑞中证畜牧养殖产业ETF,华泰柏瑞基金管理有限公司,中国农业银行股份有限公司,股票型,20260408,,20260417,20260313,,2.266,中证畜牧养殖产业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159008.SZ,景顺长城中证全指证券公司ETF,景顺长城基金管理有限公司,国信证券股份有限公司,股票型,20260415,,20260428,20260401,,3.9028,中证全指证券公司指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159009.SZ,易方达创业板新能源ETF,易方达基金管理有限公司,中国农业银行股份有限公司,股票型,20260403,,20260414,20260313,,2.2339,创业板新能源指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159011.SZ,华安中证畜牧养殖产业ETF,华安基金管理有限公司,中信证券股份有限公司,股票型,20260603,,20260616,20260520,,2.3351,中证畜牧养殖产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159012.SZ,鹏华中证科创创业50ETF,鹏华基金管理有限公司,中国建设银行股份有限公司,股票型,20260511,,20260520,20260420,,2.3388,中证科创创业50指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159013.SZ,大成中证工业互联网主题ETF,大成基金管理有限公司,广发证券股份有限公司,股票型,20260417,,20260428,20260401,,3.7158,中证工业互联网主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159016.SZ,广发中证证券公司30ETF,广发基金管理有限公司,招商银行股份有限公司,股票型,20260430,,20260514,20260413,,3.8404,中证证券公司30指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159017.SZ,工银瑞信国证石油天然气ETF,工银瑞信基金管理有限公司,广发证券股份有限公司,股票型,20260422,,20260508,20260407,,2.3226,国证石油天然气指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159018.SZ,广发国证石油天然气ETF,广发基金管理有限公司,中信建投证券股份有限公司,股票型,20260416,,20260427,20260330,,2.349,国证石油天然气指数同期收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159019.SZ,华宝国证石油天然气ETF,华宝基金管理有限公司,金融街证券股份有限公司,股票型,20260415,,20260423,20260325,,2.4633,国证石油天然气指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159020.SZ,易方达中证畜牧养殖产业ETF,易方达基金管理有限公司,中国工商银行股份有限公司,股票型,20260417,,20260427,20260326,,2.0157,中证畜牧养殖产业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159021.SZ,华夏国证大盘价值ETF,华夏基金管理有限公司,国投证券股份有限公司,股票型,20260429,,20260515,20260407,,3.0291,国证大盘价值指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159022.SZ,富国中证科创创业人工智能ETF,富国基金管理有限公司,平安银行股份有限公司,股票型,20260415,,20260424,20260330,,3.3263,中证科创创业人工智能指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159023.SZ,万家中证畜牧养殖产业ETF,万家基金管理有限公司,长沙银行股份有限公司,股票型,20260603,,20260615,20260518,,2.3878,中证畜牧养殖产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159025.SZ,华安中证家电龙头ETF,华安基金管理有限公司,兴业银行股份有限公司,股票型,20260902,,,20260817,,,中证家电龙头指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159026.SZ,南方国证石油天然气ETF,南方基金管理股份有限公司,招商银行股份有限公司,股票型,20260416,,20260424,20260330,,2.1451,国证石油天然气指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159027.SZ,大成中证畜牧养殖产业ETF,大成基金管理有限公司,国信证券股份有限公司,股票型,20260506,,20260515,20260415,,2.2747,中证畜牧养殖产业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159030.SZ,华夏国证粮食产业ETF,华夏基金管理有限公司,中信银行股份有限公司,股票型,20260424,,20260512,20260416,,4.1397,国证粮食产业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159031.SZ,博时国证粮食产业ETF,博时基金管理有限公司,兴业银行股份有限公司,股票型,20260520,,20260601,20260507,,2.7603,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159033.SZ,国泰国证粮食产业ETF,国泰基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260527,,20260605,20260506,,2.5232,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159035.SZ,天弘中证软件服务ETF,天弘基金管理有限公司,招商银行股份有限公司,股票型,20260506,,20260515,20260420,,3.2886,中证软件服务指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159036.SZ,华宝中证全指软件开发ETF,华宝基金管理有限公司,广发证券股份有限公司,股票型,20260603,,20260611,20260518,,4.3774,中证全指软件开发指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159037.SZ,鹏华国证价值100ETF,鹏华基金管理有限公司,国泰海通证券股份有限公司,股票型,20260528,,20260611,20260511,,2.9225,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159038.SZ,易方达国证粮食产业ETF,易方达基金管理有限公司,中国农业银行股份有限公司,股票型,20260512,,20260521,20260421,,2.3303,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159039.SZ,华安国证机器人产业ETF,华安基金管理有限公司,招商银行股份有限公司,股票型,20260603,,20260618,20260520,,3.3646,国证机器人产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159041.SZ,鹏华中证农业主题ETF,鹏华基金管理有限公司,中信银行股份有限公司,股票型,20260527,,20260610,20260511,,2.2347,中证农业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159042.SZ,汇添富国证价值100ETF,汇添富基金管理股份有限公司,中国建设银行股份有限公司,股票型,20260527,,20260609,20260518,,2.488,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159043.SZ,华安中证全指食品ETF,华安基金管理有限公司,兴业银行股份有限公司,股票型,20260812,,20260824,20260511,,2.0077,中证全指食品指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159045.SZ,大成中证稀有金属主题ETF,大成基金管理有限公司,中泰证券股份有限公司,股票型,20260615,,20260624,20260601,,2.4033,中证稀有金属主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159046.SZ,天弘国证绿色电力ETF,天弘基金管理有限公司,国泰海通证券股份有限公司,股票型,20260603,,20260611,20260520,,6.3298,国证绿色电力指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159048.SZ,大成国证机器人产业ETF,大成基金管理有限公司,中信建投证券股份有限公司,股票型,20260602,,20260610,20260520,,3.348,国证机器人产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159050.SZ,广发国证机器人产业ETF,广发基金管理有限公司,中国银行股份有限公司,股票型,20260528,,20260609,20260518,,3.487,国证机器人产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159051.SZ,易方达中证全指医疗器械ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,20260529,,20260609,20260508,,2.8912,中证全指医疗器械指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159052.SZ,嘉实国证新能源电池ETF,嘉实基金管理有限公司,国信证券股份有限公司,股票型,20260603,,20260611,20260518,,4.3893,国证新能源电池指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159053.SZ,华夏中证稀有金属主题ETF,华夏基金管理有限公司,中国建设银行股份有限公司,股票型,20260529,,20260609,20260518,,2.307,中证稀有金属主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159055.SZ,富国中证稀有金属主题ETF,富国基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260528,,20260609,20260512,,2.8029,中证稀有金属主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159056.SZ,富国中证全指医疗器械ETF,富国基金管理有限公司,国信证券股份有限公司,股票型,20260529,,20260609,20260513,,2.7793,中证全指医疗器械指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159057.SZ,鹏华中证全指医疗器械ETF,鹏华基金管理有限公司,兴业证券股份有限公司,股票型,20260529,,20260615,20260513,,2.0672,中证全指医疗器械指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159058.SZ,大成中证全指证券公司ETF,大成基金管理有限公司,中泰证券股份有限公司,股票型,20260805,,20260813,20260713,,2.5033,中证全指证券公司指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159059.SZ,大成中证全指电力公用事业ETF,大成基金管理有限公司,平安银行股份有限公司,股票型,20260710,,20260720,20260618,,2.2283,中证全指电力公用事业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159060.SZ,浦银国证粮食产业ETF,浦银基金管理有限公司,中泰证券股份有限公司,股票型,20260527,,20260610,20260513,,2.2448,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159061.SZ,南方国证绿色电力ETF,南方基金管理股份有限公司,广发证券股份有限公司,股票型,20260615,,20260624,20260528,,2.5404,国证绿色电力指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159062.SZ,南方中证稀有金属主题ETF,南方基金管理股份有限公司,国泰海通证券股份有限公司,股票型,20260610,,20260618,20260525,,2.072,中证稀有金属主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159063.SZ,南方国证粮食产业ETF,南方基金管理股份有限公司,中信证券股份有限公司,股票型,20260605,,20260615,20260520,,2.5499,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159065.SZ,景顺长城中证工程机械主题ETF,景顺长城基金管理有限公司,中信建投证券股份有限公司,股票型,20260612,,20260626,20260525,,2.2035,中证工程机械主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159066.SZ,建信中证A股ETF,建信基金管理有限责任公司,国信证券股份有限公司,股票型,20260624,,20260706,20260609,,2.7273,中证A股指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159067.SZ,鹏华国证绿色电力ETF,鹏华基金管理有限公司,江苏银行股份有限公司,股票型,20260630,,20260713,20260615,,2.0291,国证绿色电力指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159068.SZ,华夏中证全指软件ETF,华夏基金管理有限公司,交通银行股份有限公司,股票型,20260629,,20260708,20260601,,2.5234,中证全指软件指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159069.SZ,华泰柏瑞创业板新能源ETF,华泰柏瑞基金管理有限公司,中信建投证券股份有限公司,股票型,20260709,,20260721,20260622,,2.4877,创业板新能源指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159070.SZ,嘉实中证工程机械主题ETF,嘉实基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260617,,20260626,20260528,,2.3837,中证工程机械主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159071.SZ,华宝国证新能源电池ETF,华宝基金管理有限公司,招商证券股份有限公司,股票型,20260610,,20260618,20260525,,2.8591,国证新能源电池指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159072.SZ,景顺长城国证粮食产业ETF,景顺长城基金管理有限公司,华泰证券股份有限公司,股票型,20260707,,20260717,20260615,,2.2429,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159073.SZ,汇添富国证粮食产业ETF,汇添富基金管理股份有限公司,财通证券股份有限公司,股票型,20260812,,20260820,20260727,,2.3217,国证粮食产业指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159075.SZ,华夏中证工业互联网主题ETF,华夏基金管理有限公司,中国银行股份有限公司,股票型,20260706,,20260717,20260617,,2.532,中证工业互联网主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159076.SZ,华宝创业板新能源ETF,华宝基金管理有限公司,华福证券股份有限公司,股票型,20260630,,20260708,20260615,,3.0637,创业板新能源指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159077.SZ,鑫元中证电池主题ETF,鑫元基金管理有限公司,中泰证券股份有限公司,股票型,20260729,,20260812,20260706,,2.0824,中证电池主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159078.SZ,富国中证A股ETF,富国基金管理有限公司,兴业银行股份有限公司,股票型,20260630,,20260708,20260615,,2.4226,中证A股指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159079.SZ,兴全国证价值100ETF,兴证全球基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260717,,20260803,20260701,,2.3481,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159082.SZ,华夏中证细分化工产业主题ETF,华夏基金管理有限公司,中信银行股份有限公司,股票型,20260812,,20260821,20260713,,2.0353,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159083.SZ,嘉实中证红利低波动100ETF,嘉实基金管理有限公司,中国建设银行股份有限公司,股票型,20260805,,20260813,20260713,,2.8437,中证红利低波动100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159085.SZ,永赢国证价值100ETF,永赢基金管理有限公司,招商银行股份有限公司,股票型,20260710,,20260720,20260701,,2.0354,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159086.SZ,广发中证金融科技主题ETF,广发基金管理有限公司,中国工商银行股份有限公司,股票型,20260720,,20260730,20260701,,2.394,中证金融科技主题指数同期收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159087.SZ,万家中证细分化工产业主题ETF,万家基金管理有限公司,长江证券股份有限公司,股票型,20260717,,20260803,20260701,,2.1699,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159093.SZ,汇添富中证细分化工产业主题ETF,汇添富基金管理股份有限公司,国泰海通证券股份有限公司,股票型,20260722,,20260730,20260706,,2.3668,中证细分化工产业主题指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159095.SZ,银华中证云计算50ETF,银华基金管理股份有限公司,广发证券股份有限公司,股票型,20260810,,20260818,20260720,,2.9147,中证云计算50指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159096.SZ,华夏国证价值100ETF,华夏基金管理有限公司,中国工商银行股份有限公司,股票型,20260819,,20260828,20260803,,2.7963,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159098.SZ,招商国证价值100ETF,招商基金管理有限公司,中国建设银行股份有限公司,股票型,20260805,,20260814,20260706,,2.3989,国证价值100指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159099.SZ,华宝中证云计算50ETF,华宝基金管理有限公司,国信证券股份有限公司,股票型,20260722,,20260730,20260706,,2.9061,中证云计算50指数收益率×100%,L,,股票型,E,[],2026-09-04 10:05:42
159103.SZ,汇添富中证金融科技主题ETF,汇添富基金管理股份有限公司,中信建投证券股份有限公司,股票型,20250829,,20250910,20250820,,4.9541,中证金融科技主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159106.SZ,前海开源中证民企300ETF,前海开源基金管理有限公司,国投证券股份有限公司,股票型,20250926,,20251022,20250910,,5.2958,中证民企300指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159107.SZ,富国创业板软件ETF,富国基金管理有限公司,兴业银行股份有限公司,股票型,20250910,,20250922,20250901,,2.9382,创业板软件指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159108.SZ,博时国证工业软件主题ETF,博时基金管理有限公司,中信建投证券股份有限公司,股票型,20251112,,20251124,20251027,,6.1274,国证工业软件主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159119.SZ,招商中证800自由现金流ETF,招商基金管理有限公司,平安银行股份有限公司,股票型,20251103,,20251113,20250923,,2.6605,中证800自由现金流指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159122.SZ,富国创业板新能源ETF,富国基金管理有限公司,财通证券股份有限公司,股票型,20251022,,20251103,20251009,,2.8716,创业板新能源指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159123.SZ,嘉实中证光伏产业ETF,嘉实基金管理有限公司,中国银行股份有限公司,股票型,20251119,,20251127,20251110,,2.6505,中证光伏产业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159129.SZ,嘉实中证细分化工产业主题ETF,嘉实基金管理有限公司,交通银行股份有限公司,股票型,20251106,,20251114,20251020,,9.2641,中证细分化工产业主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159133.SZ,天弘中证细分化工产业主题ETF,天弘基金管理有限公司,中信建投证券股份有限公司,股票型,20251117,,20251125,20251110,,5.4991,中证细分化工产业主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159136.SZ,广发中证A50ETF,广发基金管理有限公司,中信银行股份有限公司,股票型,20251216,,20251225,20251127,,2.2491,中证A50指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159138.SZ,易方达中证工程机械主题ETF,易方达基金管理有限公司,中国工商银行股份有限公司,股票型,20251231,,20260113,20251211,,2.9977,中证工程机械主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159139.SZ,华泰柏瑞中证科创创业人工智能ETF,华泰柏瑞基金管理有限公司,江苏银行股份有限公司,股票型,20251210,,20251219,20251128,,4.0411,中证科创创业人工智能指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159140.SZ,易方达中证科创创业人工智能ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,20251210,,20251218,20251128,,13.3594,中证科创创业人工智能指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159141.SZ,永赢中证科创创业人工智能ETF,永赢基金管理有限公司,兴业银行股份有限公司,股票型,20251203,,20251211,20251128,,9.3306,中证科创创业人工智能指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159142.SZ,景顺长城中证科创创业人工智能ETF,景顺长城基金管理有限公司,中信证券股份有限公司,股票型,20251205,,20251212,20251128,,5.4526,中证科创创业人工智能指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159145.SZ,广发国证工业软件主题ETF,广发基金管理有限公司,兴业银行股份有限公司,股票型,20260108,,20260119,20251215,,2.3758,国证工业软件主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159146.SZ,华宝中证全指电力公用事业ETF,华宝基金管理有限公司,广发证券股份有限公司,股票型,20260112,,20260120,20251222,,7.1944,中证全指电力公用事业指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159147.SZ,南方中证电池主题ETF,南方基金管理股份有限公司,交通银行股份有限公司,股票型,20260114,,20260123,20260105,,3.2191,中证电池主题指数×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159148.SZ,富国国证石油天然气ETF,富国基金管理有限公司,广发证券股份有限公司,股票型,20260203,,20260211,20260119,,2.1047,国证石油天然气指数×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159149.SZ,工银瑞信创业板新能源ETF,工银瑞信基金管理有限公司,国投证券股份有限公司,股票型,20260107,,20260120,20251222,,2.4552,创业板新能源指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159150.SZ,易方达深证50ETF,易方达基金管理有限公司,国泰海通证券股份有限公司,股票型,20231129,,20231211,20231120,,26.01,深证50指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159151.SZ,华夏中证全指食品ETF,华夏基金管理有限公司,招商银行股份有限公司,股票型,20251231,,20260114,20251222,,2.5785,中证全指食品指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159153.SZ,鹏华国证消费电子主题ETF,鹏华基金管理有限公司,东方财富证券股份有限公司,股票型,20260129,,20260209,20260112,,3.4023,国证消费电子主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
159155.SZ,大成中证电池主题ETF,大成基金管理有限公司,兴业银行股份有限公司,股票型,20260113,,20260121,20260105,,4.4151,中证电池主题指数收益率×100%,L,被动指数型,股票型,E,[],2026-09-04 10:05:42
