model,trade_id,index_key,etf,entry_date,entry_fill,first_mid_touch_date,mid_touch_close_adj,return_from_entry_to_mid_pct,holding_days_to_mid
Model1,27,399330.SZ,159901.SZ,2010-12-29,0.788,2011-01-04,0.831,5.46,6
Model1,28,上海证券交易所50成份,510050.SH,2010-12-29,1.952,2011-01-04,2.009,2.92,6
Model1,29,中小企业100,159902.SZ,2010-12-28,3.0500000000000003,2011-01-04,3.216,5.44,7
Model1,30,上海证券交易所50成份,510050.SH,2011-07-26,1.924,2011-08-25,1.892,-1.66,30
Model1,31,上海证券交易所180成份,510180.SH,2011-07-26,0.623,2011-08-25,0.608,-2.41,30
Model1,32,上海证券交易所50成份,510050.SH,2011-12-15,1.647,2012-01-09,1.677,1.82,25
Model1,33,深圳证券交易所成份,159903.SZ,2011-08-08,1.182,2011-08-25,1.181,-0.08,17
Model1,34,中小企业100,159902.SZ,2011-12-06,2.214,2012-01-10,2.033,-8.18,35
Model1,35,深圳证券交易所成份,159903.SZ,2012-03-26,1.003,2012-04-12,1.015,1.2,17
Model1,36,399330.SZ,159901.SZ,2012-03-26,0.628,2012-04-12,0.632,0.64,17
Model1,37,上海证券交易所50成份,510050.SH,2012-06-26,1.718,2012-08-06,1.692,-1.51,41
Model1,38,上海证券交易所50成份,510050.SH,2012-11-14,1.578,2012-12-05,1.599,1.33,21
Model1,39,399330.SZ,159901.SZ,2012-06-26,0.601,2012-07-12,0.616,2.5,16
Model1,40,399330.SZ,159901.SZ,2013-03-05,0.594,2013-03-20,0.605,1.85,15
Model1,41,深圳证券交易所成份,159903.SZ,2013-03-05,0.93,2013-03-20,0.95,2.15,15
Model1,42,上海证券交易所50成份,510050.SH,2013-06-13,1.751,2013-07-11,1.684,-3.83,28
Model1,43,000300.SH,510300.SH,2013-06-14,2.426,2013-07-11,2.371,-2.27,27
Model1,44,000037.SH,510660.SH,2013-08-19,1.055,2013-08-26,1.099,4.17,7
Model1,45,中小企业100,159902.SZ,2013-10-29,2.362,2013-11-18,2.359,-0.13,20
Model1,46,上海证券交易所50成份,510050.SH,2013-12-17,1.607,2014-02-10,1.501,-6.6,55
Model1,47,上证180金融股,510230.SH,2014-02-25,2.944,2014-03-21,2.938,-0.2,24
Model1,48,000300.SH,510300.SH,2013-10-28,2.4250000000000003,2013-11-18,2.477,2.14,21
Model1,49,395004.SZ,159915.SZ,2014-03-28,1.327,2014-04-17,1.337,0.75,20
Model1,50,000037.SH,510660.SH,2014-04-25,0.998,2014-05-26,0.995,-0.3,31
Model1,51,深圳证券交易所成份,159903.SZ,2014-08-29,0.8190000000000001,2014-09-02,0.848,3.54,4
Model1,52,000300.SH,510300.SH,2014-10-28,2.4170000000000003,2014-10-29,2.489,2.98,1
Model1,53,上海证券交易所50成份,510050.SH,2014-10-28,1.609,2014-10-30,1.663,3.36,2
Model1,54,395004.SZ,159915.SZ,2014-11-12,1.424,2014-11-19,1.464,2.81,7
Model1,55,中小企业100,159902.SZ,2014-11-12,2.484,2014-11-25,2.587,4.15,13
Model1,56,上海证券交易所50成份,510050.SH,2015-02-03,2.331,2015-02-17,2.411,3.43,14
Model1,57,上海证券交易所上证红利,510880.SH,2015-01-20,2.432,2015-02-26,2.503,2.92,37
Model1,58,上海证券交易所上证红利,510880.SH,2015-05-08,3.198,2015-05-12,3.412,6.69,4
Model1,59,上证金融地产行业,510650.SH,2015-05-18,1.775,2015-05-22,1.893,6.65,4
Model1,60,沪深300非银行金融,512070.SH,2015-06-19,2.515,2015-09-21,1.465,-41.75,94
Model1,61,上海证券交易所50成份,510050.SH,2015-06-23,2.896,2015-07-10,2.905,0.31,17
Model1,62,上海证券交易所上证红利,510880.SH,2015-12-02,2.782,2015-12-17,2.834,1.87,15
Model1,63,中证小盘500,510500.SH,2019-02-01,4.5,2019-02-01,1.2944,2.62,0
Model1,64,中证小盘500,510500.SH,2019-04-29,5.806,2019-06-11,1.48,-9.06,43
Model1,65,上海证券交易所50成份,510050.SH,2019-08-07,2.815,2019-08-19,3.7589,3.98,12
Model1,66,中证小盘500,510500.SH,2019-10-08,5.347,2019-10-14,1.5509,3.48,6
Model1,67,000300.SH,510300.SH,2020-02-03,3.734,2020-02-17,4.598,8.84,14
