index_key,n_tracking_etfs,n_live,largest_current_etf,largest_current_fund_size,largest_historical_etf,most_liquid_etf
980086.CNI,13.0,13.0,159992.SZ,16937096615.667,159992.SZ,159992.SZ
980092.SZ,8.0,8.0,159201.SZ,16294712780.203001,159201.SZ,159201.SZ
上海证券交易所180成份,1.0,1.0,510180.SH,17490024049.7,510180.SH,510180.SH
上海证券交易所50成份,4.0,4.0,510050.SH,19885684170.800003,510050.SH,510050.SH
上海证券交易所上证红利,1.0,1.0,510880.SH,19218151705.199997,510880.SH,510880.SH
上海证券交易所综合,1.0,1.0,510210.SH,14269442140.8,510210.SH,510210.SH
上证180等权重,1.0,0.0,,,510420.SH,510420.SH
上证180金融股,2.0,1.0,510230.SH,892026032.0000001,510230.SH,510230.SH
上证180高贝塔,1.0,0.0,,,510450.SH,510450.SH
上证50等权重,1.0,0.0,,,510430.SH,510430.SH
上证G60战略新兴产业成份,1.0,1.0,510770.SH,18930973.2,510770.SH,510770.SH
上证中央企业50,1.0,1.0,510060.SH,92991472.0,510060.SH,510060.SH
上证主要消费行业,1.0,1.0,510630.SH,451508899.49999994,510630.SH,510630.SH
上证原材料行业,1.0,0.0,,,510620.SH,510620.SH
上证国有企业100,1.0,1.0,510270.SH,26342236.5,510270.SH,510270.SH
上证国有企业红利,2.0,2.0,510720.SH,1764261152.0,510720.SH,510720.SH
上证市值100,1.0,0.0,,,510700.SH,510700.SH
上证智选科创板价值50策略,1.0,1.0,589550.SH,32884150.0,589550.SH,589550.SH
上证智选科创板创新价值,1.0,1.0,588910.SH,146071686.0,588910.SH,588910.SH
上证民营企业50,1.0,0.0,,,510070.SH,510070.SH
上证社会责任,1.0,1.0,510090.SH,67419643.5,510090.SH,510090.SH
上证科创板100,14.0,14.0,588220.SH,6603700439.700001,588220.SH,588220.SH
上证科创板200,12.0,12.0,588230.SH,1297167335.0,588230.SH,588230.SH
上证科创板50成份,20.0,20.0,588000.SH,88993105944.6,588000.SH,588000.SH
上证科创板工业机械,1.0,1.0,588850.SH,136205946.0,588850.SH,588850.SH
上证科创板成长,5.0,4.0,588020.SH,1853556066.0,588020.SH,588020.SH
上证科创板新一代信息技术,3.0,3.0,588770.SH,557758809.0,588770.SH,588770.SH
上证科创板新材料,4.0,3.0,588010.SH,968462983.8,588010.SH,588010.SH
上证科创板新能源,3.0,3.0,588830.SH,702958347.1999999,588830.SH,588830.SH
上证科创板综合,16.0,16.0,589680.SH,2094771056.7,589680.SH,589680.SH
上证科创板综合价格,7.0,7.0,589600.SH,340720830.0,589600.SH,589600.SH
上证科创板芯片,11.0,11.0,588200.SH,48789886680.5,588200.SH,588200.SH
上证红利低波动,1.0,0.0,,,510890.SH,510890.SH
上证综合,7.0,7.0,510760.SH,4034189491.2999997,510760.SH,510760.SH
上证自然资源,1.0,1.0,510410.SH,875897923.9999999,510410.SH,510410.SH
上证超级大盘,1.0,1.0,510020.SH,141026032.0,510020.SH,510020.SH
上证金融地产行业,1.0,1.0,510650.SH,35690165.0,510650.SH,510650.SH
中关村A股综合,1.0,0.0,,,159951.SZ,159951.SZ
中华交易服务半导体芯片行业,1.0,1.0,512760.SH,10331080903.0,512760.SH,512760.SH
中华交易服务沪深港300,1.0,0.0,,,517780.SH,517780.SH
中国战略新兴产业成份,2.0,1.0,512770.SH,245276428.8,512770.SH,512770.SH
中小企业100,1.0,1.0,159902.SZ,550199285.5699999,159902.SZ,159902.SZ
中小板等权重,1.0,0.0,,,159921.SZ,159921.SZ
中证100,1.0,0.0,,,515670.SH,515670.SH
中证500ESG基准,1.0,0.0,,,561150.SH,561150.SH
中证500价值,1.0,1.0,562330.SH,14975549.400000002,562330.SH,562330.SH
中证500信息技术,1.0,1.0,512330.SH,647862912.0,512330.SH,512330.SH
中证500医药卫生,1.0,0.0,,,512300.SH,512300.SH
中证500原材料,1.0,0.0,,,512340.SH,512340.SH
中证500等权重,1.0,1.0,515590.SH,68941053.3,515590.SH,515590.SH
中证500自由现金流,1.0,1.0,560120.SH,698477623.0,560120.SH,560120.SH
中证500行业中性低波动,1.0,1.0,512260.SH,37583211.6,512260.SH,512260.SH
中证5G产业50,1.0,1.0,159811.SZ,219075839.7,159811.SZ,159811.SZ
中证800价值,1.0,1.0,560030.SH,30953672.0,560030.SH,560030.SH
中证800汽车与零部件,2.0,1.0,516110.SH,239772887.20000002,516110.SH,516110.SH
中证800红利低波动,3.0,3.0,563980.SH,185565594.0,563980.SH,563980.SH
中证800自由现金流,6.0,6.0,516460.SH,516190311.00000006,516460.SH,516460.SH
中证800证券保险,1.0,1.0,515630.SH,1200932574.6000001,515630.SH,515630.SH
中证800银行,1.0,1.0,159887.SZ,767655883.4000001,159887.SZ,159887.SZ
中证800食品饮料,1.0,0.0,,,512210.SH,512210.SH
中证A500红利低波动,6.0,6.0,560570.SH,1171859318.0,560570.SH,560570.SH
中证上海国企,1.0,1.0,510810.SH,5057092863.9,510810.SH,510810.SH
中证上海环交所碳中和,8.0,8.0,562990.SH,358294956.0,562990.SH,562990.SH
中证中央企业红利,2.0,2.0,561580.SH,2409025789.0,561580.SH,561580.SH
中证主要消费,5.0,5.0,159928.SZ,15335318311.6,159928.SZ,159928.SZ
中证云计算50,5.0,5.0,158012.SZ,262822985.436,158012.SZ,560660.SH
中证京津冀协同发展主题,1.0,0.0,,,512780.SH,512780.SH
中证全指主要消费,1.0,0.0,,,159946.SZ,159946.SZ
中证全指信息技术,2.0,2.0,159939.SZ,837095906.692,159939.SZ,159939.SZ
中证全指公用事业,4.0,4.0,159159.SZ,119547635.05799998,159159.SZ,159301.SZ
中证全指农牧渔,3.0,3.0,560210.SH,429625870.0,560210.SH,159275.SZ
中证全指医疗保健设备与服务,5.0,5.0,159873.SZ,247233000.0,159873.SZ,159891.SZ
中证全指医疗器械,8.0,8.0,159883.SZ,3966370688.763,159883.SZ,159883.SZ
中证全指医药卫生,1.0,1.0,159938.SZ,4707361299.984,159938.SZ,159938.SZ
中证全指半导体产品与设备,1.0,1.0,512480.SH,19861135228.8,512480.SH,512480.SH
中证全指原材料,1.0,1.0,159944.SZ,47760204.761999995,159944.SZ,159944.SZ
中证全指可选消费,2.0,2.0,159936.SZ,209065729.702,159936.SZ,562580.SH
中证全指家用电器,6.0,6.0,159996.SZ,684259417.008,159996.SZ,159996.SZ
中证全指工业,1.0,0.0,,,159953.SZ,159953.SZ
中证全指建筑材料,3.0,3.0,159745.SZ,733616910.0400001,159745.SZ,159745.SZ
中证全指房地产,2.0,2.0,512200.SH,3688855046.4,512200.SH,512200.SH
中证全指汽车,2.0,2.0,159512.SZ,113712681.81,159512.SZ,159512.SZ
中证全指电力公用事业,16.0,16.0,159611.SZ,9803231556.3,159611.SZ,159611.SZ
中证全指红利质量,10.0,8.0,159209.SZ,2556650121.2679996,159209.SZ,159209.SZ
中证全指能源,1.0,1.0,159945.SZ,83282113.14599998,159945.SZ,159945.SZ
中证全指自由现金流,13.0,13.0,563390.SH,2608449648.0,563390.SH,159232.SZ
中证全指航空航天,1.0,1.0,563380.SH,828779700.0,563380.SH,563380.SH
中证全指计算机,1.0,1.0,159586.SZ,271404426.53400004,159586.SZ,159586.SZ
中证全指证券公司,17.0,17.0,512880.SH,61666196067.00001,512880.SH,512880.SH
中证全指软件,5.0,4.0,515230.SH,5521560175.5,515230.SH,515230.SH
中证全指软件开发,2.0,2.0,159036.SZ,266232053.34,159036.SZ,159036.SZ
中证全指运输,1.0,1.0,159666.SZ,109946241.75999999,159666.SZ,159666.SZ
中证全指通信设备,1.0,1.0,515880.SH,40405862004.0,515880.SH,515880.SH
中证全指金融地产,1.0,1.0,159940.SZ,361124678.83500004,159940.SZ,159940.SZ
中证全指集成电路,2.0,2.0,159546.SZ,570695072.542,159546.SZ,159546.SZ
中证全指食品,9.0,9.0,159151.SZ,168027233.275,159151.SZ,159151.SZ
中证内地低碳经济主题,5.0,5.0,159790.SZ,1049902312.83,159790.SZ,159790.SZ
中证内地地产主题,1.0,1.0,159768.SZ,389461984.6629999,159768.SZ,159768.SZ
中证内地新能源主题,2.0,2.0,159752.SZ,205176582.68999997,159752.SZ,516270.SH
中证军工龙头,1.0,1.0,512710.SH,7358938742.400001,512710.SH,512710.SH
中证制药,1.0,1.0,562050.SH,91112688.0,562050.SH,562050.SH
中证医药卫生,3.0,1.0,159929.SZ,2252108068.975,159929.SZ,159929.SZ
中证医药及医疗器械创新,2.0,1.0,516820.SH,1609445320.0,516820.SH,516820.SH
中证半导体材料设备主题,5.0,5.0,159516.SZ,41940646061.01601,159516.SZ,159516.SZ
中证半导体行业精选,1.0,1.0,159325.SZ,1080823463.984,159325.SZ,159325.SZ
中证南方小康产业,1.0,1.0,510160.SH,167860348.80000004,510160.SH,510160.SH
中证国有企业改革,1.0,1.0,159528.SZ,9121683.158,159528.SZ,159528.SZ
中证国有企业红利,3.0,3.0,561060.SH,55254310.0,561060.SH,561060.SH
中证国资央企50,1.0,1.0,563060.SH,196593903.0,563060.SH,563060.SH
中证央企创新驱动,4.0,4.0,515900.SH,3668524632.0,515900.SH,515900.SH
中证央企结构调整,3.0,3.0,512950.SH,6046603745.0,512950.SH,512950.SH
中证小盘500,8.0,7.0,510500.SH,39366947076.6,510500.SH,510500.SH
中证工业互联网主题,4.0,4.0,158027.SZ,202585898.00999996,158027.SZ,159013.SZ
中证成渝地区双城经济圈成份,1.0,1.0,159623.SZ,2965700827.2,159623.SZ,159623.SZ
中证数字经济主题,3.0,3.0,560800.SH,334222400.7,560800.SH,560800.SH
中证文娱传媒,1.0,1.0,516190.SH,117229407.5,516190.SH,516190.SH
中证新材料主题,7.0,6.0,159761.SZ,150127813.611,159761.SZ,159761.SZ
中证新能源,5.0,5.0,516160.SH,3579036540.0,516160.SH,516160.SH
中证新能源汽车,6.0,6.0,515030.SH,2356882416.0,515030.SH,515030.SH
中证新能源汽车产业,2.0,2.0,515700.SH,1387480991.4,515700.SH,515700.SH
中证智能消费主题,1.0,1.0,515920.SH,76707188.7,515920.SH,515920.SH
中证智能电动汽车,5.0,3.0,516380.SH,71613006.39999999,516380.SH,516590.SH
中证智选1000价值稳健策略,1.0,1.0,562530.SH,200203152.0,562530.SH,562530.SH
中证智选1000成长创新策略,1.0,1.0,562520.SH,39138160.0,562520.SH,562520.SH
中证智选300价值稳健策略,1.0,1.0,159510.SZ,83718480.972,159510.SZ,159510.SZ
中证智选300成长创新策略,1.0,1.0,159523.SZ,87512028.868,159523.SZ,159523.SZ
中证智选沪深港科技50,1.0,1.0,517950.SH,56208419.199999996,517950.SH,517950.SH
中证智选航空航天科技,1.0,1.0,159638.SZ,1220952248.6759999,159638.SZ,159638.SZ
中证智选高股息策略,1.0,1.0,159207.SZ,2599514330.0950003,159207.SZ,159207.SZ
中证机器人,10.0,9.0,562500.SH,17636776684.2,562500.SH,562500.SH
中证民企300,1.0,1.0,159106.SZ,40648134.176,159106.SZ,159106.SZ
中证民企成长,1.0,0.0,,,512790.SH,512790.SH
中证汽车零部件主题,5.0,3.0,159565.SZ,174935317.68899998,159565.SZ,159565.SZ
中证沪港深500,6.0,5.0,517080.SH,171261174.0,517080.SH,517010.SH
中证沪港深游戏及文化传媒,1.0,1.0,517770.SH,167927264.6,517770.SH,517770.SH
中证沪港深物联网主题,1.0,1.0,517660.SH,49452068.0,517660.SH,517660.SH
中证沪港深科技100,2.0,1.0,517360.SH,23603103.0,517960.SH,517960.SH
中证浙江凤凰行动50,1.0,1.0,512190.SH,587627654.4,512190.SH,512190.SH
中证消费电子主题,7.0,5.0,562950.SH,1600118907.5,562950.SH,562950.SH
中证湖北新旧动能转换,1.0,1.0,159743.SZ,152378364.6,159743.SZ,159743.SZ
中证物联网主题,6.0,5.0,159895.SZ,102780386.224,159895.SZ,159895.SZ
中证现代农业主题,1.0,1.0,562900.SH,170420060.39999998,562900.SH,562900.SH
中证现代物流,2.0,2.0,516910.SH,69842383.8,516910.SH,516910.SH
中证生物科技主题,4.0,4.0,159837.SZ,1403440112.8260002,159837.SZ,159837.SZ
中证电信主题,3.0,3.0,563010.SH,189606995.0,563010.SH,563010.SH
中证电子,1.0,1.0,159997.SZ,1436328906.334,159997.SZ,159997.SZ
中证电子50,2.0,2.0,515260.SH,735609498.4,515260.SH,515260.SH
中证电池主题,13.0,13.0,159796.SZ,4942998715.5,159796.SZ,159796.SZ
中证畜牧养殖,4.0,4.0,159865.SZ,6592810422.837001,159865.SZ,159865.SZ
中证畜牧养殖产业,10.0,10.0,159172.SZ,326411581.878,159172.SZ,159007.SZ
中证疫苗与生物技术,3.0,2.0,562860.SH,216381750.0,562860.SH,562860.SH
中证石化产业,2.0,2.0,516570.SH,1174873334.4,516570.SH,159731.SZ
中证科技100,2.0,1.0,515580.SH,410158641.20000005,515580.SH,515580.SH
中证科技50,1.0,1.0,159807.SZ,819819925.204,159807.SZ,159807.SZ
中证科技50策略,1.0,1.0,515750.SH,533385793.50000006,515750.SH,515750.SH
中证科技优势成长50策略,1.0,1.0,563560.SH,64791727.0,563560.SH,563560.SH
中证科技先锋,1.0,1.0,560990.SH,16827306.8,560990.SH,560990.SH
中证科技龙头,2.0,2.0,515000.SH,4013682856.2,515000.SH,515000.SH
中证稀有金属主题,12.0,12.0,562800.SH,5248273400.0,562800.SH,562800.SH
中证红利价值,1.0,1.0,563700.SH,395107200.0,563700.SH,563700.SH
中证红利低波动,8.0,7.0,512890.SH,31738932960.0,512890.SH,512890.SH
中证红利低波动100,8.0,8.0,159307.SZ,7284430272.768001,159307.SZ,515100.SH
中证红利潜力,1.0,0.0,,,515570.SH,515570.SH
中证细分食品饮料产业主题,4.0,3.0,515170.SH,4002815665.6000004,515170.SH,515170.SH
中证绿色电力,4.0,4.0,562550.SH,1711825082.7,562550.SH,562550.SH
中证能源,1.0,1.0,159930.SZ,954853984.7,159930.SZ,159930.SZ
中证芯片产业,6.0,6.0,516350.SH,2263721081.1,516350.SH,159599.SZ
中证虚拟现实主题,1.0,1.0,159786.SZ,93466143.056,159786.SZ,159786.SZ
中证装备产业,2.0,2.0,562910.SH,241265885.70000002,562910.SH,562910.SH
中证计算机主题,2.0,2.0,159998.SZ,1568095625.504,159998.SZ,159998.SZ
中证证券公司30,3.0,3.0,159692.SZ,1761459194.118,159692.SZ,159692.SZ
中证诚通国企数字经济,3.0,3.0,159389.SZ,241233961.836,159389.SZ,159389.SZ
中证诚通央企红利,1.0,1.0,159336.SZ,375338165.79,159336.SZ,159336.SZ
中证通信服务,1.0,1.0,159511.SZ,334242185.338,159511.SZ,159511.SZ
中证通信设备主题,1.0,1.0,159583.SZ,3895348643.2000003,159583.SZ,159583.SZ
中证通用航空主题,4.0,4.0,159283.SZ,259342605.489,159283.SZ,563320.SH
中证金融科技主题,10.0,9.0,159851.SZ,6329795229.832,159851.SZ,159851.SZ
中证银行AH价格优选,2.0,1.0,517900.SH,595717756.0,517900.SH,517900.SH
中证锐联基本面50,1.0,1.0,512750.SH,68016708.9,512750.SH,512750.SH
中证长三角一体化发展主题,1.0,1.0,512650.SH,41276094.400000006,512650.SH,512650.SH
中证长三角领先,1.0,0.0,,,515500.SH,515500.SH
中证饮料主题,1.0,0.0,,,159789.SZ,159789.SZ
中证高股息精选,1.0,0.0,,,512590.SH,512590.SH
创业板新能源,10.0,10.0,159387.SZ,972382322.5439998,159387.SZ,159387.SZ
创业板算力基础设施,9.0,0.0,,,,
创业板综合,11.0,10.0,159292.SZ,200084235.02199998,159292.SZ,159541.SZ
国证价值100,9.0,8.0,159263.SZ,7278641841.034,159263.SZ,159263.SZ
国证信息技术创新主题,4.0,4.0,159540.SZ,231534810.98999998,159540.SZ,159540.SZ
国证公共卫生与医疗健康,1.0,1.0,159760.SZ,77430730.455,159760.SZ,159760.SZ
国证半导体芯片,4.0,4.0,159995.SZ,27196105503.38,159995.SZ,159995.SZ
