date,action,index_key,etf,shares,price,amount,fee,cash_after,level,ranking,pnl,holding_days
2020-02-20,EXIT_MIDLINE,399987.SZ,512690.SH,188600,1.1280000000000001,212740.80000000002,53.18520000000001,881913.8142249997,1,bb_z,12721.635800000018,14.0
2020-03-10,ENTRY,399971.SZ,512980.SH,230600,0.867,199930.2,49.98255,681933.6316749997,1,bb_z,,
2020-03-24,ENTRY,399967.SZ,512660.SH,259700,0.77,199969.0,49.99225,481914.6394249997,1,bb_z,,
2020-04-07,EXIT_MIDLINE,399967.SZ,512660.SH,259700,0.787,204383.9,51.095975,686247.4434499997,1,bb_z,4313.811774999994,14.0
2020-04-08,EXIT_MIDLINE,399971.SZ,512980.SH,230600,0.8220000000000001,189553.2,47.3883,875753.2551499996,1,bb_z,-10474.370849999981,29.0
2020-05-25,ENTRY,399437.SZ,159993.SZ,223200,0.896,199987.2,49.99680000000001,675716.0583499996,1,bb_z,,
2020-06-01,EXIT_MIDLINE,399437.SZ,159993.SZ,223200,0.921,205567.2,51.3918,881231.8665499996,1,bb_z,5478.611400000004,7.0
2020-09-08,ENTRY,980086.CNI,159992.SZ,145900,1.37,199883.00000000003,49.97075000000001,681298.8957999996,1,bb_z,,
2020-09-08,ENTRY,000905.SH,159968.SZ,29500,6.766,199597.0,49.89925,481651.9965499996,1,bb_z,,
2020-09-10,ADD,980086.CNI,159992.SZ,151200,1.322,199886.40000000002,49.97160000000001,281715.62494999956,2,bb_z,,
2020-09-10,ADD,000905.SH,159968.SZ,30200,6.62,199924.0,49.981,81741.64394999956,2,bb_z,,
2020-09-21,EXIT_MIDLINE,000905.SH,159968.SZ,59700,6.75,402975.0,100.74375,484615.90019999957,2,bb_z,3253.37599999993,13.0
2020-09-25,ENTRY,399998.SZ,515220.SH,181600,1.101,199941.6,49.985400000000006,284624.3147999996,1,bb_z,,
2020-09-28,EXIT_MIDLINE,399998.SZ,515220.SH,181600,1.1300000000000001,205208.00000000003,51.30200000000001,489781.0127999996,1,bb_z,5165.112600000014,3.0
2020-09-30,ENTRY,399986.SZ,512800.SH,190800,1.048,199958.4,49.9896,289772.6231999996,1,bb_z,,
2020-09-30,EXIT_MIDLINE,980086.CNI,159992.SZ,297100,1.323,393063.3,98.26582499999999,682737.6573749996,2,bb_z,-6904.308175000035,22.0
2020-10-12,EXIT_MIDLINE,399986.SZ,512800.SH,190800,1.064,203011.2,50.7528,885698.1045749997,1,bb_z,2952.0576000000056,12.0
2020-10-26,ENTRY,399971.SZ,512980.SH,214500,0.932,199914.0,49.978500000000004,685734.1260749997,1,bb_z,,
2020-10-26,ENTRY,980086.CNI,159992.SZ,156100,1.281,199964.09999999998,49.99102499999999,485720.0350499997,1,bb_z,,
2020-10-28,EXIT_MIDLINE,980086.CNI,159992.SZ,156100,1.346,210110.6,52.52765,695778.1073999997,1,bb_z,10043.98132500004,2.0
2020-11-02,ENTRY,399437.SZ,159993.SZ,169000,1.183,199927.0,49.98175,495801.1256499997,1,bb_z,,
2020-11-02,ADD,399971.SZ,512980.SH,218100,0.917,199997.7,49.999425,295753.4262249997,2,bb_z,,
2020-11-06,EXIT_MIDLINE,399437.SZ,159993.SZ,169000,1.218,205842.0,51.4605,501543.9657249997,1,bb_z,5813.55774999998,4.0
2020-11-09,EXIT_MIDLINE,399971.SZ,512980.SH,432600,0.9480000000000001,410104.80000000005,102.52620000000002,911546.2395249997,2,bb_z,9990.595874999986,14.0
2020-11-12,ENTRY,399441.SZ,512290.SH,104800,1.907,199853.6,49.9634,711642.6761249998,1,bb_z,,
2020-11-18,ENTRY,980086.CNI,159992.SZ,155100,1.289,199923.9,49.980975,511668.7951499998,1,bb_z,,
2020-11-19,ADD,399441.SZ,512290.SH,107200,1.865,199928.0,49.982,311690.8131499998,2,bb_z,,
2020-11-26,ADD,980086.CNI,159992.SZ,162700,1.229,199958.30000000002,49.989575,111682.5235749998,2,bb_z,,
2020-12-03,EXIT_MIDLINE,399441.SZ,512290.SH,212000,1.8880000000000001,400256.0,100.06400000000001,511838.45957499975,2,bb_z,274.39060000004525,21.0
2020-12-03,EXIT_MIDLINE,980086.CNI,159992.SZ,317800,1.284,408055.2,102.0138,919791.6457749997,2,bb_z,7971.015649999994,15.0
2020-12-14,ENTRY,000852.SH,512100.SH,218100,0.917,199997.7,49.999425,719743.9463499998,1,bb_z,,
2020-12-14,ENTRY,000905.SH,159968.SZ,30400,6.566,199606.4,49.9016,520087.64474999974,1,bb_z,,
2020-12-14,EXIT_MIDLINE,000905.SH,159968.SZ,30400,6.722,204348.80000000002,51.0872,724385.3575499997,1,bb_z,4641.411199999995,0.0
2020-12-21,EXIT_MIDLINE,000852.SH,512100.SH,218100,0.936,204141.6,51.0354,928475.9221499998,1,bb_z,4042.8651750000126,7.0
2021-02-01,ENTRY,000852.SH,512100.SH,223700,0.894,199987.80000000002,49.996950000000005,728438.1251999998,1,bb_z,,
2021-02-01,ENTRY,000905.SH,159820.SZ,205700,0.972,199940.4,49.9851,528447.7400999998,1,bb_z,,
2021-02-05,ADD,000852.SH,512100.SH,228800,0.874,199971.2,49.9928,328426.5472999998,2,bb_z,,
2021-02-08,ADD,000905.SH,159820.SZ,207400,0.964,199933.6,49.9834,128442.9638999998,2,bb_z,,
2021-02-09,EXIT_MIDLINE,000905.SH,159820.SZ,413100,0.989,408555.9,102.138975,536896.7249249998,2,bb_z,8479.792524999993,8.0
2021-02-18,EXIT_MIDLINE,000852.SH,512100.SH,452500,0.91,411775.0,102.94375000000001,948568.7811749998,2,bb_z,11613.066499999959,17.0
2021-02-25,ENTRY,399673.SZ,159949.SZ,154300,1.296,199972.80000000002,49.99320000000001,748545.9879749997,1,bb_z,,
2021-02-25,ENTRY,000827.SH,512580.SH,159400,1.254,199887.6,49.971900000000005,548608.4160749997,1,bb_z,,
2021-03-01,ADD,399673.SZ,159949.SZ,158800,1.2590000000000001,199929.2,49.9823,348629.23377499974,2,bb_z,,
2021-03-01,ADD,000827.SH,512580.SH,161100,1.241,199925.1,49.981275000000004,148654.15249999973,2,bb_z,,
2021-03-05,ADD,000827.SH,512580.SH,126200,1.177,148537.4,37.13435,79.61814999973285,3,bb_z,,
2021-03-29,EXIT_MIDLINE,399673.SZ,159949.SZ,313100,1.159,362882.9,90.720725,362871.79742499976,2,bb_z,-37209.79622499996,32.0
2021-03-30,EXIT_MIDLINE,000827.SH,512580.SH,446700,1.164,519958.8,129.9897,882700.6077249998,3,bb_z,-28658.37722499997,33.0
2021-04-13,ENTRY,399437.SZ,159993.SZ,191500,1.044,199926.0,49.981500000000004,682724.6262249998,1,bb_z,,
2021-04-13,ENTRY,399324.SZ,159905.SZ,75900,2.6350000000000002,199996.50000000003,49.99912500000001,482678.12709999975,1,bb_z,,
2021-04-19,EXIT_MIDLINE,399437.SZ,159993.SZ,191500,1.074,205671.0,51.41775,688297.7093499998,1,bb_z,5643.600750000035,6.0
2021-04-19,EXIT_MIDLINE,399324.SZ,159905.SZ,75900,2.7,204930.0,51.2325,893176.4768499997,1,bb_z,4832.268374999968,6.0
2021-05-06,ENTRY,399967.SZ,512660.SH,201400,0.993,199990.2,49.997550000000004,693136.2792999997,1,bb_z,,
2021-05-06,ENTRY,399973.SZ,512670.SH,128300,1.558,199891.4,49.97285,493194.9064499997,1,bb_z,,
2021-05-10,ADD,399973.SZ,512670.SH,128700,1.553,199871.1,49.967775,293273.8386749997,2,bb_z,,
2021-05-10,ADD,399967.SZ,512660.SH,201200,0.994,199992.8,49.9982,93231.04047499973,2,bb_z,,
2021-05-14,EXIT_MIDLINE,399967.SZ,512660.SH,402600,1.0210000000000001,411054.60000000003,102.76365000000001,504182.8768249998,2,bb_z,10868.840600000114,8.0
2021-05-14,EXIT_MIDLINE,399973.SZ,512670.SH,257000,1.596,410172.0,102.543,914252.3338249999,2,bb_z,10207.01637499997,8.0
2021-06-15,ENTRY,399324.SZ,159905.SZ,74500,2.684,199958.0,49.9895,714244.3443249998,1,bb_z,,
2021-06-17,ADD,399324.SZ,159905.SZ,75900,2.634,199920.6,49.98015,514273.76417499984,2,bb_z,,
2021-06-18,ENTRY,399441.SZ,512290.SH,103500,1.931,199858.5,49.964625,314365.2995499999,1,bb_z,,
2021-06-28,EXIT_MIDLINE,399441.SZ,512290.SH,103500,2.0,207000.0,51.75,521313.5495499999,1,bb_z,7039.785374999998,10.0
2021-07-05,ENTRY,399967.SZ,512660.SH,187900,1.064,199925.6,49.9814,321337.96814999986,1,bb_z,,
2021-07-08,EXIT_MIDLINE,399967.SZ,512660.SH,187900,1.127,211763.3,52.940825,533048.3273249998,1,bb_z,11734.777775000013,3.0
2021-07-09,ENTRY,980086.CNI,159992.SZ,139700,1.431,199910.7,49.977675000000005,333087.6496499998,1,bb_z,,
2021-07-12,ADD,399324.SZ,159905.SZ,80000,2.5,200000.0,50.0,133037.6496499998,3,bb_z,,
2021-07-13,EXIT_MIDLINE,980086.CNI,159992.SZ,139700,1.495,208851.50000000003,52.21287500000001,341836.93677499983,1,bb_z,8838.609450000002,4.0
2021-07-14,ENTRY,399986.SZ,512800.SH,168000,1.19,199920.0,49.980000000000004,141866.95677499982,1,bb_z,,
2021-07-27,ADD,399324.SZ,159905.SZ,59100,2.398,141721.80000000002,35.43045000000001,109.72632499979227,4,bb_z,,
2021-08-10,EXIT_MIDLINE,399324.SZ,159905.SZ,289500,2.414,698853.0,174.71325000000002,698788.0130749998,4,bb_z,-43107.51334999999,56.0
2021-08-10,EXIT_MIDLINE,399986.SZ,512800.SH,168000,1.143,192024.0,48.006,890764.0070749999,1,bb_z,-7993.985999999999,27.0
2021-08-18,ENTRY,399673.SZ,159949.SZ,141100,1.417,199938.7,49.984675,690775.3223999998,1,bb_z,,
2021-08-23,ENTRY,399989.SZ,512170.SH,281600,0.71,199936.0,49.984,490789.33839999983,1,bb_z,,
2021-09-07,EXIT_MIDLINE,399673.SZ,159949.SZ,141100,1.431,201914.1,50.478525000000005,692652.9598749998,1,bb_z,1874.9367999999704,20.0
