etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,status,index_code,index_name,index_publisher,publisher_confidence,index_category,asset_class,domestic_a_share_flag,passive_index_flag,cross_mixed_flag,is_csi_publisher,eligible,exclusion_reason,match_level,bench_idx_name,benchmark,data_source,retrieval_date,has_daily,history_start,history_end,n_days,close,daily_amount,adv20,adv60,fund_share,fund_size,premium_max,zero_amt_days,adj_factor_last,last_amount,fund_share_first_date,fund_share_last_date
159096.SZ,华夏国证价值100ETF,SZ,20260828,,20260819,华夏基金管理有限公司,L,,国证价值100,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证价值100,国证价值100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260828,20260903,5,1.003,17125801.200000003,,,19263.1305,193209198.915,,0,1.0,17125.8012,20260814,20260903
158017.SZ,易方达中证细分化工产业主题ETF,SZ,20260827,,20260819,易方达基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260827,20260903,6,1.013,9046200.8,,,8259.4582,83668311.56599997,,0,1.0,9046.2008,20260814,20260903
158019.SZ,永赢中证电池主题ETF,SZ,20260827,,20260819,永赢基金管理有限公司,L,,中证电池主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证电池主题,中证电池主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260827,20260903,6,0.94,8736705.700000001,,,27728.1913,260644998.22,,0,1.0,8736.7057,20260814,20260903
158008.SZ,华夏国证新能源电池ETF,SZ,20260828,,20260819,华夏基金管理有限公司,L,,国证新能源电池,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证新能源电池,国证新能源电池指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260828,20260903,5,0.96,8257313.7,,,24841.3126,238476600.95999998,,0,1.0,8257.3137,20260814,20260903
561730.SH,华夏中证A股ETF,SH,20260828,,20260819,华夏基金管理有限公司,L,930903.CSI,中证A股,中证指数有限公司、上海证券交易所,INDEX_BASIC,综合指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L1_EX_EXACT,中证A股,中证A股指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260828,20260903,5,1.0,13534253.0,,,10274.81,102748100.0,,0,1.0,13534.253,20260814,20260903
158001.SZ,嘉实国证价值100ETF,SZ,20260827,,20260819,嘉实基金管理有限公司,L,,国证价值100,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证价值100,国证价值100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260827,20260903,6,1.006,10184998.2,,,16039.2624,161354979.744,,0,1.0,10184.9982,20260814,20260903
158005.SZ,博时中证工程机械主题ETF,SZ,20260824,,20260814,博时基金管理有限公司,L,931752.CSI,中证工程机械主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证工程机械主题,中证工程机械主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260824,20260903,9,0.973,4667955.2,,,16006.1376,155739718.848,,0,1.0,4667.9552,20260811,20260903
589460.SH,华宝上证科创板200ETF,SH,20260821,,20260813,华宝基金管理有限公司,L,,上证科创板200,中证指数有限公司/上海证券交易所,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,上证科创板200,上证科创板200指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260821,20260903,10,0.956,10808226.0,,,21463.09,205187140.4,,0,1.0,10808.226,20260810,20260903
159073.SZ,汇添富国证粮食产业ETF,SZ,20260820,,20260812,汇添富基金管理股份有限公司,L,,国证粮食产业,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证粮食产业,国证粮食产业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260820,20260903,11,1.068,17944042.700000003,,,6217.3864,66401686.752000004,,0,1.0,17944.0427,20260807,20260903
158012.SZ,南方中证云计算50ETF,SZ,20260820,,20260812,南方基金管理股份有限公司,L,,中证云计算50,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证云计算50,中证云计算50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260820,20260903,11,0.946,7070690.1,,,27782.5566,262822985.436,,0,1.0,7070.6901,20260807,20260903
517230.SH,永赢中证沪港深云计算产业ETF,SH,20260820,,20260812,永赢基金管理有限公司,L,930851.CSI,中证沪港深云计算产业,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,EQUITY,False,False,True,True,False,NOT_PASSIVE;CROSS/MIXED;NOT_DOMESTIC_A_SHARE,L2B_EX_REVSUB,中证沪港深云计算产业,中证沪港深云计算产业指数(人民币)收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260820,20260903,11,0.959,1595105.0,,,16054.58,153963422.2,,0,1.0,1595.105,20260807,20260903
159082.SZ,华夏中证细分化工产业主题ETF,SZ,20260821,,20260812,华夏基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260821,20260903,10,1.002,3933831.8,,,7653.1212,76684274.424,,0,1.0,3933.8318,20260807,20260903
561410.SH,工银瑞信中证光伏产业ETF,SH,20260824,,20260812,工银瑞信基金管理有限公司,L,931151.CSI,中证光伏产业,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证光伏产业,中证光伏产业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260824,20260903,9,0.938,6046563.0,,,20461.33,191927275.4,,0,1.0,6046.563,20260807,20260903
159043.SZ,华安中证全指食品ETF,SZ,20260824,,20260812,华安基金管理有限公司,L,,中证全指食品,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指食品,中证全指食品指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260824,20260903,9,0.996,2127635.1,,,8477.0695,84431612.22,,0,1.0,2127.6351,20260807,20260903
159095.SZ,银华中证云计算50ETF,SZ,20260818,,20260810,银华基金管理股份有限公司,L,,中证云计算50,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证云计算50,中证云计算50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260818,20260903,13,0.953,3317984.7,,,21746.8139,207247136.46699998,,0,1.0,3317.9847,20260805,20260903
159083.SZ,嘉实中证红利低波动100ETF,SZ,20260813,,20260805,嘉实基金管理有限公司,L,,中证红利低波动100,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证红利低波动100,中证红利低波动100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260813,20260903,16,1.003,12090265.2,,,15637.0472,156839583.41599998,,0,1.0,12090.2652,20260731,20260903
159058.SZ,大成中证全指证券公司ETF,SZ,20260813,,20260805,大成基金管理有限公司,L,,中证全指证券公司,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指证券公司,中证全指证券公司指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260813,20260903,16,0.999,7374789.8,,,8033.1247,80250915.753,,0,1.0,7374.7898,20260731,20260903
159098.SZ,招商国证价值100ETF,SZ,20260814,,20260805,招商基金管理有限公司,L,,国证价值100,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证价值100,国证价值100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260814,20260903,15,1.012,5564753.5,,,10689.1589,108174288.068,,0,1.0,5564.7535,20260731,20260903
561890.SH,易方达中证A股ETF,SH,20260807,,20260730,易方达基金管理有限公司,L,930903.CSI,中证A股,中证指数有限公司、上海证券交易所,INDEX_BASIC,综合指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L1_EX_EXACT,中证A股,中证A股指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260807,20260903,20,1.009,1262114.0,17247068.200000003,,4111.26,41482613.4,,0,1.0,1262.114,20260727,20260903
158009.SZ,南方国证航天航空行业ETF,SZ,20260806,,20260729,南方基金管理股份有限公司,L,,国证航天航空行业,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证航天航空行业,国证航天航空行业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260806,20260903,21,1.042,11915122.7,11746060.065000001,,3837.3819,39985519.398,,0,1.0,11915.1227,20260724,20260903
159077.SZ,鑫元中证电池主题ETF,SZ,20260812,,20260729,鑫元基金管理有限公司,L,,中证电池主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证电池主题,中证电池主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260812,20260903,17,0.91,624691.7999999999,,,3224.2574,29340742.34,,0,1.0,624.6918,20260724,20260903
561810.SH,华泰柏瑞中证全指医疗器械ETF,SH,20260807,,20260729,华泰柏瑞基金管理有限公司,L,,中证全指医疗器械,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指医疗器械,中证全指医疗器械指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260807,20260903,20,1.003,5974456.0,12936911.750000002,,6663.84,66838315.199999996,,0,1.0,5974.456,20260724,20260903
158006.SZ,博时中证细分化工产业主题ETF,SZ,20260807,,20260729,博时基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260807,20260903,20,1.029,1730134.3,10781499.565000001,,4204.6012,43265346.348,,0,1.0,1730.1343,20260724,20260903
561390.SH,平安中证稀有金属主题ETF,SH,20260817,,20260729,平安基金管理有限公司,L,,中证稀有金属主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证稀有金属主题,中证稀有金属主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260817,20260903,14,0.963,2356799.0,,,8912.81,85830360.3,,0,1.0,2356.799,20260724,20260903
561620.SH,华泰柏瑞中证细分化工产业主题ETF,SH,20260805,,20260727,华泰柏瑞基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260805,20260903,22,1.036,11450983.0,10978438.75,,3472.7,35977172.0,,0,1.0,11450.983,20260722,20260903
512420.SH,华安中证工程机械主题ETF,SH,20260807,,20260727,华安基金管理有限公司,L,931752.CSI,中证工程机械主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证工程机械主题,中证工程机械主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260807,20260903,20,0.954,4777503.0,11305860.6,,7523.89,71777910.6,,0,1.0,4777.503,20260722,20260903
561020.SH,招商中证全指食品ETF,SH,20260804,,20260724,招商基金管理有限公司,L,,中证全指食品,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指食品,中证全指食品指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260804,20260903,23,1.018,2457538.0,4744519.050000001,,3002.22,30562599.599999998,,0,1.0,2457.538,20260721,20260903
159099.SZ,华宝中证云计算50ETF,SZ,20260730,,20260722,华宝基金管理有限公司,L,,中证云计算50,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证云计算50,中证云计算50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260730,20260903,26,0.985,7820704.399999999,12620385.82,,10361.0546,102056387.81,,0,1.0,7820.7044,20260717,20260903
159093.SZ,汇添富中证细分化工产业主题ETF,SZ,20260730,,20260722,汇添富基金管理股份有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260730,20260903,26,1.039,4355272.0,6250803.444999999,,2868.147,29800047.33,,0,1.0,4355.272,20260717,20260903
561400.SH,鑫元中证畜牧养殖产业ETF,SH,20260803,,20260720,鑫元基金管理有限公司,L,,中证畜牧养殖产业,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证畜牧养殖产业,中证畜牧养殖产业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260803,20260903,24,1.021,1212045.0,6428977.75,,4051.9,41369898.99999999,,0,1.0,1212.045,20260715,20260903
159086.SZ,广发中证金融科技主题ETF,SZ,20260730,,20260720,广发基金管理有限公司,L,,中证金融科技主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证金融科技主题,中证金融科技主题指数同期收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260730,20260903,26,1.073,3970617.2,5209472.72,,2839.9823,30473010.079,,0,1.0,3970.6172,20260714,20260903
159087.SZ,万家中证细分化工产业主题ETF,SZ,20260803,,20260717,万家基金管理有限公司,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260803,20260903,24,1.043,2218561.7,6049064.200000001,,3499.215,36496812.449999996,,0,1.0,2218.5617,20260714,20260903
159079.SZ,兴全国证价值100ETF,SZ,20260803,,20260717,兴证全球基金管理有限公司,L,,国证价值100,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证价值100,国证价值100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260803,20260903,24,1.011,4570040.600000001,7047454.045000001,,8480.683,85739705.13000001,,0,1.0,4570.0406,20260714,20260903
561490.SH,财通资管中证全指红利质量ETF,SH,20260731,,20260716,财通证券资产管理有限公司,L,,中证全指红利质量,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指红利质量,中证全指红利质量指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260731,20260903,25,1.031,7158388.0,10795703.35,,8863.13,91378870.29999998,,0,1.0,7158.388,20260710,20260903
515840.SH,南方中证全指食品ETF,SH,20260723,,20260715,南方基金管理股份有限公司,L,,中证全指食品,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指食品,中证全指食品指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260723,20260903,31,1.031,7333646.0,6266820.85,,3342.64,34462618.4,,0,1.0,7333.646,20260710,20260903
588530.SH,中银证券中证科创创业人工智能ETF,SH,20260729,,20260715,中银国际证券股份有限公司,L,931071.CSI,中证科创创业人工智能,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,中证科创创业人工智能,中证科创创业人工智能指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260729,20260903,27,0.914,1937132.0,9519994.7,,22503.33,205680436.20000005,,0,1.0,1937.132,20260710,20260903
561630.SH,华泰柏瑞中证全指红利质量ETF,SH,20260722,,20260713,华泰柏瑞基金管理有限公司,L,,中证全指红利质量,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指红利质量,中证全指红利质量指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260722,20260903,32,1.052,5614865.0,5603893.45,,4289.8,45128696.0,,0,1.0,5614.865,20260708,20260903
159059.SZ,大成中证全指电力公用事业ETF,SZ,20260720,,20260710,大成基金管理有限公司,L,,中证全指电力公用事业,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证全指电力公用事业,中证全指电力公用事业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260720,20260903,34,1.026,9076602.7,8069530.109999999,,5583.0063,57281644.638000004,,0,1.0,9076.6027,20260707,20260903
159085.SZ,永赢国证价值100ETF,SZ,20260720,,20260710,永赢基金管理有限公司,L,,国证价值100,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,国证价值100,国证价值100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260720,20260903,34,1.046,5107397.9,2724226.6399999997,,2953.5454,30894084.884,,0,1.0,5107.3979,20260707,20260903
159069.SZ,华泰柏瑞创业板新能源ETF,SZ,20260721,,20260709,华泰柏瑞基金管理有限公司,L,,创业板新能源,深圳证券信息有限公司,RULE_BASED,,EQUITY,True,False,False,False,False,NOT_PASSIVE,L5_RULE,创业板新能源,创业板新能源指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260721,20260903,33,0.974,8003816.7,13167265.295,,4077.044,39710408.56,,0,1.0,8003.8167,20260706,20260903
589410.SH,嘉实上证科创板人工智能ETF,SH,20260716,,20260708,嘉实基金管理有限公司,L,931071.CSI,上证科创板人工智能,中证指数有限公司,INDEX_BASIC,主题指数,EQUITY,True,False,False,True,False,NOT_PASSIVE,L2B_EX_REVSUB,上证科创板人工智能,上证科创板人工智能指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260716,20260903,36,0.822,6302716.0,7607587.25,,56056.56,460784923.2,,0,1.0,6302.716,20260703,20260903
561250.SH,鹏华中证稀有金属主题ETF,SH,20260722,,20260708,鹏华基金管理有限公司,L,,中证稀有金属主题,中证指数有限公司,RULE_BASED,,EQUITY,True,False,False,True,False,NOT_PASSIVE,L5_RULE,中证稀有金属主题,中证稀有金属主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20260722,20260903,32,0.998,2709390.0,9673392.400000002,,7175.22,71608695.6,,0,1.0,2709.39,20260703,20260903
