trade_id,model,index_key,index_name,etf,entry_date,entry_price,avg_cost,exit_date,exit_price,exit_action,shares,holding_days,trade_return,pnl,n_adds,max_level,cluster,MAE_pct,MAE_day,MFE_pct,MFE_day,hit_mid,hit_upper,days_to_mid,days_to_upper,mfe_at_mid_pct,hit_mid_then_failed,hit_mid_then_upper,never_hit_mid,failure_class,mae_5d_pct,mae_10d_pct
35,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2012-03-26,1.003,1.00325075,2012-05-02,1.061,EXIT_PSTAR,199400,37,0.05756212990620726,11462.309599999971,0,1,15,-4.91,2012-03-30,5.46,2012-05-02,True,False,17,,1.17,False,False,False,E_OTHER,-4.91,-4.91
36,Model1,399330.SZ,深证100,159901.SZ,2012-03-26,0.628,0.628157,2012-05-04,0.663,EXIT_PSTAR,318400,39,0.05546861692220268,11041.236400000023,0,1,6,-5.28,2012-03-30,5.71,2012-05-04,True,True,17,39.0,0.61,False,True,False,E_OTHER,-5.28,-5.28
37,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2012-06-26,1.718,1.7126081836027716,2012-09-27,1.68,EXIT_PSTAR,129900,93,-0.019040072279798752,-4290.361050000005,1,2,42,-8.15,2012-09-05,1.66,2012-07-06,True,False,41,,1.66,True,False,False,B_REBOUND_RELAPSE,0.02,-0.79
38,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2012-11-14,1.578,1.5772233054953,2012-12-07,1.622,EXIT_PSTAR,138300,23,0.028389571945006714,6136.536200000027,1,2,42,-2.8,2012-12-03,3.54,2012-12-07,True,True,21,23.0,1.38,False,True,False,E_OTHER,-2.36,-2.36
39,Model1,399330.SZ,深证100,159901.SZ,2012-06-26,0.601,0.6011595197566106,2012-12-14,0.537,EXIT_PSTAR,332800,171,-0.10672628087564287,-21396.966574999973,1,2,6,-18.66,2012-12-03,2.8,2012-07-13,True,True,16,171.0,2.47,True,True,False,B_REBOUND_RELAPSE,-0.53,-0.53
40,Model1,399330.SZ,深证100,159901.SZ,2013-03-05,0.594,0.5941485,2013-05-07,0.6,EXIT_PSTAR,336700,63,0.009848547964019112,1919.695050000003,0,1,6,-3.9,2013-04-15,3.34,2013-03-06,True,False,15,,3.34,False,False,False,E_OTHER,1.66,-1.71
41,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2013-03-05,0.93,0.9295867498854786,2013-05-08,0.933,EXIT_PSTAR,218300,64,0.003671792992899184,694.1940250000274,1,2,15,-4.8,2013-04-26,3.38,2013-03-06,True,False,15,,3.38,False,False,False,E_OTHER,1.87,-1.03
42,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2013-06-13,1.751,1.7509232627768316,2013-08-12,1.65,EXIT_PSTAR,117400,60,-0.05764002622066662,-11896.818550000018,1,2,42,-12.67,2013-06-26,-1.42,2013-06-14,True,True,28,60.0,-1.42,True,True,False,B_REBOUND_RELAPSE,-2.51,-12.67
43,Model1,000300.SH,沪深300,510300.SH,2013-06-14,2.426,2.4266065,2013-08-12,2.389,EXIT_PSTAR,82400,59,-0.015497568311961711,-3147.9890000000264,0,1,6,-9.87,2013-06-26,0.35,2013-06-18,True,True,27,59.0,0.35,True,True,False,B_REBOUND_RELAPSE,-3.36,-9.87
44,Model1,000037.SH,上证医药卫生行业,510660.SH,2013-08-19,1.055,1.05526375,2013-09-26,1.086,EXIT_PSTAR,189500,38,0.029126604604773104,5773.070125000026,0,1,46,-1.73,2013-09-11,4.24,2013-08-27,True,True,7,38.0,4.14,False,True,False,E_OTHER,1.11,-0.97
