date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2019-11-22,EXIT_MIDLINE,399967.SZ,512660.SH,553900,0.734,406562.6,101.64065,675152.3077499999,2,6445.88057500003,10.0
2019-11-26,ENTRY,399441.SZ,512290.SH,170900,1.17,199953.0,49.98825,475149.3194999999,1,,
2019-12-02,ENTRY,399987.SZ,512690.SH,177400,1.127,199929.8,49.98245,275169.5370499999,1,,
2019-12-02,ADD,399441.SZ,512290.SH,175400,1.1400000000000001,199956.00000000003,49.98900000000001,75163.5480499999,2,,
2019-12-06,EXIT_MIDLINE,399987.SZ,512690.SH,177400,1.155,204897.0,51.22425,280009.3237999999,1,4865.99329999999,4.0
2019-12-13,EXIT_MIDLINE,399441.SZ,512290.SH,346300,1.165,403439.5,100.859875,683347.9639249998,2,3329.6628749999295,17.0
2020-01-22,ENTRY,399986.SZ,512800.SH,180300,1.109,199952.7,49.988175000000005,483345.2757499998,1,,
2020-02-03,ENTRY,000300.SH,510300.SH,53500,3.734,199769.0,49.94225,283526.33349999983,1,,
2020-02-03,ADD,399986.SZ,512800.SH,199800,1.0010000000000001,199999.80000000002,49.999950000000005,83476.53354999982,2,,
2020-02-05,ADD,000300.SH,510300.SH,22000,3.7880000000000003,83336.0,20.834,119.69954999981564,2,,
2020-02-05,ADD,399986.SZ,512800.SH,100,1.034,103.4,5.0,11.299549999815639,3,,
2020-02-17,EXIT_MIDLINE,000300.SH,510300.SH,75500,3.999,301924.5,75.481125,301860.31842499983,2,18673.24262500008,14.0
2020-02-20,EXIT_MIDLINE,399986.SZ,512800.SH,380200,1.06,403012.0,100.753,704771.5654249998,3,2750.358874999872,29.0
2020-03-10,ENTRY,399971.SZ,512980.SH,230600,0.867,199930.2,49.98255,504791.3828749998,1,,
2020-03-16,ENTRY,000300.SH,510300.SH,51400,3.8890000000000002,199894.6,49.97365,304846.80922499974,1,,
2020-03-18,ADD,000300.SH,510300.SH,53900,3.71,199969.0,49.99225,104827.81697499973,2,,
2020-03-20,ADD,000300.SH,510300.SH,28900,3.616,104502.40000000001,26.125600000000002,299.2913749997242,3,,
2020-04-07,EXIT_MIDLINE,000300.SH,510300.SH,134200,3.729,500431.8,125.10795,500605.98342499975,3,-4185.399450000071,22.0
2020-04-08,EXIT_MIDLINE,399971.SZ,512980.SH,230600,0.8220000000000001,189553.2,47.3883,690111.7951249997,1,-10474.370849999981,29.0
2020-05-25,ENTRY,399437.SZ,159993.SZ,223200,0.896,199987.2,49.99680000000001,490074.5983249997,1,,
2020-06-01,EXIT_MIDLINE,399437.SZ,159993.SZ,223200,0.921,205567.2,51.3918,695590.4065249996,1,5478.611400000004,7.0
2020-09-08,ENTRY,980086.CNI,159992.SZ,145900,1.37,199883.00000000003,49.97075000000001,495657.4357749996,1,,
2020-09-08,ENTRY,000905.SH,159968.SZ,29500,6.766,199597.0,49.89925,296010.53652499965,1,,
2020-09-10,ADD,980086.CNI,159992.SZ,151200,1.322,199886.40000000002,49.97160000000001,96074.16492499964,2,,
2020-09-10,ADD,000905.SH,159968.SZ,14500,6.62,95990.0,23.997500000000002,60.16742499964312,2,,
2020-09-21,EXIT_MIDLINE,000905.SH,159968.SZ,44000,6.75,297000.0,74.25,296985.91742499964,2,1264.8532499999724,13.0
2020-09-25,ENTRY,399998.SZ,515220.SH,181600,1.101,199941.6,49.985400000000006,96994.33202499963,1,,
2020-09-28,EXIT_MIDLINE,399998.SZ,515220.SH,181600,1.1300000000000001,205208.00000000003,51.30200000000001,302151.03002499964,1,5165.112600000014,3.0
2020-09-30,ENTRY,399986.SZ,512800.SH,190800,1.048,199958.4,49.9896,102142.64042499964,1,,
2020-09-30,EXIT_MIDLINE,980086.CNI,159992.SZ,297100,1.323,393063.3,98.26582499999999,495107.6745999996,2,-6904.308175000035,22.0
2020-10-12,EXIT_MIDLINE,399986.SZ,512800.SH,190800,1.064,203011.2,50.7528,698068.1217999996,1,2952.0576000000056,12.0
2020-10-26,ENTRY,980086.CNI,159992.SZ,156100,1.281,199964.09999999998,49.99102499999999,498054.03077499964,1,,
2020-10-26,ENTRY,399971.SZ,512980.SH,214500,0.932,199914.0,49.978500000000004,298090.0522749997,1,,
2020-10-28,EXIT_MIDLINE,980086.CNI,159992.SZ,156100,1.346,210110.6,52.52765,508148.1246249997,1,10043.98132500004,2.0
2020-11-02,ENTRY,399437.SZ,159993.SZ,169000,1.183,199927.0,49.98175,308171.14287499967,1,,
2020-11-02,ADD,399971.SZ,512980.SH,218100,0.917,199997.7,49.999425,108123.44344999967,2,,
2020-11-06,EXIT_MIDLINE,399437.SZ,159993.SZ,169000,1.218,205842.0,51.4605,313913.9829499997,1,5813.55774999998,4.0
