date,open_positions,cash,equity,invested_pct,n_entries,n_exits,eligible_count,n_signal,n_amount_pos,signal_ratio,cash_pct
2016-06-21,3,66.34240767596202,447651.942407676,0.9998517991292093,0,0,67,0,67,0.0,0.00014820087079070454
2016-06-22,3,66.34240767596202,451017.642407676,0.9998529050719128,0,0,69,1,69,0.014492753623188406,0.00014709492808717695
2016-06-23,3,66.34240767596202,450099.8018495759,0.9998526051169021,0,0,67,0,67,0.0,0.0001473948830978955
2016-06-24,3,66.34240767596202,450405.2018495759,0.9998527050589036,0,0,67,2,67,0.029850746268656716,0.00014729494109644303
2016-06-27,3,66.34240767596202,449035.242407676,0.9998522556774826,0,0,70,0,70,0.0,0.00014774432251740688
2016-06-28,3,66.34240767596202,452335.14240767603,0.9998533335099218,0,0,70,0,70,0.0,0.00014666649007821775
2016-06-29,3,66.34240767596202,452601.342407676,0.9998534197726346,0,0,70,1,70,0.014285714285714285,0.00014658022736535603
2016-06-30,2,205678.73971330255,457793.93971330253,0.550717644182641,0,1,68,0,68,0.0,0.449282355817359
2016-07-01,2,205678.73971330255,457198.13971330255,0.5501321596752811,0,0,69,1,69,0.014492753623188406,0.44986784032471894
2016-07-04,2,212819.36850174135,464386.16850174137,0.5417189767120651,1,1,71,0,71,0.0,0.45828102328793485
2016-07-05,1,260932.91777667738,466893.4177766774,0.4411295858073421,0,1,70,0,70,0.0,0.5588704141926579
2016-07-06,0,470679.10378125444,470679.10378125444,0.0,0,1,69,0,69,0.0,1.0
2016-07-07,0,470679.10378125444,470679.10378125444,0.0,0,0,68,0,68,0.0,1.0
2016-07-08,0,470679.10378125444,470679.10378125444,0.0,0,0,68,0,68,0.0,1.0
2016-07-11,0,470679.10378125444,470679.10378125444,0.0,0,0,68,0,68,0.0,1.0
2016-07-12,0,470679.10378125444,470679.10378125444,0.0,0,0,70,0,70,0.0,1.0
2016-07-13,0,470679.10378125444,470679.10378125444,0.0,0,0,71,0,71,0.0,1.0
2016-07-14,0,470679.10378125444,470679.10378125444,0.0,0,0,70,0,70,0.0,1.0
2016-07-15,0,470679.10378125444,470679.10378125444,0.0,0,0,68,0,68,0.0,1.0
2016-07-18,0,470679.10378125444,470679.10378125444,0.0,0,0,66,0,66,0.0,1.0
2016-07-19,0,470679.10378125444,470679.10378125444,0.0,0,0,69,0,69,0.0,1.0
2016-07-20,0,470679.10378125444,470679.10378125444,0.0,0,0,67,0,67,0.0,1.0
2016-07-21,0,470679.10378125444,470679.10378125444,0.0,0,0,70,0,70,0.0,1.0
2016-07-22,0,470679.10378125444,470679.10378125444,0.0,0,0,66,0,66,0.0,1.0
2016-07-25,0,470679.10378125444,470679.10378125444,0.0,0,0,70,0,70,0.0,1.0
2016-07-26,0,470679.10378125444,470679.10378125444,0.0,0,0,68,0,68,0.0,1.0
2016-07-27,0,470679.10378125444,470679.10378125444,0.0,0,0,70,5,70,0.07142857142857142,1.0
