date,eligible_count,n_signal,open_positions,n_entries,n_exits,invested_pct
2013-09-05,8,0,2,0,0,0.6111527011081997
2013-09-06,8,0,2,0,0,0.6114531108294571
2013-09-09,8,0,2,0,0,0.6108518264966966
2013-09-10,9,0,2,0,0,0.6093404421688714
2013-09-11,9,0,2,0,0,0.6088847349172883
2013-09-12,9,0,2,0,0,0.6090367554187597
2013-09-13,10,0,2,0,0,0.6099464025041954
2013-09-16,10,0,2,0,0,0.6120525399044794
2013-09-17,10,0,2,0,0,0.6097950887233455
2013-09-18,10,0,2,0,0,0.6120525399044794
2013-09-23,9,0,2,0,0,0.6157574683148562
2013-09-24,10,0,2,0,0,0.615316617569072
2013-09-25,10,0,2,0,0,0.6142840212789632
2013-09-26,10,0,1,0,1,0.20183772523844665
2013-09-27,10,0,1,0,0,0.20183772523844665
2013-09-30,10,0,1,0,0,0.20183772523844665
2013-10-08,10,0,1,0,0,0.20183772523844665
2013-10-09,10,0,1,0,0,0.20183772523844665
2013-10-10,10,0,1,0,0,0.20183772523844665
2013-10-11,10,0,1,0,0,0.20183772523844665
2013-10-14,10,0,1,0,0,0.20183772523844665
2013-10-15,9,0,1,0,0,0.20183772523844665
2013-10-16,9,0,1,0,0,0.20183772523844665
2013-10-17,9,0,1,0,0,0.20183772523844665
2013-10-18,9,0,1,0,0,0.20183772523844665
2013-10-21,9,0,1,0,0,0.20183772523844665
2013-10-22,9,0,1,0,0,0.20183772523844665
2013-10-23,9,0,1,0,0,0.20183772523844665
2013-10-24,9,0,1,0,0,0.20183772523844665
2013-10-25,9,5,1,0,0,0.20183772523844665
2013-10-28,9,2,2,1,0,0.6038255502203287
2013-10-29,9,2,3,1,0,0.9996854432589289
2013-10-30,9,0,3,0,0,0.9996885746863597
2013-10-31,9,2,3,0,0,0.9996846422413719
2013-11-01,9,0,3,0,0,0.9996845845080548
2013-11-04,9,0,3,0,0,0.9996850662306771
2013-11-05,9,0,3,0,0,0.9996871234145227
2013-11-06,9,0,3,0,0,0.9996842270012607
2013-11-07,9,0,3,0,0,0.9996818111233599
2013-11-08,9,5,3,0,0,0.999677932771676
2013-11-11,9,0,3,0,0,0.999679753430057
2013-11-12,9,0,3,0,0,0.9996814354005652
2013-11-13,9,4,3,0,0,0.9996768268535592
2013-11-14,9,2,3,0,0,0.9996790446181558
2013-11-15,9,1,3,0,0,0.9996835887692546
2013-11-18,10,0,3,0,0,0.9996898577251327
2013-11-19,10,0,3,0,0,0.9996894500266347
2013-11-20,9,0,3,0,0,0.9996905769387243
2013-11-21,9,0,3,0,0,0.9996898114313639
2013-11-22,9,0,3,0,0,0.9996884206033525
2013-11-25,9,0,3,0,0,0.9996869643567562
2013-11-26,9,0,3,0,0,0.9996871220902347
2013-11-27,9,0,3,0,0,0.9996902743042474
2013-11-28,9,0,2,0,1,0.6032990489254743
2013-11-29,9,0,2,0,0,0.6034281165317669
2013-12-02,9,0,2,0,0,0.6019387494272855
2013-12-03,9,0,2,0,0,0.6033635932284425
2013-12-04,9,0,2,0,0,0.605417978746331
2013-12-05,9,0,2,0,0,0.605417978746331
2013-12-06,10,0,2,0,0,0.6043292435417836
2013-12-09,10,0,2,0,0,0.6042650131605886
2013-12-10,10,0,2,0,0,0.6042007619225997
2013-12-11,10,0,2,0,0,0.601678586358125
2013-12-12,9,0,2,0,0,0.6013529039038448
2013-12-13,9,0,2,0,0,0.6012877034929047
2013-12-16,9,1,2,0,0,0.5986620832534594
2013-12-17,10,4,3,1,0,0.9981639516299444
2013-12-18,10,0,3,1,0,0.9996264712717627
2013-12-19,9,0,3,0,0,0.9996233414852558
2013-12-20,8,5,3,0,0,0.9996163990933405
2013-12-23,9,5,3,1,0,0.9999454563674095
2013-12-24,9,0,3,0,0,0.9999454562662307
2013-12-25,9,0,3,0,0,0.9999456511129224
2013-12-26,9,0,3,0,0,0.9999450858698974
2013-12-27,9,0,3,0,0,0.999945683552446
2013-12-30,9,0,3,0,0,0.9999456881118451
2013-12-31,10,0,3,0,0,0.999946250313853
2014-01-02,10,0,3,0,0,0.999946000233392
2014-01-03,10,0,3,0,0,0.9999454420637502
2014-01-06,10,0,3,0,0,0.9999446002754924
2014-01-07,10,0,3,0,0,0.999944595427214
2014-01-08,10,0,3,0,0,0.999944590682503
2014-01-09,10,0,3,0,0,0.9999443105059761
2014-01-10,10,1,3,0,0,0.9999440668298046
2014-01-13,10,2,3,0,0,0.9999438210117917
2014-01-14,10,0,3,0,0,0.99994402758818
2014-01-15,10,0,3,0,0,0.9999439094252366
2014-01-16,10,0,3,0,0,0.9999439636095252
2014-01-17,10,0,3,0,0,0.9999433926936001
2014-01-20,10,1,3,0,0,0.9999431609906437
2014-01-21,10,0,3,0,0,0.9999429944115363
2014-01-22,10,0,3,0,0,0.9999441750175461
2014-01-23,9,0,3,0,0,0.9999438510142676
2014-01-24,9,0,3,0,0,0.999943968996097
2014-01-27,10,0,3,0,0,0.9999433679201573
2014-01-28,10,0,3,0,0,0.9999435083265316
2014-01-29,10,0,3,0,0,0.9999436677712713
2014-01-30,10,0,3,0,0,0.9999431008995429
2014-02-07,10,0,3,0,0,0.9999431966893536
2014-02-10,10,0,3,0,0,0.9999442618984808
2014-02-11,10,0,2,0,1,0.604148175347228
2014-02-12,10,0,2,0,0,0.6044219323656186
2014-02-13,10,0,2,0,0,0.6040111547001362
2014-02-14,11,0,2,0,0,0.6045586689334443
2014-02-17,11,0,2,0,0,0.6056491678003139
2014-02-18,10,0,2,0,0,0.6038054457802352
2014-02-19,10,0,2,0,0,0.6058529671026632
2014-02-20,10,0,2,0,0,0.6044903124677555
2014-02-21,10,0,2,0,0,0.6027047119515762
2014-02-24,10,1,2,0,0,0.5991549392770545
2014-02-25,10,6,3,1,0,0.9996401769768795
2014-02-26,10,4,3,0,0,0.9996400209395966
2014-02-27,10,3,3,0,0,0.9996406451282258
2014-02-28,10,0,3,0,0,0.9996434676049168
2014-03-03,10,0,3,0,0,0.9996429935123938
2014-03-04,10,0,3,0,0,0.99964287395263
2014-03-05,10,0,3,0,0,0.9996401845698764
2014-03-06,10,0,3,0,0,0.9996422208001204
2014-03-07,10,0,3,0,0,0.9996409366996499
2014-03-10,10,2,3,0,0,0.9996318298121328
2014-03-11,10,0,3,0,0,0.9996326919355207
2014-03-12,10,0,3,0,0,0.9996333943044803
2014-03-13,10,0,3,0,0,0.9996376562559675
2014-03-14,10,0,3,0,0,0.9996355667119468
2014-03-17,10,0,3,0,0,0.9996368181739018
2014-03-18,10,0,3,0,0,0.9996357214720397
2014-03-19,10,0,3,0,0,0.9996337353309015
2014-03-20,10,1,3,0,0,0.9996309485540891
2014-03-21,10,0,3,0,0,0.999642612962719
2014-03-24,10,0,2,0,1,0.5935914271015824
2014-03-25,10,0,2,0,0,0.5933772567602488
2014-03-26,10,0,2,0,0,0.5933772567602488
2014-03-27,10,1,2,0,0,0.5923030101855952
2014-03-28,10,1,3,1,0,0.9999267087934288
2014-03-31,10,0,3,0,0,0.9999267051158627
2014-04-01,10,0,3,0,0,0.9999274013470221
2014-04-02,10,0,3,0,0,0.9999269689136816
2014-04-03,10,0,3,0,0,0.9999268194053862
2014-04-04,10,0,3,0,0,0.9999276030616867
2014-04-08,10,0,2,0,1,0.6145176442988994
2014-04-09,9,0,2,0,0,0.6166241932495298
2014-04-10,10,0,2,0,0,0.6179002324159141
2014-04-11,10,0,2,0,0,0.6158077213949871
2014-04-14,10,0,2,0,0,0.6169730483964345
2014-04-15,10,0,2,0,0,0.6162747020593572
2014-04-16,10,0,2,0,0,0.6156907985812157
2014-04-17,10,0,2,0,0,0.6167405488841763
2014-04-18,10,0,2,0,0,0.6175530649205655
2014-04-21,10,0,2,0,0,0.6158077213949871
2014-04-22,10,0,2,0,0,0.6127444215715736
2014-04-23,10,0,2,0,0,0.6120305562285518
2014-04-24,10,1,2,0,0,0.610474782993396
2014-04-25,10,3,3,1,0,0.9999713369344249
2014-04-28,10,4,3,0,0,0.9999707542869546
2014-04-29,10,2,3,0,0,0.9999709250657811
2014-04-30,10,0,3,0,0,0.9999712943719821
2014-05-05,10,0,3,0,0,0.9999715452912304
2014-05-06,10,0,3,0,0,0.9999716709128417
2014-05-07,10,0,3,0,0,0.9999712872159824
2014-05-08,10,0,3,0,0,0.999971242112415
2014-05-09,10,0,3,0,0,0.9999709955354852
2014-05-12,10,0,3,0,0,0.999971367276722
2014-05-13,10,0,3,0,0,0.9999712816685653
2014-05-14,10,0,3,0,0,0.9999713875478193
2014-05-15,10,0,3,0,0,0.9999709776916642
2014-05-16,10,0,3,0,0,0.9999707003527303
2014-05-19,9,2,3,0,0,0.9999705428072324
2014-05-20,9,2,3,0,0,0.9999707030840777
2014-05-21,9,0,3,0,0,0.9999709391871029
2014-05-22,9,0,3,0,0,0.999971012809926
2014-05-23,9,0,3,0,0,0.9999713585536782
2014-05-26,9,0,2,0,1,0.6016023133460454
2014-05-27,9,0,2,0,0,0.6008248974540166
2014-05-28,9,0,2,0,0,0.6022220692034167
2014-05-29,9,0,1,0,1,0.21306366106103772
2014-05-30,9,0,1,0,0,0.21306366106103772
