ts_code,sig_date,entry_date,cash_A1,invested_A1,npos_A1,layers_A1,hold_A1,av_cash_layer,npos_A0
600030.SH,2021-03-01,2021-03-02 00:00:00,12442.930776630834,1085886.93229516,5,1,24,0.06221465388315417,3
002241.SZ,2021-01-29,2021-02-01 00:00:00,665152.6141495907,390161.0855141999,2,1,45,3.3257630707479535,2
300750.SZ,2021-01-29,2021-02-01 00:00:00,665152.6141495907,390161.0855141999,2,2,46,3.3257630707479535,2
002475.SZ,2021-01-28,2021-01-29 00:00:00,1055313.6996637906,0.0,0,1,50,5.276568498318953,0
601899.SH,2021-03-24,2021-03-25 00:00:00,2179.5801941508344,1096150.2828776399,6,1,17,0.010897900970754172,3
601166.SH,2021-04-15,2021-04-16 00:00:00,364064.5398389109,708326.0727592999,4,1,15,1.8203226991945547,2
002352.SZ,2021-04-12,2021-04-13 00:00:00,200650.51461849085,885919.6050754999,5,2,22,1.0032525730924542,2
600031.SH,2021-05-11,2021-05-12 00:00:00,3195.3598047109263,1010786.25011364,4,2,14,0.01597679902355463,3
002594.SZ,2021-02-25,2021-02-26 00:00:00,523035.6003636308,575294.2627081599,4,2,68,2.615178001818154,2
002340.SZ,2021-06-07,2021-06-08 00:00:00,232131.6978416609,837300.88864422,5,3,19,1.1606584892083045,2
000661.SZ,2021-05-24,2021-05-25 00:00:00,420241.7212917809,621078.01523267,3,2,38,2.1012086064589046,2
600031.SH,2021-06-11,2021-06-15 00:00:00,138195.69306296099,976255.78752702,5,2,35,0.6909784653148049,2
600036.SH,2021-07-08,2021-07-09 00:00:00,236864.28838482106,892323.143712,5,1,28,1.1843214419241053,2
601919.SH,2021-07-23,2021-07-26 00:00:00,3317.028467841097,1147093.29307072,6,1,25,0.016585142339205487,3
002460.SZ,2021-08-16,2021-08-17 00:00:00,356186.88130464114,814186.7862227999,6,1,9,1.7809344065232058,1
300750.SZ,2021-08-16,2021-08-17 00:00:00,356186.88130464114,814186.7862227999,6,1,20,1.7809344065232058,1
002714.SZ,2021-05-24,2021-05-25 00:00:00,420241.7212917809,621078.01523267,3,3,86,2.1012086064589046,2
000858.SZ,2021-07-08,2021-07-09 00:00:00,236864.28838482106,892323.143712,5,2,54,1.1843214419241053,2
002594.SZ,2021-09-29,2021-09-30 00:00:00,290356.5131429314,829663.5206309399,4,1,6,1.451782565714657,2
601318.SH,2021-04-15,2021-04-16 00:00:00,364064.5398389109,708326.0727592999,4,2,123,1.8203226991945547,2
000651.SZ,2021-05-25,2021-05-26 00:00:00,52200.4774415009,989119.25908295,5,3,99,0.2610023872075045,3
600111.SH,2021-09-29,2021-09-30 00:00:00,290356.5131429314,829663.5206309399,4,1,12,1.451782565714657,2
600089.SH,2021-10-08,2021-10-11 00:00:00,22277.088610011415,1097742.9451638598,6,1,12,0.11138544305005707,3
002466.SZ,2021-09-27,2021-09-28 00:00:00,683601.4802579313,436418.55351594,2,1,25,3.4180074012896564,1
000858.SZ,2021-11-01,2021-11-02 00:00:00,525851.3770003713,590431.1601988799,3,1,16,2.6292568850018565,3
603259.SH,2021-11-04,2021-11-05 00:00:00,161907.2901340114,954375.2470652398,5,1,15,0.809536450670057,3
601919.SH,2021-09-28,2021-09-29 00:00:00,489296.91420233133,630723.1195715399,3,2,39,2.4464845710116565,1
600030.SH,2021-11-16,2021-11-17 00:00:00,26316.63496241148,1111412.9062436398,5,1,13,0.13158317481205742,2
000651.SZ,2021-10-27,2021-10-28 00:00:00,723037.5700842513,393244.9671149999,2,1,30,3.6151878504212567,2
600036.SH,2021-11-26,2021-11-29 00:00:00,364369.99852030154,800843.5373088098,5,2,8,1.8218499926015077,3
601888.SH,2021-11-02,2021-11-03 00:00:00,342038.01594905136,774244.5212501999,4,3,65,1.7101900797452567,3
601012.SH,2021-12-01,2021-12-02 00:00:00,28054.037864561687,1149242.05737841,5,2,57,0.14027018932280844,2
603259.SH,2021-12-20,2021-12-21 00:00:00,436326.4690769217,774584.4857300498,4,2,56,2.1816323453846085,2
000002.SZ,2022-03-04,2022-03-07 00:00:00,5914.717756961807,1266840.0749154098,7,1,18,0.029573588784809035,3
300059.SZ,2022-02-14,2022-02-15 00:00:00,33952.36142218174,1201350.64508959,5,1,40,0.1697618071109087,3
002594.SZ,2021-12-16,2021-12-17 00:00:00,635377.0087649217,575533.9460420498,3,2,88,3.1768850438246083,1
000625.SZ,2021-11-16,2021-11-17 00:00:00,26316.63496241148,1111412.9062436398,5,4,111,0.13158317481205742,2
002475.SZ,2022-03-29,2022-03-30 00:00:00,290906.3053010618,1032720.9989496298,7,1,25,1.454531526505309,3
300274.SZ,2022-04-14,2022-04-15 00:00:00,33043.49028859184,1290727.8683899497,7,1,22,0.1652174514429592,3
